MJD,luminosity,luminosity_err
54927.81999999983,1.6612546395412033e+42,6.609236891197952e+39
54928.83999999985,1.5961734916522006e+42,6.217712854096778e+39
54929.85000000009,1.5632439865450158e+42,3.163306789824049e+39
54930.779999999795,1.499199988423168e+42,4.6775454498709714e+39
54931.810000000056,1.4421567512296197e+42,4.2497211709193573e+39
54932.85000000009,1.255729080583432e+42,1.2891771605741945e+39
54933.779999999795,1.2510619066312325e+42,2.1539007789400306e+39
54937.79000000004,1.169127075025954e+42,4.477894119693551e+39
54938.779999999795,1.1437169057306458e+42,5.0535122404648126e+39
54942.77000000002,1.0773393206326986e+42,5.714695217026396e+39
54946.75,1.0324825932032264e+42,3.951540612862173e+39
54947.72999999998,1.0197775085555726e+42,3.059591813108506e+39
54949.810000000056,1.017184634137684e+42,1.4429346135549862e+39
54952.75999999978,9.941080518184757e+41,3.116635050302055e+39
54956.72999999998,9.505477615979478e+41,3.0829276828695033e+39
54959.700000000186,9.461398750875374e+41,2.1222677110417903e+39
54959.810000000056,9.404355513681825e+41,1.4084493837970682e+39
54960.70999999996,9.425098509024933e+41,1.7297065241734615e+39
54961.720000000205,9.386205392756604e+41,1.3939292870568922e+39
54962.75,9.30582628580206e+41,1.3788906154331387e+39
54963.70999999996,9.290269039294727e+41,4.2056423058152515e+39
54964.700000000186,9.298047662548392e+41,1.523054433067743e+39
54965.72999999998,9.222854304429624e+41,1.2064644666435491e+39
54966.689999999944,9.168403941653964e+41,1.5495017521302064e+39
54967.75,9.085431960281531e+41,1.2160581019897369e+39
54968.689999999944,9.080246211445752e+41,1.5510574767809395e+39
54969.70999999996,9.163218192818187e+41,1.5593546749181828e+39
54971.68000000017,9.194332685832851e+41,2.4074838970095325e+39
54975.779999999795,9.168403941653964e+41,1.6249543976907636e+39
54976.70999999996,9.176182564907631e+41,1.875426066458799e+39
