MJD,c,c_err,o,o_err
58257.554,NaN,NaN,19.577,0.265
58269.512,NaN,NaN,18.724,0.242
58269.540,NaN,NaN,18.580,0.207
58271.523,NaN,NaN,18.328,0.103
58271.532,NaN,NaN,18.901,0.173
58271.542,NaN,NaN,18.560,0.140
58271.550,NaN,NaN,18.660,0.148
58271.551,NaN,NaN,18.623,0.167
58271.553,NaN,NaN,18.739,0.171
58271.554,NaN,NaN,18.555,0.180
58273.511,NaN,NaN,19.417,0.234
58273.531,NaN,NaN,19.014,0.179
58273.543,NaN,NaN,19.397,0.258
58273.559,NaN,NaN,18.761,0.129
58275.526,NaN,NaN,18.974,0.133
58275.527,NaN,NaN,18.828,0.115
58275.547,NaN,NaN,18.697,0.110
58277.521,NaN,NaN,19.760,0.273
58277.530,NaN,NaN,18.956,0.163
58277.549,NaN,NaN,18.715,0.131
58277.553,NaN,NaN,19.111,0.212
58279.507,18.915,0.116,NaN,NaN
58279.507,19.090,0.132,NaN,NaN
58279.517,18.852,0.089,NaN,NaN
58279.518,18.565,0.075,NaN,NaN
58279.536,19.017,0.125,NaN,NaN
58279.537,19.009,0.132,NaN,NaN
58279.538,18.865,0.106,NaN,NaN
58279.554,18.674,0.091,NaN,NaN
58281.494,NaN,NaN,19.152,0.174
58281.495,NaN,NaN,18.943,0.148
58281.504,NaN,NaN,19.141,0.218
58281.514,NaN,NaN,19.125,0.192
58281.526,NaN,NaN,18.768,0.131
58281.542,NaN,NaN,18.586,0.122
58285.495,NaN,NaN,19.206,0.157
58285.505,NaN,NaN,19.275,0.165
58285.515,NaN,NaN,18.887,0.148
58285.525,NaN,NaN,19.034,0.170
58287.488,19.142,0.110,NaN,NaN
58287.498,19.293,0.124,NaN,NaN
58287.516,19.175,0.118,NaN,NaN
58287.519,19.448,0.140,NaN,NaN
58289.492,NaN,NaN,18.936,0.129
58289.494,NaN,NaN,19.119,0.138
58289.511,NaN,NaN,19.081,0.129
58289.514,NaN,NaN,19.065,0.142
58291.496,NaN,NaN,19.237,0.202
58291.513,NaN,NaN,19.024,0.129
58291.516,NaN,NaN,19.226,0.131
58293.477,NaN,NaN,18.848,0.171
58293.485,NaN,NaN,18.409,0.108
58293.505,NaN,NaN,19.040,0.228
58293.508,NaN,NaN,18.667,0.148
58296.494,NaN,NaN,18.634,0.250
58296.501,NaN,NaN,18.779,0.212
58297.461,NaN,NaN,18.689,0.271
58297.477,NaN,NaN,18.599,0.267
58299.487,NaN,NaN,19.119,0.203
58303.488,NaN,NaN,18.976,0.147
58303.500,NaN,NaN,19.374,0.261
58307.468,19.660,0.155,NaN,NaN
58307.481,19.764,0.215,NaN,NaN
58313.431,NaN,NaN,19.238,0.175
58313.443,NaN,NaN,19.899,0.269
58313.467,NaN,NaN,18.893,0.124
58315.453,20.007,0.253,NaN,NaN
58315.479,19.327,0.123,NaN,NaN
58315.491,20.166,0.250,NaN,NaN
58317.405,NaN,NaN,19.755,0.250
58317.416,NaN,NaN,19.705,0.275
58317.419,NaN,NaN,19.619,0.256
58317.428,NaN,NaN,19.426,0.207
58317.430,NaN,NaN,19.780,0.292
58317.455,NaN,NaN,19.185,0.188
58319.448,NaN,NaN,18.759,0.140
58321.436,NaN,NaN,19.232,0.256
58321.448,NaN,NaN,19.221,0.248
58323.435,NaN,NaN,18.935,0.248
58325.413,NaN,NaN,18.514,0.200
58327.377,NaN,NaN,18.723,0.207
58327.397,NaN,NaN,18.948,0.264
58329.405,NaN,NaN,18.984,0.231
58329.416,NaN,NaN,18.973,0.248
58335.409,19.665,0.215,NaN,NaN
58335.430,19.448,0.231,NaN,NaN
58337.398,NaN,NaN,19.596,0.239
58337.409,NaN,NaN,19.570,0.212
58337.419,NaN,NaN,19.516,0.230
58337.429,NaN,NaN,19.731,0.273
58341.385,NaN,NaN,19.395,0.220
58347.355,NaN,NaN,19.765,0.231
58347.366,NaN,NaN,19.544,0.212
58347.377,NaN,NaN,19.770,0.260
58347.388,NaN,NaN,19.343,0.177
58351.356,NaN,NaN,19.047,0.183
58351.367,NaN,NaN,19.632,0.300
58351.379,NaN,NaN,19.128,0.206
58367.336,NaN,NaN,19.334,0.170
58371.311,NaN,NaN,19.558,0.174
58373.312,NaN,NaN,19.714,0.254
58373.331,NaN,NaN,19.471,0.202
