MJD,c,c_err,o,o_err
59157.613,NaN,NaN,18.308,0.102
59157.630,NaN,NaN,18.306,0.088
59157.636,NaN,NaN,18.550,0.120
59157.644,NaN,NaN,18.579,0.195
59181.563,NaN,NaN,17.488,0.068
59181.566,NaN,NaN,17.442,0.069
59181.571,NaN,NaN,17.274,0.069
59181.581,NaN,NaN,17.356,0.064
59183.579,NaN,NaN,17.642,0.093
59183.582,NaN,NaN,17.534,0.071
59183.588,NaN,NaN,17.334,0.059
59183.598,NaN,NaN,17.388,0.059
59183.659,NaN,NaN,17.310,0.053
59187.640,NaN,NaN,17.354,0.067
59187.643,NaN,NaN,17.412,0.064
59187.649,NaN,NaN,17.515,0.047
59187.656,NaN,NaN,17.483,0.041
59189.580,NaN,NaN,17.449,0.038
59189.585,NaN,NaN,17.408,0.045
59189.589,NaN,NaN,17.381,0.041
59189.605,NaN,NaN,17.458,0.048
59191.610,NaN,NaN,17.400,0.045
59191.615,NaN,NaN,17.415,0.043
59191.619,NaN,NaN,17.328,0.036
59191.639,NaN,NaN,17.295,0.044
59193.611,NaN,NaN,17.297,0.025
59193.626,NaN,NaN,17.279,0.025
59193.629,NaN,NaN,17.381,0.029
59193.638,NaN,NaN,17.461,0.045
59195.638,17.541,0.027,NaN,NaN
59195.646,17.542,0.030,NaN,NaN
59197.578,17.523,0.027,NaN,NaN
59197.583,17.446,0.028,NaN,NaN
59197.600,17.649,0.030,NaN,NaN
59205.594,17.658,0.031,NaN,NaN
59205.596,17.619,0.031,NaN,NaN
59205.603,17.605,0.031,NaN,NaN
59205.610,17.652,0.029,NaN,NaN
59207.576,17.550,0.030,NaN,NaN
59207.578,17.679,0.033,NaN,NaN
59207.592,17.477,0.027,NaN,NaN
59207.598,17.555,0.028,NaN,NaN
59209.588,NaN,NaN,17.335,0.027
59209.593,NaN,NaN,17.259,0.037
59209.606,NaN,NaN,17.313,0.028
59219.593,NaN,NaN,17.423,0.043
59219.596,NaN,NaN,17.520,0.058
59219.599,NaN,NaN,17.421,0.049
59221.556,NaN,NaN,17.399,0.029
59221.558,NaN,NaN,17.466,0.034
59221.568,NaN,NaN,17.459,0.034
59229.622,17.796,0.030,NaN,NaN
59229.626,17.726,0.027,NaN,NaN
59229.661,17.925,0.036,NaN,NaN
59229.667,17.707,0.042,NaN,NaN
59231.524,17.753,0.037,NaN,NaN
59231.526,17.751,0.032,NaN,NaN
59231.529,17.775,0.035,NaN,NaN
59231.534,17.859,0.039,NaN,NaN
59232.569,17.796,0.035,NaN,NaN
59232.572,17.734,0.033,NaN,NaN
59232.593,17.770,0.031,NaN,NaN
59232.600,17.754,0.032,NaN,NaN
59235.529,18.168,0.119,NaN,NaN
59235.532,17.856,0.090,NaN,NaN
59235.537,17.683,0.086,NaN,NaN
59235.543,18.153,0.109,NaN,NaN
59237.618,18.802,0.167,NaN,NaN
59249.636,NaN,NaN,17.836,0.061
59249.639,NaN,NaN,17.626,0.056
59249.644,NaN,NaN,17.853,0.100
59249.660,NaN,NaN,17.634,0.045
59251.561,NaN,NaN,17.760,0.043
59251.566,NaN,NaN,17.695,0.034
59251.576,NaN,NaN,17.700,0.035
59251.581,NaN,NaN,17.959,0.053
59253.504,18.428,0.050,NaN,NaN
59253.528,18.348,0.045,NaN,NaN
59253.534,18.205,0.044,NaN,NaN
59255.473,18.401,0.049,NaN,NaN
59255.475,18.393,0.053,NaN,NaN
59255.482,18.399,0.057,NaN,NaN
59255.487,18.381,0.049,NaN,NaN
59257.544,18.285,0.047,NaN,NaN
59257.547,18.552,0.057,NaN,NaN
59257.577,18.385,0.051,NaN,NaN
59257.584,18.351,0.053,NaN,NaN
59261.458,18.720,0.084,NaN,NaN
59261.460,18.586,0.073,NaN,NaN
59261.465,18.347,0.045,NaN,NaN
59261.470,18.478,0.054,NaN,NaN
59267.509,NaN,NaN,18.431,0.076
59267.513,NaN,NaN,18.099,0.066
59267.524,NaN,NaN,18.238,0.064
59267.529,NaN,NaN,18.030,0.053
