MJD,c,c_err,o,o_err
58290.416,NaN,NaN,19.304,0.212
58292.405,NaN,NaN,19.228,0.204
58292.421,NaN,NaN,19.512,0.287
58292.425,NaN,NaN,19.149,0.194
58294.399,NaN,NaN,19.270,0.273
58294.420,NaN,NaN,19.319,0.262
58296.416,NaN,NaN,18.922,0.204
58296.430,NaN,NaN,18.945,0.233
58296.435,NaN,NaN,19.264,0.273
58302.394,NaN,NaN,19.124,0.197
58302.399,NaN,NaN,19.355,0.247
58302.413,NaN,NaN,19.048,0.216
58302.420,NaN,NaN,19.192,0.257
58304.389,NaN,NaN,18.943,0.127
58304.407,NaN,NaN,19.222,0.274
58304.419,NaN,NaN,19.116,0.202
58308.387,19.103,0.100,NaN,NaN
58308.391,18.984,0.111,NaN,NaN
58308.413,19.249,0.141,NaN,NaN
58308.425,19.313,0.125,NaN,NaN
58310.377,NaN,NaN,18.906,0.129
58310.380,NaN,NaN,18.918,0.150
58310.382,NaN,NaN,19.289,0.262
58310.393,NaN,NaN,19.016,0.146
58312.374,19.332,0.111,NaN,NaN
58312.390,19.341,0.137,NaN,NaN
58312.396,19.576,0.165,NaN,NaN
58312.407,19.430,0.146,NaN,NaN
58316.373,19.551,0.188,NaN,NaN
58316.388,19.375,0.168,NaN,NaN
58316.394,19.317,0.147,NaN,NaN
58318.359,NaN,NaN,18.950,0.150
58318.370,NaN,NaN,19.355,0.220
58318.378,NaN,NaN,19.510,0.298
58320.361,NaN,NaN,18.735,0.193
58322.344,NaN,NaN,19.239,0.229
58322.357,NaN,NaN,19.291,0.281
58324.358,NaN,NaN,19.531,0.295
58324.367,NaN,NaN,19.141,0.209
58324.376,NaN,NaN,19.212,0.183
58328.299,NaN,NaN,19.220,0.235
58328.307,NaN,NaN,19.038,0.200
58328.310,NaN,NaN,19.003,0.190
58338.312,NaN,NaN,19.677,0.241
58338.320,NaN,NaN,19.430,0.206
58338.328,NaN,NaN,19.178,0.149
58342.313,NaN,NaN,19.419,0.191
58342.321,NaN,NaN,19.541,0.215
58342.328,NaN,NaN,19.642,0.225
58342.337,NaN,NaN,19.419,0.229
58344.323,19.751,0.219,NaN,NaN
58344.332,19.935,0.229,NaN,NaN
58344.338,19.841,0.212,NaN,NaN
58348.303,NaN,NaN,19.404,0.205
58348.311,NaN,NaN,19.800,0.282
58348.320,NaN,NaN,19.193,0.151
58348.327,NaN,NaN,19.096,0.144
58360.282,NaN,NaN,19.086,0.095
58360.290,NaN,NaN,19.687,0.217
58360.299,NaN,NaN,19.213,0.199
58360.307,NaN,NaN,19.507,0.242
58362.278,NaN,NaN,19.076,0.180
58362.286,NaN,NaN,18.962,0.172
58362.293,NaN,NaN,19.036,0.165
58362.301,NaN,NaN,19.609,0.253
58364.281,NaN,NaN,19.191,0.180
58364.289,NaN,NaN,19.275,0.174
58364.297,NaN,NaN,19.724,0.265
58364.305,NaN,NaN,19.438,0.233
58366.273,NaN,NaN,19.403,0.174
58366.289,NaN,NaN,19.692,0.297
58366.296,NaN,NaN,19.190,0.193
58368.271,NaN,NaN,19.749,0.254
58368.280,NaN,NaN,19.612,0.238
58368.288,NaN,NaN,18.969,0.123
58368.296,NaN,NaN,19.756,0.268
58372.271,NaN,NaN,19.556,0.236
58372.279,NaN,NaN,19.826,0.232
58372.288,NaN,NaN,19.317,0.197
58372.296,NaN,NaN,19.343,0.168
58374.287,NaN,NaN,19.376,0.270
58376.259,19.617,0.215,NaN,NaN
58378.256,NaN,NaN,19.495,0.290
58378.274,NaN,NaN,18.971,0.229
58378.282,NaN,NaN,19.062,0.213
58380.261,NaN,NaN,19.482,0.280
58380.272,NaN,NaN,19.489,0.269
58380.273,NaN,NaN,19.203,0.212
58380.285,NaN,NaN,19.382,0.253
58382.275,NaN,NaN,18.798,0.275
58384.255,NaN,NaN,18.826,0.188
58390.260,NaN,NaN,19.518,0.292
58390.268,NaN,NaN,19.409,0.270
58392.250,NaN,NaN,19.426,0.206
58392.259,NaN,NaN,19.600,0.238
58392.267,NaN,NaN,19.384,0.189
58394.240,NaN,NaN,19.290,0.292
58394.256,NaN,NaN,18.975,0.184
