MJD,c,c_err,o,o_err
58303.433,NaN,NaN,19.567,0.251
58307.442,18.068,0.041,NaN,NaN
58307.453,17.980,0.039,NaN,NaN
58307.464,17.940,0.040,NaN,NaN
58307.477,18.076,0.045,NaN,NaN
58311.443,17.959,0.040,NaN,NaN
58311.454,17.861,0.040,NaN,NaN
58311.466,17.863,0.040,NaN,NaN
58311.477,18.000,0.043,NaN,NaN
58313.405,NaN,NaN,17.823,0.051
58313.416,NaN,NaN,18.108,0.083
58313.428,NaN,NaN,18.067,0.060
58313.439,NaN,NaN,18.195,0.067
58315.424,17.983,0.043,NaN,NaN
58315.437,17.922,0.040,NaN,NaN
58315.451,17.945,0.045,NaN,NaN
58315.464,18.085,0.047,NaN,NaN
58317.393,NaN,NaN,18.111,0.056
58317.404,NaN,NaN,18.091,0.061
58317.415,NaN,NaN,17.990,0.056
58317.427,NaN,NaN,17.958,0.068
58321.389,NaN,NaN,18.147,0.097
58321.400,NaN,NaN,18.049,0.086
58321.412,NaN,NaN,18.178,0.125
58321.423,NaN,NaN,17.654,0.062
58323.420,NaN,NaN,18.009,0.160
58325.380,NaN,NaN,18.021,0.118
58325.390,NaN,NaN,17.701,0.094
58325.401,NaN,NaN,18.209,0.148
58325.412,NaN,NaN,18.439,0.173
58327.348,NaN,NaN,18.069,0.087
58327.358,NaN,NaN,17.969,0.093
58327.360,NaN,NaN,18.339,0.121
58327.361,NaN,NaN,18.079,0.080
58327.373,NaN,NaN,17.935,0.074
58327.373,NaN,NaN,18.132,0.091
58327.379,NaN,NaN,18.493,0.137
58327.392,NaN,NaN,18.190,0.132
58329.405,NaN,NaN,18.107,0.138
58329.416,NaN,NaN,18.147,0.166
58331.441,18.302,0.188,NaN,NaN
58331.452,18.429,0.228,NaN,NaN
58333.368,NaN,NaN,18.239,0.091
58335.383,18.738,0.095,NaN,NaN
58335.394,18.518,0.076,NaN,NaN
58335.404,18.562,0.072,NaN,NaN
58335.415,18.659,0.084,NaN,NaN
58337.371,NaN,NaN,18.460,0.093
58337.381,NaN,NaN,18.360,0.084
58337.392,NaN,NaN,18.238,0.077
58337.402,NaN,NaN,18.369,0.093
58341.336,NaN,NaN,18.449,0.086
58341.346,NaN,NaN,18.451,0.084
58341.357,NaN,NaN,18.407,0.079
58341.368,NaN,NaN,18.301,0.079
58347.332,NaN,NaN,18.408,0.073
58347.341,NaN,NaN,18.347,0.069
58347.350,NaN,NaN,18.444,0.070
58347.362,NaN,NaN,18.598,0.098
58351.322,NaN,NaN,18.500,0.129
58351.330,NaN,NaN,18.995,0.172
58351.340,NaN,NaN,18.575,0.128
58351.350,NaN,NaN,18.693,0.168
58361.255,NaN,NaN,18.960,0.118
58361.265,NaN,NaN,19.143,0.144
58361.274,NaN,NaN,18.906,0.139
58361.282,NaN,NaN,18.738,0.114
58363.265,NaN,NaN,18.791,0.100
58367.237,NaN,NaN,19.289,0.175
58367.237,NaN,NaN,18.641,0.105
58367.248,NaN,NaN,19.001,0.115
58367.257,NaN,NaN,19.047,0.125
58371.226,NaN,NaN,19.233,0.185
58371.244,NaN,NaN,18.927,0.100
58371.251,NaN,NaN,19.123,0.114
58373.243,NaN,NaN,19.302,0.207
58373.244,NaN,NaN,19.007,0.147
58377.223,NaN,NaN,19.050,0.198
58377.240,NaN,NaN,19.559,0.282
58377.244,NaN,NaN,19.195,0.203
58379.222,NaN,NaN,19.106,0.160
58379.239,NaN,NaN,19.638,0.240
58379.242,NaN,NaN,19.138,0.161
58379.253,NaN,NaN,19.495,0.229
58383.219,NaN,NaN,19.114,0.254
58383.251,NaN,NaN,18.911,0.198
58389.235,NaN,NaN,19.643,0.271
58391.255,NaN,NaN,19.721,0.281
