MJD,c,c_err,o,o_err
58311.409,18.002,0.049,NaN,NaN
58311.423,17.913,0.045,NaN,NaN
58311.435,17.870,0.044,NaN,NaN
58311.446,17.884,0.043,NaN,NaN
58313.373,NaN,NaN,18.000,0.063
58313.384,NaN,NaN,17.678,0.041
58313.396,NaN,NaN,17.909,0.053
58313.407,NaN,NaN,17.761,0.050
58315.388,17.547,0.030,NaN,NaN
58315.400,17.646,0.034,NaN,NaN
58315.412,17.687,0.036,NaN,NaN
58315.424,17.667,0.040,NaN,NaN
58317.361,NaN,NaN,17.645,0.039
58317.372,NaN,NaN,17.686,0.041
58317.383,NaN,NaN,17.672,0.049
58317.394,NaN,NaN,17.592,0.033
58321.355,NaN,NaN,17.743,0.085
58321.366,NaN,NaN,17.950,0.110
58321.377,NaN,NaN,17.823,0.070
58321.388,NaN,NaN,17.729,0.077
58325.347,NaN,NaN,17.598,0.095
58325.356,NaN,NaN,17.814,0.102
58325.367,NaN,NaN,17.906,0.111
58325.377,NaN,NaN,17.723,0.098
58326.375,NaN,NaN,18.090,0.108
58326.383,NaN,NaN,17.990,0.117
58326.392,NaN,NaN,17.837,0.093
58326.399,NaN,NaN,17.812,0.091
58327.325,NaN,NaN,17.785,0.068
58327.335,NaN,NaN,17.855,0.075
58327.343,NaN,NaN,18.100,0.140
58327.354,NaN,NaN,17.782,0.076
58327.368,NaN,NaN,17.924,0.090
58327.378,NaN,NaN,17.883,0.096
58327.388,NaN,NaN,17.977,0.100
58327.399,NaN,NaN,17.805,0.095
58329.335,NaN,NaN,17.848,0.089
58329.343,NaN,NaN,17.888,0.155
58329.352,NaN,NaN,17.956,0.128
58329.364,NaN,NaN,18.299,0.230
58333.324,NaN,NaN,18.232,0.070
58333.330,NaN,NaN,17.906,0.059
58333.338,NaN,NaN,18.044,0.075
58333.347,NaN,NaN,18.277,0.099
58335.347,18.329,0.054,NaN,NaN
58335.357,18.520,0.065,NaN,NaN
58335.367,18.309,0.054,NaN,NaN
58335.377,18.482,0.111,NaN,NaN
58337.287,NaN,NaN,18.247,0.073
58337.296,NaN,NaN,18.332,0.072
58337.304,NaN,NaN,18.266,0.065
58337.310,NaN,NaN,18.127,0.057
58341.261,NaN,NaN,18.347,0.080
58341.271,NaN,NaN,18.354,0.091
58341.280,NaN,NaN,18.384,0.080
58341.289,NaN,NaN,18.263,0.078
58351.246,NaN,NaN,18.520,0.108
58351.247,NaN,NaN,18.541,0.116
58361.231,NaN,NaN,18.852,0.160
58361.232,NaN,NaN,18.349,0.103
58361.237,NaN,NaN,18.317,0.083
58363.229,NaN,NaN,18.943,0.210
58363.230,NaN,NaN,18.749,0.181
58367.228,NaN,NaN,18.721,0.159
58367.232,NaN,NaN,18.481,0.084
58367.243,NaN,NaN,18.651,0.090
58367.253,NaN,NaN,18.531,0.084
58371.229,NaN,NaN,18.993,0.144
58371.229,NaN,NaN,18.817,0.144
58371.245,NaN,NaN,18.725,0.084
58371.255,NaN,NaN,18.620,0.086
58373.227,NaN,NaN,18.462,0.118
58373.239,NaN,NaN,18.462,0.084
58373.248,NaN,NaN,18.737,0.114
58373.257,NaN,NaN,18.612,0.120
58377.247,NaN,NaN,18.964,0.243
58377.266,NaN,NaN,18.998,0.240
58379.236,NaN,NaN,19.082,0.193
58379.246,NaN,NaN,18.682,0.132
58379.256,NaN,NaN,18.988,0.194
58379.265,NaN,NaN,19.211,0.213
58383.251,NaN,NaN,19.384,0.291
58383.260,NaN,NaN,19.035,0.267
58383.274,NaN,NaN,18.651,0.185
58489.654,NaN,NaN,19.610,0.249
58553.605,NaN,NaN,19.387,0.203
58561.620,NaN,NaN,19.403,0.279
58571.553,NaN,NaN,19.805,0.240
58571.567,NaN,NaN,19.709,0.225
58597.505,NaN,NaN,19.280,0.236
