MJD,c,c_err,o,o_err
58341.395,NaN,NaN,17.511,0.046
58341.406,NaN,NaN,17.489,0.045
58343.434,17.173,0.026,NaN,NaN
58347.375,NaN,NaN,17.166,0.033
58347.398,NaN,NaN,17.067,0.028
58347.409,NaN,NaN,17.055,0.030
58351.365,NaN,NaN,17.041,0.037
58351.377,NaN,NaN,16.970,0.039
58351.388,NaN,NaN,17.073,0.041
58351.399,NaN,NaN,17.147,0.055
58361.347,NaN,NaN,17.233,0.039
58361.369,NaN,NaN,17.202,0.042
58365.327,NaN,NaN,17.127,0.035
58367.326,NaN,NaN,17.209,0.028
58367.335,NaN,NaN,17.253,0.032
58367.346,NaN,NaN,17.230,0.029
58367.357,NaN,NaN,17.290,0.034
58369.323,NaN,NaN,17.173,0.030
58369.343,NaN,NaN,17.376,0.041
58371.315,NaN,NaN,17.283,0.027
58371.324,NaN,NaN,17.237,0.032
58371.333,NaN,NaN,17.258,0.031
58371.344,NaN,NaN,17.321,0.037
58375.362,17.878,0.052,NaN,NaN
58377.300,NaN,NaN,17.417,0.045
58377.324,NaN,NaN,17.435,0.049
58379.297,NaN,NaN,17.276,0.043
58379.304,NaN,NaN,17.400,0.046
58379.311,NaN,NaN,17.302,0.048
58379.321,NaN,NaN,17.284,0.043
58383.268,NaN,NaN,17.484,0.050
58383.275,NaN,NaN,17.359,0.052
58383.280,NaN,NaN,17.447,0.059
58383.285,NaN,NaN,17.416,0.049
58386.260,NaN,NaN,17.514,0.066
58387.211,NaN,NaN,17.337,0.090
58387.211,NaN,NaN,17.493,0.090
58387.212,NaN,NaN,17.595,0.067
58387.221,NaN,NaN,17.533,0.112
58389.245,NaN,NaN,17.573,0.050
58391.207,NaN,NaN,17.546,0.085
58391.220,NaN,NaN,17.587,0.049
58391.223,NaN,NaN,17.572,0.047
58393.208,NaN,NaN,17.727,0.064
58393.209,NaN,NaN,17.530,0.057
58395.292,18.264,0.089,NaN,NaN
58395.303,18.192,0.082,NaN,NaN
58395.313,18.200,0.078,NaN,NaN
58395.323,18.596,0.193,NaN,NaN
58403.275,18.520,0.106,NaN,NaN
58403.285,18.285,0.085,NaN,NaN
58403.296,18.191,0.062,NaN,NaN
58403.306,18.722,0.086,NaN,NaN
58405.200,NaN,NaN,17.740,0.106
58405.201,NaN,NaN,17.785,0.117
58405.201,NaN,NaN,18.053,0.143
58405.208,NaN,NaN,17.651,0.069
58413.206,NaN,NaN,18.126,0.139
58413.206,NaN,NaN,17.889,0.095
58413.222,NaN,NaN,17.772,0.084
58413.232,NaN,NaN,17.962,0.107
58415.201,NaN,NaN,17.969,0.122
58416.195,NaN,NaN,17.666,0.110
58416.197,NaN,NaN,18.037,0.147
58416.202,NaN,NaN,17.857,0.107
58416.209,NaN,NaN,18.066,0.108
58417.201,NaN,NaN,17.840,0.081
58417.201,NaN,NaN,17.923,0.090
58417.220,NaN,NaN,17.906,0.103
58417.224,NaN,NaN,17.988,0.099
58423.225,NaN,NaN,17.910,0.071
58423.234,NaN,NaN,18.102,0.085
58423.241,NaN,NaN,17.980,0.078
58423.249,NaN,NaN,17.955,0.073
58431.220,19.246,0.155,NaN,NaN
58431.230,18.874,0.147,NaN,NaN
58431.240,19.014,0.147,NaN,NaN
58431.250,18.938,0.133,NaN,NaN
58435.208,18.819,0.125,NaN,NaN
58435.218,18.875,0.135,NaN,NaN
58435.228,18.849,0.135,NaN,NaN
58435.238,18.988,0.180,NaN,NaN
58607.589,19.886,0.249,NaN,NaN
