MJD,c,c_err,o,o_err
58352.536,NaN,NaN,18.537,0.218
58352.542,NaN,NaN,18.674,0.219
58360.495,NaN,NaN,17.738,0.065
58360.507,NaN,NaN,17.682,0.058
58360.509,NaN,NaN,17.664,0.056
58360.515,NaN,NaN,17.640,0.053
58360.517,NaN,NaN,17.575,0.053
58360.518,NaN,NaN,17.611,0.082
58360.523,NaN,NaN,17.488,0.042
58360.526,NaN,NaN,17.587,0.068
58362.484,NaN,NaN,17.550,0.055
58362.496,NaN,NaN,17.605,0.059
58362.499,NaN,NaN,17.410,0.063
58362.505,NaN,NaN,17.438,0.061
58362.506,NaN,NaN,17.660,0.069
58362.507,NaN,NaN,17.496,0.057
58362.514,NaN,NaN,17.665,0.070
58362.515,NaN,NaN,17.635,0.071
58366.489,NaN,NaN,17.447,0.038
58366.499,NaN,NaN,17.529,0.045
58366.500,NaN,NaN,17.510,0.044
58368.485,NaN,NaN,17.627,0.067
58368.486,NaN,NaN,17.717,0.048
58372.482,NaN,NaN,17.534,0.035
58372.489,NaN,NaN,17.582,0.044
58372.499,NaN,NaN,17.573,0.041
58372.511,NaN,NaN,17.621,0.043
58374.470,NaN,NaN,17.576,0.042
58374.481,NaN,NaN,17.578,0.047
58374.483,NaN,NaN,17.593,0.046
58374.489,NaN,NaN,17.614,0.051
58374.490,NaN,NaN,17.460,0.045
58374.491,NaN,NaN,17.594,0.048
58378.458,NaN,NaN,17.613,0.046
58378.471,NaN,NaN,17.463,0.043
58378.479,NaN,NaN,17.537,0.047
58378.487,NaN,NaN,17.526,0.047
58380.464,NaN,NaN,17.683,0.056
58380.474,NaN,NaN,17.528,0.038
58380.485,NaN,NaN,17.676,0.050
58380.492,NaN,NaN,17.539,0.036
58382.451,NaN,NaN,17.585,0.057
58382.458,NaN,NaN,17.642,0.061
58382.468,NaN,NaN,17.718,0.066
58382.479,NaN,NaN,17.629,0.054
58384.448,NaN,NaN,17.711,0.098
58384.459,NaN,NaN,17.742,0.106
58384.470,NaN,NaN,17.721,0.117
58386.484,NaN,NaN,17.599,0.098
58386.493,NaN,NaN,17.558,0.092
58386.501,NaN,NaN,17.754,0.090
58386.512,NaN,NaN,17.989,0.152
58390.440,NaN,NaN,17.701,0.070
58390.449,NaN,NaN,17.849,0.092
58390.450,NaN,NaN,17.749,0.073
58390.457,NaN,NaN,17.691,0.063
58392.439,NaN,NaN,17.860,0.060
58392.449,NaN,NaN,17.818,0.053
58392.466,NaN,NaN,17.715,0.047
58394.430,NaN,NaN,17.851,0.054
58394.440,NaN,NaN,17.868,0.057
58394.449,NaN,NaN,17.779,0.056
58394.455,NaN,NaN,17.774,0.052
58396.443,18.571,0.103,NaN,NaN
58396.457,18.582,0.112,NaN,NaN
58396.463,18.514,0.093,NaN,NaN
58396.472,18.522,0.077,NaN,NaN
58400.444,18.469,0.086,NaN,NaN
58400.452,18.533,0.086,NaN,NaN
58400.462,18.465,0.068,NaN,NaN
58400.475,18.419,0.070,NaN,NaN
58402.438,NaN,NaN,17.801,0.066
58402.444,NaN,NaN,17.862,0.072
58402.456,NaN,NaN,17.922,0.068
58402.464,NaN,NaN,17.694,0.056
58408.412,NaN,NaN,17.880,0.067
58408.423,NaN,NaN,17.899,0.059
58408.433,NaN,NaN,17.872,0.067
58408.439,NaN,NaN,17.882,0.062
58412.403,NaN,NaN,17.929,0.087
58412.411,NaN,NaN,17.976,0.093
58412.421,NaN,NaN,17.947,0.068
58412.432,NaN,NaN,17.999,0.099
58414.385,NaN,NaN,18.207,0.159
58414.396,NaN,NaN,17.730,0.092
58414.397,NaN,NaN,18.113,0.147
58414.398,NaN,NaN,17.682,0.105
58414.405,NaN,NaN,18.119,0.149
58414.406,NaN,NaN,18.295,0.193
58414.413,NaN,NaN,17.919,0.122
58414.414,NaN,NaN,18.238,0.171
58416.369,NaN,NaN,18.117,0.144
58416.370,NaN,NaN,17.812,0.094
58416.375,NaN,NaN,18.051,0.125
58416.376,NaN,NaN,17.746,0.093
58416.386,NaN,NaN,17.848,0.095
58416.387,NaN,NaN,17.863,0.111
58416.396,NaN,NaN,18.124,0.130
58416.397,NaN,NaN,17.986,0.137
58424.407,18.746,0.135,NaN,NaN
58424.408,18.817,0.124,NaN,NaN
58424.417,18.776,0.114,NaN,NaN
58424.417,19.049,0.145,NaN,NaN
58424.421,18.635,0.139,NaN,NaN
58424.431,19.169,0.224,NaN,NaN
58424.434,18.876,0.129,NaN,NaN
58424.445,18.874,0.119,NaN,NaN
58426.379,NaN,NaN,18.220,0.115
58426.385,NaN,NaN,18.283,0.107
58426.396,NaN,NaN,18.216,0.095
58426.405,NaN,NaN,17.963,0.087
58428.373,18.854,0.116,NaN,NaN
58428.384,18.876,0.097,NaN,NaN
58428.395,18.996,0.117,NaN,NaN
58428.402,18.862,0.104,NaN,NaN
58430.362,NaN,NaN,17.965,0.067
58430.373,NaN,NaN,18.038,0.075
58430.382,NaN,NaN,18.190,0.071
58430.389,NaN,NaN,18.297,0.090
58432.373,18.892,0.277,NaN,NaN
