MJD,c,c_err,o,o_err
58361.523,NaN,NaN,16.835,0.037
58361.542,NaN,NaN,16.940,0.038
58361.561,NaN,NaN,16.805,0.037
58361.564,NaN,NaN,17.011,0.044
58363.561,NaN,NaN,16.634,0.041
58363.563,NaN,NaN,16.669,0.043
58365.509,NaN,NaN,16.609,0.022
58365.526,NaN,NaN,16.682,0.026
58365.538,NaN,NaN,16.604,0.023
58365.540,NaN,NaN,16.579,0.023
58365.541,NaN,NaN,16.657,0.026
58365.542,NaN,NaN,16.653,0.024
58365.558,NaN,NaN,16.547,0.022
58367.516,NaN,NaN,16.481,0.015
58367.528,NaN,NaN,16.546,0.017
58367.548,NaN,NaN,16.508,0.015
58367.551,NaN,NaN,16.505,0.015
58369.508,NaN,NaN,16.512,0.019
58369.517,NaN,NaN,16.545,0.022
58369.529,NaN,NaN,16.481,0.021
58369.538,NaN,NaN,16.358,0.018
58371.519,NaN,NaN,16.486,0.017
58371.557,NaN,NaN,16.469,0.016
58375.529,16.575,0.014,NaN,NaN
58375.530,16.562,0.014,NaN,NaN
58375.547,16.578,0.015,NaN,NaN
58375.549,16.557,0.014,NaN,NaN
58377.506,NaN,NaN,16.477,0.016
58377.508,NaN,NaN,16.415,0.018
58377.525,NaN,NaN,16.458,0.017
58377.529,NaN,NaN,16.458,0.019
58379.532,NaN,NaN,16.430,0.017
58379.534,NaN,NaN,16.423,0.015
58383.505,NaN,NaN,16.482,0.022
58383.519,NaN,NaN,16.474,0.041
58383.538,NaN,NaN,16.436,0.031
58385.463,NaN,NaN,16.471,0.038
58385.464,NaN,NaN,16.486,0.035
58385.474,NaN,NaN,16.425,0.037
58389.498,NaN,NaN,16.628,0.042
58391.467,NaN,NaN,16.577,0.020
58391.478,NaN,NaN,16.609,0.020
58391.490,NaN,NaN,16.573,0.020
58393.445,NaN,NaN,16.603,0.021
58393.459,NaN,NaN,16.563,0.023
58393.469,NaN,NaN,16.552,0.022
58393.480,NaN,NaN,16.596,0.022
58395.481,17.058,0.020,NaN,NaN
58395.490,17.086,0.021,NaN,NaN
58395.491,16.994,0.022,NaN,NaN
58395.492,17.097,0.021,NaN,NaN
58395.507,17.157,0.024,NaN,NaN
58395.511,17.030,0.029,NaN,NaN
58395.527,17.423,0.072,NaN,NaN
58397.460,NaN,NaN,16.677,0.020
58397.472,NaN,NaN,16.716,0.022
58397.481,NaN,NaN,16.694,0.020
58397.496,NaN,NaN,16.683,0.020
58401.447,NaN,NaN,16.743,0.025
58401.457,NaN,NaN,16.743,0.025
58401.468,NaN,NaN,16.676,0.023
58401.469,NaN,NaN,16.767,0.023
58401.479,NaN,NaN,16.772,0.027
58401.480,NaN,NaN,16.739,0.022
58401.494,NaN,NaN,16.753,0.022
58401.499,NaN,NaN,16.757,0.022
58403.455,17.325,0.028,NaN,NaN
58403.465,17.327,0.029,NaN,NaN
58403.475,17.247,0.024,NaN,NaN
58403.476,17.679,0.052,NaN,NaN
58403.486,17.158,0.035,NaN,NaN
58403.487,17.526,0.092,NaN,NaN
58407.412,NaN,NaN,16.814,0.019
58407.447,NaN,NaN,16.907,0.026
58409.408,NaN,NaN,16.855,0.029
58409.419,NaN,NaN,16.808,0.029
58409.430,NaN,NaN,16.833,0.028
58409.431,NaN,NaN,16.982,0.027
58409.442,NaN,NaN,16.881,0.032
