MJD,c,c_err,o,o_err
58363.615,NaN,NaN,19.341,0.237
58363.625,NaN,NaN,19.326,0.233
58365.592,NaN,NaN,19.129,0.193
58365.602,NaN,NaN,18.861,0.151
58365.617,NaN,NaN,18.734,0.134
58365.631,NaN,NaN,18.921,0.181
58367.600,NaN,NaN,18.491,0.071
58367.609,NaN,NaN,18.532,0.068
58367.621,NaN,NaN,18.661,0.092
58367.633,NaN,NaN,18.564,0.086
58369.590,NaN,NaN,18.460,0.084
58369.600,NaN,NaN,18.588,0.098
58369.603,NaN,NaN,18.407,0.082
58369.614,NaN,NaN,18.472,0.095
58371.589,NaN,NaN,18.400,0.070
58371.598,NaN,NaN,18.571,0.081
58371.601,NaN,NaN,18.349,0.070
58371.619,NaN,NaN,18.505,0.079
58375.596,18.524,0.097,NaN,NaN
58375.606,18.671,0.067,NaN,NaN
58375.610,18.499,0.059,NaN,NaN
58375.619,18.595,0.076,NaN,NaN
58377.558,NaN,NaN,18.550,0.112
58377.569,NaN,NaN,18.627,0.133
58377.579,NaN,NaN,18.470,0.095
58377.588,NaN,NaN,18.627,0.128
58377.589,NaN,NaN,18.677,0.126
58377.593,NaN,NaN,18.489,0.134
58377.610,NaN,NaN,18.567,0.115
58379.562,NaN,NaN,18.674,0.085
58379.563,NaN,NaN,18.585,0.073
58379.572,NaN,NaN,18.560,0.090
58379.575,NaN,NaN,18.540,0.100
58379.575,NaN,NaN,18.738,0.123
58379.593,NaN,NaN,18.614,0.096
58379.598,NaN,NaN,18.603,0.103
58379.615,NaN,NaN,18.281,0.066
58383.569,NaN,NaN,18.694,0.118
58383.570,NaN,NaN,18.892,0.184
58383.579,NaN,NaN,18.861,0.213
58383.584,NaN,NaN,19.078,0.291
58383.605,NaN,NaN,18.582,0.094
58383.605,NaN,NaN,18.661,0.107
58383.607,NaN,NaN,18.625,0.085
58385.505,NaN,NaN,18.355,0.156
58385.508,NaN,NaN,18.433,0.178
58385.525,NaN,NaN,18.660,0.274
58389.557,NaN,NaN,18.787,0.291
58389.560,NaN,NaN,18.560,0.222
58389.564,NaN,NaN,18.795,0.290
58391.541,NaN,NaN,18.601,0.111
58391.551,NaN,NaN,18.804,0.149
58391.567,NaN,NaN,18.703,0.135
58393.541,NaN,NaN,18.953,0.143
58393.552,NaN,NaN,18.775,0.149
58393.555,NaN,NaN,18.923,0.194
58393.570,NaN,NaN,18.873,0.150
58395.556,18.832,0.107,NaN,NaN
58395.567,18.952,0.124,NaN,NaN
58395.569,19.354,0.183,NaN,NaN
58395.584,18.863,0.121,NaN,NaN
58397.528,NaN,NaN,19.060,0.148
58397.555,NaN,NaN,19.405,0.180
58397.560,NaN,NaN,18.949,0.142
58399.543,19.302,0.176,NaN,NaN
58399.553,19.217,0.124,NaN,NaN
58399.556,19.008,0.129,NaN,NaN
58399.571,19.037,0.135,NaN,NaN
58401.525,NaN,NaN,18.597,0.115
58401.536,NaN,NaN,18.979,0.188
58401.552,NaN,NaN,18.984,0.158
58401.556,NaN,NaN,19.012,0.188
58403.534,19.388,0.171,NaN,NaN
58403.543,19.210,0.168,NaN,NaN
58403.561,18.877,0.241,NaN,NaN
58403.566,19.247,0.296,NaN,NaN
58407.488,NaN,NaN,18.709,0.096
58407.499,NaN,NaN,18.948,0.116
58407.521,NaN,NaN,19.002,0.118
58407.535,NaN,NaN,18.646,0.087
58409.494,NaN,NaN,18.924,0.131
58409.495,NaN,NaN,18.870,0.126
58409.516,NaN,NaN,18.938,0.135
58409.532,NaN,NaN,18.803,0.129
58413.474,NaN,NaN,18.701,0.216
58413.495,NaN,NaN,18.928,0.256
58417.499,NaN,NaN,18.619,0.288
58423.465,NaN,NaN,18.952,0.106
58423.476,NaN,NaN,19.045,0.118
58423.490,NaN,NaN,18.704,0.097
58423.494,NaN,NaN,19.182,0.142
58427.476,19.932,0.233,NaN,NaN
58427.485,19.825,0.177,NaN,NaN
58427.488,19.247,0.136,NaN,NaN
58427.502,19.824,0.222,NaN,NaN
58431.471,19.774,0.196,NaN,NaN
58431.472,19.581,0.185,NaN,NaN
58431.480,19.246,0.152,NaN,NaN
58431.488,20.067,0.296,NaN,NaN
58431.489,19.676,0.201,NaN,NaN
58431.491,19.849,0.214,NaN,NaN
58431.507,19.689,0.179,NaN,NaN
58431.512,19.654,0.180,NaN,NaN
58435.488,18.929,0.176,NaN,NaN
58435.489,19.016,0.234,NaN,NaN
58435.492,19.585,0.229,NaN,NaN
58451.409,NaN,NaN,19.520,0.182
58451.443,NaN,NaN,19.792,0.283
58455.376,19.938,0.186,NaN,NaN
58461.367,NaN,NaN,19.467,0.241
58461.376,NaN,NaN,19.186,0.185
58495.309,NaN,NaN,19.543,0.200
