MJD,c,c_err,o,o_err
58486.316,16.534,0.017,NaN,NaN
58486.318,16.512,0.018,NaN,NaN
58486.325,16.471,0.015,NaN,NaN
58486.326,16.557,0.019,NaN,NaN
58486.333,16.522,0.017,NaN,NaN
58486.334,16.558,0.020,NaN,NaN
58486.341,16.555,0.018,NaN,NaN
58486.343,16.535,0.020,NaN,NaN
58488.297,NaN,NaN,16.552,0.019
58488.305,NaN,NaN,16.568,0.019
58488.312,NaN,NaN,16.577,0.020
58488.320,NaN,NaN,16.603,0.020
58490.309,16.483,0.016,NaN,NaN
58490.317,16.498,0.016,NaN,NaN
58490.325,16.492,0.017,NaN,NaN
58490.334,16.447,0.016,NaN,NaN
58492.289,NaN,NaN,16.594,0.021
58492.297,NaN,NaN,16.561,0.021
58492.305,NaN,NaN,16.555,0.020
58492.313,NaN,NaN,16.528,0.020
58494.275,16.611,0.020,NaN,NaN
58494.283,16.573,0.018,NaN,NaN
58494.291,16.608,0.022,NaN,NaN
58494.299,16.600,0.020,NaN,NaN
58496.252,NaN,NaN,16.685,0.029
58496.254,NaN,NaN,16.680,0.028
58496.260,NaN,NaN,16.640,0.029
58496.262,NaN,NaN,16.709,0.026
58496.268,NaN,NaN,16.662,0.030
58496.270,NaN,NaN,16.626,0.025
58496.276,NaN,NaN,16.677,0.030
58496.278,NaN,NaN,16.644,0.026
58498.283,NaN,NaN,16.623,0.035
58498.291,NaN,NaN,16.600,0.040
58498.299,NaN,NaN,16.627,0.036
58498.307,NaN,NaN,16.572,0.042
58500.270,NaN,NaN,16.677,0.032
58500.277,NaN,NaN,16.707,0.031
58500.285,NaN,NaN,16.727,0.029
58500.293,NaN,NaN,16.716,0.032
58504.249,NaN,NaN,16.715,0.023
58504.257,NaN,NaN,16.671,0.021
58504.266,NaN,NaN,16.607,0.021
58504.274,NaN,NaN,16.724,0.030
58506.262,NaN,NaN,16.653,0.020
58506.268,NaN,NaN,16.651,0.020
58506.275,NaN,NaN,16.633,0.022
58506.283,NaN,NaN,16.659,0.022
58508.256,NaN,NaN,16.705,0.022
58508.260,NaN,NaN,16.717,0.023
58508.266,NaN,NaN,16.642,0.021
58508.273,NaN,NaN,16.645,0.022
58510.265,NaN,NaN,16.735,0.023
58510.271,NaN,NaN,16.671,0.022
58510.277,NaN,NaN,16.733,0.019
58512.247,NaN,NaN,16.792,0.032
58512.252,NaN,NaN,16.754,0.029
58512.258,NaN,NaN,16.749,0.029
58512.264,NaN,NaN,16.754,0.032
58516.261,NaN,NaN,16.746,0.028
58516.266,NaN,NaN,16.732,0.027
58518.263,17.033,0.022,NaN,NaN
58518.271,17.006,0.024,NaN,NaN
58518.280,17.059,0.024,NaN,NaN
58518.288,17.007,0.023,NaN,NaN
58520.273,NaN,NaN,16.857,0.042
58520.279,NaN,NaN,16.885,0.045
58520.286,NaN,NaN,16.804,0.040
58536.267,NaN,NaN,16.808,0.042
58536.268,NaN,NaN,16.845,0.037
58536.274,NaN,NaN,16.750,0.037
58536.274,NaN,NaN,16.824,0.034
58536.280,NaN,NaN,16.693,0.043
58540.238,NaN,NaN,16.756,0.025
58540.246,NaN,NaN,16.815,0.029
58540.254,NaN,NaN,16.854,0.032
58654.594,NaN,NaN,18.878,0.207
58654.607,NaN,NaN,19.093,0.288
58670.622,NaN,NaN,18.476,0.266
58676.538,NaN,NaN,18.961,0.216
58676.541,NaN,NaN,19.258,0.234
58676.559,NaN,NaN,19.164,0.176
58678.557,NaN,NaN,19.293,0.279
58680.589,NaN,NaN,18.587,0.189
58682.565,NaN,NaN,19.085,0.294
58690.590,NaN,NaN,19.389,0.152
58690.593,NaN,NaN,19.278,0.151
58690.612,NaN,NaN,19.337,0.164
58692.542,NaN,NaN,19.629,0.267
58692.545,NaN,NaN,19.479,0.230
58692.552,NaN,NaN,19.250,0.182
58692.561,NaN,NaN,19.646,0.284
58694.513,20.304,0.297,NaN,NaN
58696.552,NaN,NaN,19.248,0.191
58700.500,NaN,NaN,19.235,0.198
58700.505,NaN,NaN,19.460,0.223
58700.516,NaN,NaN,19.695,0.259
58702.520,20.163,0.286,NaN,NaN
58702.524,20.161,0.269,NaN,NaN
58702.529,19.944,0.229,NaN,NaN
58704.519,NaN,NaN,19.517,0.253
58704.522,NaN,NaN,19.511,0.267
58704.538,NaN,NaN,19.298,0.210
58706.538,20.072,0.273,NaN,NaN
58706.560,19.780,0.249,NaN,NaN
58724.576,NaN,NaN,19.634,0.179
58724.579,NaN,NaN,19.590,0.139
58724.586,NaN,NaN,19.496,0.146
58724.604,NaN,NaN,19.659,0.149
58730.471,20.172,0.298,NaN,NaN
58734.619,NaN,NaN,19.946,0.283
58736.474,NaN,NaN,19.463,0.215
58736.477,NaN,NaN,19.523,0.233
58752.525,NaN,NaN,19.982,0.224
58752.530,NaN,NaN,19.604,0.148
58752.547,NaN,NaN,19.734,0.197
58756.444,NaN,NaN,19.872,0.260
58756.448,NaN,NaN,20.139,0.279
58756.454,NaN,NaN,19.852,0.266
58762.385,NaN,NaN,19.715,0.285
58764.448,NaN,NaN,19.845,0.262
