MJD,c,c_err,o,o_err
58434.534,NaN,NaN,19.646,0.277
58434.542,NaN,NaN,19.325,0.196
58434.551,NaN,NaN,19.391,0.247
58436.525,19.468,0.152,NaN,NaN
58436.534,19.149,0.120,NaN,NaN
58436.550,19.401,0.283,NaN,NaN
58436.559,19.402,0.173,NaN,NaN
58442.498,NaN,NaN,18.789,0.168
58442.519,NaN,NaN,19.317,0.287
58442.527,NaN,NaN,19.255,0.240
58450.497,NaN,NaN,18.453,0.122
58450.507,NaN,NaN,19.354,0.286
58450.520,NaN,NaN,19.095,0.198
58450.530,NaN,NaN,18.676,0.142
58452.508,NaN,NaN,18.858,0.108
58452.522,NaN,NaN,18.807,0.118
58454.507,NaN,NaN,18.902,0.127
58454.516,NaN,NaN,18.893,0.122
58454.529,NaN,NaN,18.933,0.127
58454.534,NaN,NaN,19.162,0.152
58456.586,19.095,0.111,NaN,NaN
58456.596,19.148,0.108,NaN,NaN
58456.616,19.427,0.139,NaN,NaN
58456.621,19.406,0.148,NaN,NaN
58458.538,NaN,NaN,19.112,0.144
58458.547,NaN,NaN,18.979,0.139
58458.556,NaN,NaN,18.862,0.122
58458.565,NaN,NaN,18.604,0.094
58460.534,19.627,0.167,NaN,NaN
58460.542,19.582,0.186,NaN,NaN
58460.552,19.271,0.130,NaN,NaN
58460.563,19.423,0.159,NaN,NaN
58462.506,NaN,NaN,19.304,0.191
58462.515,NaN,NaN,19.006,0.142
58462.517,NaN,NaN,19.007,0.130
58462.523,NaN,NaN,19.250,0.169
58466.503,NaN,NaN,19.061,0.182
58466.517,NaN,NaN,19.131,0.168
58466.535,NaN,NaN,19.267,0.250
58466.547,NaN,NaN,18.840,0.154
58470.490,NaN,NaN,19.246,0.287
58470.501,NaN,NaN,18.906,0.219
58470.511,NaN,NaN,18.762,0.197
58470.520,NaN,NaN,18.709,0.171
58472.493,NaN,NaN,19.220,0.271
58472.500,NaN,NaN,18.929,0.300
58472.502,NaN,NaN,18.898,0.252
58478.504,NaN,NaN,19.083,0.253
58478.514,NaN,NaN,19.137,0.199
58478.523,NaN,NaN,19.140,0.239
58478.533,NaN,NaN,18.972,0.202
58480.482,NaN,NaN,19.240,0.171
58480.493,NaN,NaN,18.919,0.122
58480.503,NaN,NaN,19.106,0.127
58480.513,NaN,NaN,19.190,0.157
58486.468,NaN,NaN,19.191,0.189
58486.476,NaN,NaN,19.343,0.221
58486.478,NaN,NaN,18.977,0.152
58486.478,NaN,NaN,19.386,0.189
58486.485,NaN,NaN,19.685,0.249
58486.486,NaN,NaN,19.379,0.192
58486.497,NaN,NaN,19.525,0.267
58488.478,19.764,0.232,NaN,NaN
58490.468,NaN,NaN,19.719,0.278
58490.478,NaN,NaN,19.275,0.169
58490.487,NaN,NaN,19.393,0.187
58490.498,NaN,NaN,19.463,0.227
58492.524,20.082,0.283,NaN,NaN
58492.534,19.818,0.229,NaN,NaN
58494.444,NaN,NaN,19.374,0.161
58494.452,NaN,NaN,19.661,0.236
58494.453,NaN,NaN,19.343,0.188
58494.465,NaN,NaN,19.598,0.232
58496.482,NaN,NaN,19.541,0.217
58496.489,NaN,NaN,19.450,0.188
58496.509,NaN,NaN,19.637,0.235
58498.437,NaN,NaN,19.364,0.233
58500.420,NaN,NaN,19.270,0.222
58500.438,NaN,NaN,19.041,0.184
58500.448,NaN,NaN,19.490,0.289
58508.419,NaN,NaN,19.802,0.275
58508.438,NaN,NaN,19.758,0.295
58508.449,NaN,NaN,19.716,0.236
58510.421,NaN,NaN,19.359,0.202
58514.410,NaN,NaN,19.716,0.298
58542.381,NaN,NaN,19.955,0.289
58572.290,NaN,NaN,19.721,0.255
58598.283,NaN,NaN,19.245,0.299
