MJD,c,c_err,o,o_err
58443.538,NaN,NaN,18.401,0.146
58443.555,NaN,NaN,18.242,0.120
58443.588,NaN,NaN,18.327,0.135
58444.542,NaN,NaN,17.872,0.136
58444.552,NaN,NaN,17.904,0.139
58444.556,NaN,NaN,17.941,0.124
58444.563,NaN,NaN,17.731,0.107
58444.566,NaN,NaN,17.809,0.126
58444.573,NaN,NaN,17.938,0.133
58451.562,NaN,NaN,17.011,0.023
58451.577,NaN,NaN,17.032,0.025
58451.584,NaN,NaN,17.042,0.026
58451.596,NaN,NaN,17.076,0.024
58453.541,NaN,NaN,16.989,0.027
58453.560,NaN,NaN,17.036,0.034
58453.569,NaN,NaN,17.041,0.027
58453.570,NaN,NaN,16.998,0.027
58454.573,16.974,0.020,NaN,NaN
58454.582,17.009,0.021,NaN,NaN
58454.591,17.027,0.022,NaN,NaN
58454.600,16.960,0.021,NaN,NaN
58455.524,16.970,0.017,NaN,NaN
58455.542,17.021,0.023,NaN,NaN
58455.542,16.980,0.022,NaN,NaN
58455.552,17.027,0.023,NaN,NaN
58459.509,17.168,0.023,NaN,NaN
58459.523,17.092,0.020,NaN,NaN
58459.530,17.099,0.020,NaN,NaN
58459.540,17.127,0.020,NaN,NaN
58461.492,NaN,NaN,17.091,0.028
58461.493,NaN,NaN,17.059,0.025
58461.507,NaN,NaN,17.072,0.032
58461.515,NaN,NaN,17.095,0.026
58465.498,NaN,NaN,17.226,0.031
58465.512,NaN,NaN,17.125,0.030
58465.512,NaN,NaN,17.162,0.030
58465.520,NaN,NaN,17.130,0.028
58473.466,NaN,NaN,17.246,0.082
58473.471,NaN,NaN,17.321,0.081
58473.483,NaN,NaN,17.425,0.092
58479.470,NaN,NaN,17.317,0.035
58479.470,NaN,NaN,17.271,0.036
58479.476,NaN,NaN,17.287,0.030
58479.487,NaN,NaN,17.219,0.033
58481.487,NaN,NaN,17.333,0.046
58483.465,NaN,NaN,17.341,0.029
58483.479,NaN,NaN,17.369,0.030
58483.480,NaN,NaN,17.347,0.028
58483.488,NaN,NaN,17.359,0.032
58485.442,NaN,NaN,17.302,0.031
58485.459,NaN,NaN,17.439,0.043
58485.465,NaN,NaN,17.416,0.040
58485.477,NaN,NaN,17.401,0.038
58487.464,17.859,0.038,NaN,NaN
58487.479,17.757,0.034,NaN,NaN
58487.486,17.705,0.037,NaN,NaN
58487.498,17.823,0.040,NaN,NaN
58489.438,NaN,NaN,17.428,0.048
58489.454,NaN,NaN,17.433,0.050
58489.454,NaN,NaN,17.489,0.052
