MJD,c,c_err,o,o_err
58450.442,NaN,NaN,18.213,0.075
58450.453,NaN,NaN,18.115,0.087
58450.462,NaN,NaN,18.176,0.065
58450.473,NaN,NaN,18.240,0.079
58452.431,NaN,NaN,17.845,0.066
58452.440,NaN,NaN,17.716,0.053
58452.449,NaN,NaN,17.874,0.062
58452.459,NaN,NaN,18.133,0.084
58454.431,17.748,0.040,NaN,NaN
58454.440,17.779,0.037,NaN,NaN
58454.442,17.781,0.044,NaN,NaN
58454.449,17.750,0.038,NaN,NaN
58454.451,17.844,0.042,NaN,NaN
58454.458,17.667,0.033,NaN,NaN
58454.460,17.740,0.038,NaN,NaN
58454.469,17.737,0.047,NaN,NaN
58456.393,NaN,NaN,17.902,0.069
58456.401,NaN,NaN,17.565,0.060
58456.417,NaN,NaN,17.737,0.058
58458.394,17.684,0.040,NaN,NaN
58458.403,17.762,0.039,NaN,NaN
58458.411,17.725,0.035,NaN,NaN
58458.420,17.746,0.041,NaN,NaN
58460.381,NaN,NaN,17.635,0.054
58460.389,NaN,NaN,17.584,0.054
58460.397,NaN,NaN,17.648,0.056
58460.405,NaN,NaN,17.710,0.059
58462.393,17.727,0.040,NaN,NaN
58462.401,17.808,0.048,NaN,NaN
58462.402,17.764,0.045,NaN,NaN
58462.410,17.871,0.059,NaN,NaN
58462.410,17.798,0.041,NaN,NaN
58462.418,17.859,0.051,NaN,NaN
58462.419,17.909,0.048,NaN,NaN
58462.428,17.809,0.057,NaN,NaN
58464.374,NaN,NaN,17.735,0.061
58464.390,NaN,NaN,17.593,0.053
58464.398,NaN,NaN,17.781,0.068
58468.340,NaN,NaN,18.001,0.072
58468.349,NaN,NaN,17.776,0.059
58468.357,NaN,NaN,17.777,0.067
58468.365,NaN,NaN,17.876,0.075
58470.347,NaN,NaN,17.775,0.083
58470.355,NaN,NaN,17.893,0.103
58470.364,NaN,NaN,17.921,0.103
58470.372,NaN,NaN,17.949,0.097
58474.474,NaN,NaN,18.245,0.209
58476.359,NaN,NaN,17.788,0.096
58476.367,NaN,NaN,18.113,0.146
58476.375,NaN,NaN,18.007,0.136
58476.383,NaN,NaN,18.004,0.117
58478.367,NaN,NaN,17.840,0.080
58478.375,NaN,NaN,17.628,0.064
58478.383,NaN,NaN,17.658,0.065
58478.391,NaN,NaN,17.927,0.101
58480.354,NaN,NaN,17.777,0.052
58480.378,NaN,NaN,18.008,0.095
58486.356,18.294,0.061,NaN,NaN
58486.365,18.140,0.057,NaN,NaN
58486.373,18.221,0.063,NaN,NaN
58486.381,18.396,0.071,NaN,NaN
58488.342,NaN,NaN,17.914,0.070
58488.350,NaN,NaN,18.081,0.076
58488.358,NaN,NaN,18.049,0.079
58490.347,18.196,0.058,NaN,NaN
58490.355,18.449,0.067,NaN,NaN
58490.363,18.261,0.051,NaN,NaN
58490.372,18.548,0.079,NaN,NaN
58492.332,NaN,NaN,18.068,0.072
58492.348,NaN,NaN,17.844,0.060
58494.313,18.294,0.070,NaN,NaN
58494.321,18.353,0.079,NaN,NaN
58494.329,18.331,0.068,NaN,NaN
58494.337,18.334,0.066,NaN,NaN
58496.298,NaN,NaN,17.910,0.067
58496.315,NaN,NaN,18.151,0.086
58496.332,NaN,NaN,18.291,0.106
58498.306,NaN,NaN,17.960,0.099
58498.314,NaN,NaN,17.925,0.088
58498.322,NaN,NaN,17.855,0.103
58498.330,NaN,NaN,17.912,0.104
58500.308,NaN,NaN,18.060,0.185
58502.334,NaN,NaN,17.887,0.117
58502.342,NaN,NaN,18.407,0.150
58506.296,NaN,NaN,17.729,0.069
58506.304,NaN,NaN,17.944,0.078
58506.312,NaN,NaN,18.088,0.089
58506.320,NaN,NaN,18.052,0.104
58508.292,NaN,NaN,17.985,0.068
58508.300,NaN,NaN,17.999,0.068
58508.308,NaN,NaN,18.085,0.075
58508.316,NaN,NaN,18.059,0.065
58510.290,NaN,NaN,17.938,0.054
58510.298,NaN,NaN,17.962,0.071
58510.298,NaN,NaN,17.877,0.064
58510.322,NaN,NaN,18.236,0.098
58512.282,NaN,NaN,17.949,0.093
58512.290,NaN,NaN,18.306,0.143
58512.293,NaN,NaN,17.814,0.071
58512.298,NaN,NaN,18.031,0.113
58512.301,NaN,NaN,17.625,0.077
58512.306,NaN,NaN,17.974,0.102
58512.309,NaN,NaN,17.907,0.092
58512.317,NaN,NaN,18.002,0.092
58516.313,NaN,NaN,18.093,0.081
58518.309,18.526,0.091,NaN,NaN
58518.317,18.707,0.102,NaN,NaN
58518.326,18.569,0.090,NaN,NaN
58520.287,NaN,NaN,18.096,0.082
58520.294,NaN,NaN,18.117,0.086
58520.302,NaN,NaN,17.868,0.066
58520.311,NaN,NaN,17.975,0.081
58532.273,NaN,NaN,18.349,0.242
58532.279,NaN,NaN,17.975,0.171
58532.285,NaN,NaN,18.201,0.204
58532.291,NaN,NaN,17.762,0.140
58536.260,NaN,NaN,18.036,0.090
58536.267,NaN,NaN,18.700,0.140
58540.226,NaN,NaN,18.201,0.092
58540.234,NaN,NaN,18.013,0.066
58540.242,NaN,NaN,18.059,0.073
58540.250,NaN,NaN,18.177,0.081
58544.228,NaN,NaN,18.266,0.110
58548.231,NaN,NaN,18.598,0.236
58556.254,NaN,NaN,18.333,0.141
58556.262,NaN,NaN,18.527,0.190
58556.276,NaN,NaN,18.225,0.161
58694.620,19.946,0.296,NaN,NaN
58700.593,NaN,NaN,19.497,0.274
58704.588,NaN,NaN,19.632,0.300
