MJD,c,c_err,o,o_err
58501.541,NaN,NaN,18.213,0.105
58501.541,NaN,NaN,18.173,0.098
58501.551,NaN,NaN,18.155,0.093
58501.568,NaN,NaN,18.083,0.083
58503.560,NaN,NaN,17.361,0.048
58503.567,NaN,NaN,17.352,0.056
58503.579,NaN,NaN,17.216,0.041
58503.586,NaN,NaN,17.356,0.051
58505.589,NaN,NaN,17.165,0.059
58505.599,NaN,NaN,17.195,0.053
58505.609,NaN,NaN,17.325,0.071
58505.612,NaN,NaN,17.155,0.055
58505.620,NaN,NaN,17.196,0.061
58505.623,NaN,NaN,17.110,0.051
58505.641,NaN,NaN,17.163,0.063
58507.574,NaN,NaN,16.891,0.037
58507.580,NaN,NaN,17.010,0.040
58507.590,NaN,NaN,16.903,0.037
58507.600,NaN,NaN,16.941,0.031
58509.590,NaN,NaN,16.920,0.048
58509.591,NaN,NaN,17.021,0.043
58509.596,NaN,NaN,16.876,0.039
58509.601,NaN,NaN,16.951,0.036
58509.606,NaN,NaN,16.998,0.044
58509.611,NaN,NaN,16.970,0.039
58509.616,NaN,NaN,16.957,0.035
58509.621,NaN,NaN,16.902,0.035
58513.608,NaN,NaN,16.772,0.022
58517.575,NaN,NaN,16.769,0.023
58517.582,NaN,NaN,16.751,0.024
58517.591,NaN,NaN,16.778,0.021
58517.600,NaN,NaN,16.820,0.022
58519.569,16.822,0.018,NaN,NaN
58519.587,16.908,0.019,NaN,NaN
58519.588,16.856,0.018,NaN,NaN
58519.598,16.826,0.019,NaN,NaN
58519.599,16.862,0.017,NaN,NaN
58519.605,16.878,0.018,NaN,NaN
58519.606,16.852,0.017,NaN,NaN
58519.614,16.863,0.018,NaN,NaN
58523.576,16.902,0.021,NaN,NaN
58529.514,NaN,NaN,16.797,0.034
58529.515,NaN,NaN,16.796,0.029
58529.516,NaN,NaN,16.952,0.043
58529.525,NaN,NaN,16.866,0.028
58529.525,NaN,NaN,16.874,0.038
58529.535,NaN,NaN,16.944,0.037
58529.543,NaN,NaN,16.889,0.035
58529.543,NaN,NaN,16.838,0.024
58537.536,NaN,NaN,16.887,0.039
58541.579,NaN,NaN,17.041,0.026
58545.512,NaN,NaN,17.114,0.030
58545.522,NaN,NaN,17.001,0.022
58545.541,NaN,NaN,17.132,0.026
58545.543,NaN,NaN,17.049,0.025
58549.534,NaN,NaN,17.161,0.031
58549.534,NaN,NaN,17.152,0.028
58549.536,NaN,NaN,17.107,0.029
58549.544,NaN,NaN,17.103,0.029
58549.545,NaN,NaN,17.044,0.028
58549.546,NaN,NaN,17.134,0.029
58549.546,NaN,NaN,17.160,0.028
58549.563,NaN,NaN,17.161,0.026
58557.464,NaN,NaN,17.252,0.033
58557.473,NaN,NaN,17.165,0.032
58557.492,NaN,NaN,17.277,0.031
58557.494,NaN,NaN,17.181,0.029
58561.488,NaN,NaN,17.257,0.056
58561.505,NaN,NaN,17.179,0.047
58561.514,NaN,NaN,17.284,0.060
58561.519,NaN,NaN,17.081,0.052
58565.479,NaN,NaN,17.310,0.051
58565.489,NaN,NaN,17.276,0.054
58565.507,NaN,NaN,17.674,0.110
58565.507,NaN,NaN,17.128,0.051
58565.510,NaN,NaN,17.249,0.056
58567.490,NaN,NaN,17.294,0.041
58567.499,NaN,NaN,17.108,0.059
58567.500,NaN,NaN,17.303,0.057
58567.515,NaN,NaN,17.385,0.038
58569.466,NaN,NaN,17.316,0.036
58569.475,NaN,NaN,17.320,0.035
58569.484,NaN,NaN,17.308,0.036
58569.493,NaN,NaN,17.270,0.035
58569.494,NaN,NaN,17.256,0.036
58569.494,NaN,NaN,17.325,0.038
58569.497,NaN,NaN,17.303,0.039
58569.497,NaN,NaN,17.193,0.030
58571.455,NaN,NaN,17.226,0.033
58571.464,NaN,NaN,17.304,0.031
58571.472,NaN,NaN,17.317,0.031
58571.483,NaN,NaN,17.202,0.031
58571.484,NaN,NaN,17.296,0.029
58571.486,NaN,NaN,17.252,0.032
58571.487,NaN,NaN,17.230,0.031
58571.502,NaN,NaN,17.185,0.027
58573.466,NaN,NaN,17.325,0.041
58573.466,NaN,NaN,17.324,0.041
58573.475,NaN,NaN,17.330,0.037
58573.476,NaN,NaN,17.346,0.040
58573.477,NaN,NaN,17.226,0.032
58573.493,NaN,NaN,17.298,0.050
58573.495,NaN,NaN,17.124,0.044
58573.495,NaN,NaN,17.273,0.036
58573.497,NaN,NaN,17.311,0.041
58575.470,17.892,0.039,NaN,NaN
58575.480,17.924,0.035,NaN,NaN
58575.499,17.774,0.038,NaN,NaN
58575.502,17.832,0.033,NaN,NaN
58577.461,NaN,NaN,17.296,0.030
58577.472,NaN,NaN,17.268,0.030
58577.473,NaN,NaN,17.332,0.031
58577.491,NaN,NaN,17.272,0.029
58579.475,17.958,0.047,NaN,NaN
58579.477,17.865,0.052,NaN,NaN
58579.477,18.058,0.051,NaN,NaN
58579.487,17.956,0.047,NaN,NaN
58579.487,17.967,0.045,NaN,NaN
58579.488,18.003,0.050,NaN,NaN
58579.504,17.827,0.046,NaN,NaN
58579.505,18.061,0.070,NaN,NaN
58581.455,NaN,NaN,17.313,0.032
58581.465,NaN,NaN,17.390,0.032
58581.466,NaN,NaN,17.284,0.031
58581.483,NaN,NaN,17.402,0.040
58583.425,18.042,0.056,NaN,NaN
58583.434,18.021,0.058,NaN,NaN
58583.441,17.939,0.051,NaN,NaN
58583.451,17.976,0.052,NaN,NaN
58583.453,17.952,0.047,NaN,NaN
58583.455,18.113,0.054,NaN,NaN
58583.456,18.054,0.056,NaN,NaN
58583.472,17.930,0.051,NaN,NaN
58585.451,NaN,NaN,17.364,0.034
58585.459,NaN,NaN,17.359,0.032
58585.468,NaN,NaN,17.313,0.032
58589.406,NaN,NaN,17.441,0.093
58589.422,NaN,NaN,17.323,0.063
58589.434,NaN,NaN,17.214,0.070
58589.435,NaN,NaN,17.288,0.073
58591.445,NaN,NaN,17.389,0.078
58591.462,NaN,NaN,17.225,0.069
58591.471,NaN,NaN,17.362,0.063
58591.474,NaN,NaN,17.281,0.067
58593.488,NaN,NaN,17.323,0.068
58593.498,NaN,NaN,17.426,0.080
58593.510,NaN,NaN,17.314,0.089
58593.518,NaN,NaN,17.346,0.080
58595.417,NaN,NaN,17.378,0.046
58595.427,NaN,NaN,17.384,0.050
58595.447,NaN,NaN,17.316,0.045
58595.449,NaN,NaN,17.426,0.047
58597.426,NaN,NaN,17.382,0.035
58597.437,NaN,NaN,17.447,0.038
58597.439,NaN,NaN,17.416,0.041
58597.455,NaN,NaN,17.383,0.040
58598.381,NaN,NaN,17.425,0.039
58598.382,NaN,NaN,17.397,0.039
58598.404,NaN,NaN,17.518,0.039
58598.405,NaN,NaN,17.353,0.032
58598.428,NaN,NaN,17.354,0.035
58598.429,NaN,NaN,17.358,0.039
58598.446,NaN,NaN,17.344,0.040
58598.447,NaN,NaN,17.449,0.044
58598.485,NaN,NaN,17.462,0.046
58598.487,NaN,NaN,17.398,0.046
58598.527,NaN,NaN,17.392,0.049
58598.531,NaN,NaN,17.406,0.042
58598.580,NaN,NaN,17.235,0.052
58598.584,NaN,NaN,17.381,0.058
58599.426,NaN,NaN,17.367,0.030
58599.426,NaN,NaN,17.395,0.037
58599.436,NaN,NaN,17.480,0.039
58599.436,NaN,NaN,17.428,0.034
58599.437,NaN,NaN,17.413,0.036
58599.438,NaN,NaN,17.452,0.033
58599.438,NaN,NaN,17.403,0.036
58599.455,NaN,NaN,17.403,0.037
58603.426,18.186,0.057,NaN,NaN
58603.434,18.217,0.058,NaN,NaN
58603.451,18.103,0.056,NaN,NaN
58603.455,18.100,0.055,NaN,NaN
58605.412,NaN,NaN,17.509,0.038
58605.421,NaN,NaN,17.457,0.036
58605.439,NaN,NaN,17.653,0.058
58605.440,NaN,NaN,17.472,0.035
58605.443,NaN,NaN,17.445,0.040
58607.422,18.330,0.055,NaN,NaN
58607.435,18.365,0.055,NaN,NaN
58607.438,18.027,0.042,NaN,NaN
58607.457,18.284,0.057,NaN,NaN
58609.393,NaN,NaN,17.600,0.046
58609.403,NaN,NaN,17.545,0.044
58609.410,NaN,NaN,17.603,0.045
58609.419,NaN,NaN,17.474,0.039
58609.421,NaN,NaN,17.617,0.046
58609.422,NaN,NaN,17.617,0.047
58609.423,NaN,NaN,17.510,0.037
58609.440,NaN,NaN,17.654,0.049
58611.510,18.191,0.046,NaN,NaN
58611.513,18.525,0.062,NaN,NaN
58611.535,18.226,0.052,NaN,NaN
58613.375,NaN,NaN,17.544,0.043
58613.380,NaN,NaN,17.610,0.045
58613.391,NaN,NaN,17.580,0.046
58613.403,NaN,NaN,17.573,0.040
58615.311,NaN,NaN,17.596,0.047
58615.314,NaN,NaN,17.610,0.047
58615.326,NaN,NaN,17.529,0.042
58615.332,NaN,NaN,17.518,0.040
