MJD,c,c_err,o,o_err
58543.448,NaN,NaN,17.213,0.029
58543.450,NaN,NaN,17.203,0.032
58543.453,NaN,NaN,17.209,0.028
58543.458,NaN,NaN,17.119,0.029
58547.429,NaN,NaN,17.029,0.031
58547.445,NaN,NaN,17.038,0.033
58547.453,NaN,NaN,16.997,0.030
58547.457,NaN,NaN,17.035,0.045
58551.444,NaN,NaN,17.035,0.024
58551.454,NaN,NaN,17.048,0.030
58551.463,NaN,NaN,16.978,0.031
58551.473,NaN,NaN,17.032,0.030
58555.434,NaN,NaN,17.118,0.027
58555.443,NaN,NaN,17.087,0.027
58555.453,NaN,NaN,17.140,0.053
58559.411,NaN,NaN,17.060,0.047
58559.419,NaN,NaN,17.129,0.049
58559.427,NaN,NaN,17.072,0.052
58559.435,NaN,NaN,17.062,0.051
58565.455,NaN,NaN,17.110,0.038
58565.463,NaN,NaN,17.062,0.035
58565.471,NaN,NaN,17.134,0.041
58565.479,NaN,NaN,17.145,0.033
58569.384,NaN,NaN,17.104,0.026
58569.392,NaN,NaN,17.109,0.028
58571.390,NaN,NaN,17.078,0.029
58571.399,NaN,NaN,17.125,0.032
58571.407,NaN,NaN,17.143,0.028
58571.415,NaN,NaN,17.109,0.030
58573.370,17.467,0.034,NaN,NaN
58573.377,17.434,0.032,NaN,NaN
58573.385,17.355,0.031,NaN,NaN
58573.393,17.451,0.030,NaN,NaN
58575.377,NaN,NaN,17.169,0.036
58575.386,NaN,NaN,17.126,0.035
58575.394,NaN,NaN,17.133,0.033
58575.403,NaN,NaN,17.118,0.039
58577.372,17.457,0.031,NaN,NaN
58577.381,17.473,0.029,NaN,NaN
58577.385,17.431,0.029,NaN,NaN
58577.389,17.457,0.029,NaN,NaN
58577.393,17.436,0.028,NaN,NaN
58577.398,17.462,0.028,NaN,NaN
58577.402,17.365,0.024,NaN,NaN
58577.410,17.439,0.031,NaN,NaN
58579.360,NaN,NaN,17.157,0.037
58579.368,NaN,NaN,17.166,0.029
58579.372,NaN,NaN,17.179,0.030
58579.376,NaN,NaN,17.151,0.033
58579.381,NaN,NaN,17.187,0.030
58579.384,NaN,NaN,17.148,0.030
58579.389,NaN,NaN,17.164,0.034
58579.397,NaN,NaN,17.177,0.031
58581.374,17.377,0.028,NaN,NaN
58581.382,17.456,0.030,NaN,NaN
58581.386,17.535,0.032,NaN,NaN
58581.391,17.494,0.029,NaN,NaN
58581.395,17.493,0.032,NaN,NaN
58581.401,17.467,0.029,NaN,NaN
58581.405,17.476,0.030,NaN,NaN
58581.415,17.492,0.031,NaN,NaN
58583.383,NaN,NaN,17.197,0.039
58583.392,NaN,NaN,17.120,0.036
58583.401,NaN,NaN,17.217,0.037
58589.356,NaN,NaN,17.082,0.075
58590.417,NaN,NaN,17.245,0.083
58590.429,NaN,NaN,17.112,0.070
58593.405,NaN,NaN,17.243,0.077
58593.413,NaN,NaN,17.188,0.083
58595.381,NaN,NaN,17.129,0.049
58595.389,NaN,NaN,17.162,0.048
58595.398,NaN,NaN,17.146,0.045
58595.406,NaN,NaN,17.168,0.045
58597.314,NaN,NaN,17.103,0.026
58597.321,NaN,NaN,17.105,0.027
58597.327,NaN,NaN,17.128,0.026
58597.334,NaN,NaN,17.117,0.027
58599.329,NaN,NaN,17.072,0.026
58599.337,NaN,NaN,17.196,0.034
58599.345,NaN,NaN,17.064,0.030
58599.348,NaN,NaN,17.002,0.041
58599.353,NaN,NaN,17.040,0.027
58605.337,17.547,0.036,NaN,NaN
58605.346,17.557,0.038,NaN,NaN
58605.355,17.630,0.042,NaN,NaN
58605.363,17.600,0.041,NaN,NaN
58609.314,17.626,0.031,NaN,NaN
58609.321,17.521,0.030,NaN,NaN
58609.327,17.599,0.032,NaN,NaN
58609.334,17.644,0.035,NaN,NaN
58611.329,NaN,NaN,17.143,0.034
58611.331,NaN,NaN,17.208,0.035
58611.336,NaN,NaN,17.223,0.035
58611.354,NaN,NaN,17.100,0.032
58613.312,NaN,NaN,17.153,0.030
58613.315,NaN,NaN,17.242,0.035
58613.322,NaN,NaN,17.158,0.032
58618.314,NaN,NaN,17.238,0.049
58618.317,NaN,NaN,17.194,0.046
58618.322,NaN,NaN,17.148,0.050
58618.332,NaN,NaN,17.269,0.045
58619.320,NaN,NaN,17.256,0.084
58620.289,NaN,NaN,17.294,0.092
58620.295,NaN,NaN,17.197,0.084
58621.340,NaN,NaN,17.242,0.063
58621.344,NaN,NaN,17.168,0.062
58621.350,NaN,NaN,17.244,0.066
58621.360,NaN,NaN,17.196,0.082
58623.291,NaN,NaN,17.259,0.057
58623.294,NaN,NaN,17.244,0.058
58623.299,NaN,NaN,17.286,0.075
58623.310,NaN,NaN,17.306,0.059
58625.281,NaN,NaN,17.256,0.033
58625.285,NaN,NaN,17.312,0.032
58625.292,NaN,NaN,17.188,0.033
58625.304,NaN,NaN,17.294,0.032
58627.339,NaN,NaN,17.272,0.042
58627.342,NaN,NaN,17.290,0.045
58627.351,NaN,NaN,17.237,0.037
58627.357,NaN,NaN,17.286,0.045
58629.296,NaN,NaN,17.295,0.046
58629.299,NaN,NaN,17.293,0.040
58629.312,NaN,NaN,17.391,0.050
58629.319,NaN,NaN,17.281,0.046
58633.255,17.852,0.044,NaN,NaN
58633.258,17.841,0.044,NaN,NaN
58633.264,17.835,0.037,NaN,NaN
58633.273,17.876,0.047,NaN,NaN
58635.267,NaN,NaN,17.368,0.043
58635.270,NaN,NaN,17.419,0.043
58635.275,NaN,NaN,17.380,0.036
58635.285,NaN,NaN,17.336,0.037
58637.308,18.109,0.057,NaN,NaN
58637.311,18.029,0.049,NaN,NaN
58637.326,17.908,0.045,NaN,NaN
58637.336,17.856,0.053,NaN,NaN
58647.249,NaN,NaN,17.951,0.160
58647.259,NaN,NaN,17.556,0.071
58648.259,NaN,NaN,17.713,0.124
58648.263,NaN,NaN,17.884,0.140
58791.625,NaN,NaN,19.749,0.272
58795.644,NaN,NaN,19.318,0.290
