MJD,c,c_err,o,o_err
58542.649,NaN,NaN,19.698,0.299
58546.619,NaN,NaN,19.059,0.156
58546.630,NaN,NaN,19.068,0.149
58546.640,NaN,NaN,18.868,0.126
58546.650,NaN,NaN,18.990,0.150
58550.591,NaN,NaN,18.723,0.100
58550.601,NaN,NaN,18.592,0.098
58550.611,NaN,NaN,18.870,0.118
58550.621,NaN,NaN,18.765,0.099
58554.563,NaN,NaN,19.046,0.141
58554.573,NaN,NaN,18.848,0.110
58554.583,NaN,NaN,18.847,0.112
58554.594,NaN,NaN,18.873,0.109
58558.578,NaN,NaN,18.940,0.143
58558.588,NaN,NaN,18.821,0.112
58558.591,NaN,NaN,18.826,0.129
58558.598,NaN,NaN,18.773,0.122
58558.601,NaN,NaN,18.707,0.120
58558.608,NaN,NaN,19.060,0.162
58558.611,NaN,NaN,18.875,0.148
58558.621,NaN,NaN,18.964,0.174
58561.546,NaN,NaN,18.839,0.250
58561.547,NaN,NaN,19.011,0.295
58561.558,NaN,NaN,19.054,0.264
58561.568,NaN,NaN,18.678,0.195
58561.578,NaN,NaN,19.054,0.258
58561.585,NaN,NaN,19.056,0.256
58562.511,NaN,NaN,18.777,0.270
58562.521,NaN,NaN,18.737,0.249
58568.546,NaN,NaN,19.258,0.160
58568.553,NaN,NaN,19.023,0.159
58568.562,NaN,NaN,19.271,0.175
58568.572,NaN,NaN,19.067,0.146
58570.569,NaN,NaN,19.415,0.231
58570.579,NaN,NaN,19.160,0.164
58570.589,NaN,NaN,19.037,0.166
58570.598,NaN,NaN,19.665,0.283
58572.528,NaN,NaN,19.233,0.143
58572.537,NaN,NaN,19.101,0.127
58572.547,NaN,NaN,19.434,0.148
58572.557,NaN,NaN,19.231,0.137
58574.610,NaN,NaN,19.452,0.208
58576.568,19.583,0.183,NaN,NaN
58576.581,19.549,0.151,NaN,NaN
58576.588,19.374,0.142,NaN,NaN
58576.599,19.408,0.165,NaN,NaN
58578.552,NaN,NaN,19.255,0.182
58578.568,NaN,NaN,19.304,0.189
58578.579,NaN,NaN,19.249,0.180
58580.544,19.641,0.198,NaN,NaN
58580.556,19.586,0.162,NaN,NaN
58580.568,19.415,0.174,NaN,NaN
58580.579,19.410,0.161,NaN,NaN
58582.512,NaN,NaN,19.420,0.196
58582.518,NaN,NaN,19.572,0.226
58582.541,NaN,NaN,19.664,0.294
58582.544,NaN,NaN,19.307,0.192
58588.522,NaN,NaN,18.823,0.163
58588.543,NaN,NaN,19.413,0.243
58588.545,NaN,NaN,19.266,0.222
58588.545,NaN,NaN,19.197,0.210
58596.508,NaN,NaN,18.974,0.193
58596.523,NaN,NaN,19.108,0.173
58596.526,NaN,NaN,19.437,0.283
58598.411,NaN,NaN,19.424,0.210
58598.412,NaN,NaN,19.380,0.179
58598.435,NaN,NaN,19.186,0.186
58598.436,NaN,NaN,19.480,0.246
58598.469,NaN,NaN,19.291,0.213
58598.471,NaN,NaN,19.436,0.185
58598.549,NaN,NaN,19.277,0.228
58598.553,NaN,NaN,19.706,0.268
58598.609,NaN,NaN,19.344,0.264
58600.526,NaN,NaN,19.185,0.194
58600.545,NaN,NaN,19.333,0.289
58604.491,20.019,0.238,NaN,NaN
58604.499,19.855,0.191,NaN,NaN
58604.513,19.545,0.138,NaN,NaN
58604.517,20.144,0.283,NaN,NaN
58606.512,NaN,NaN,19.334,0.213
58610.497,NaN,NaN,19.034,0.205
58610.498,NaN,NaN,19.569,0.282
58610.514,NaN,NaN,19.294,0.252
58612.419,20.103,0.236,NaN,NaN
58612.421,19.847,0.202,NaN,NaN
58612.426,20.017,0.217,NaN,NaN
58612.442,19.715,0.182,NaN,NaN
58614.412,NaN,NaN,19.791,0.281
58614.417,NaN,NaN,19.138,0.204
58615.409,NaN,NaN,19.688,0.218
58615.420,NaN,NaN,19.416,0.199
58616.439,NaN,NaN,19.472,0.196
58617.439,NaN,NaN,19.259,0.256
58617.455,NaN,NaN,19.222,0.248
58618.414,NaN,NaN,19.010,0.232
58618.420,NaN,NaN,19.159,0.255
58618.430,NaN,NaN,19.004,0.200
58620.414,NaN,NaN,19.297,0.245
58630.391,NaN,NaN,19.484,0.217
58634.372,NaN,NaN,19.703,0.300
58634.375,NaN,NaN,19.721,0.283
58634.380,NaN,NaN,19.597,0.217
58634.386,NaN,NaN,19.671,0.232
58634.390,NaN,NaN,19.557,0.241
58636.337,20.069,0.241,NaN,NaN
58636.342,19.793,0.182,NaN,NaN
58636.347,20.050,0.207,NaN,NaN
58636.365,20.031,0.193,NaN,NaN
58642.356,NaN,NaN,19.857,0.265
58642.362,NaN,NaN,19.639,0.267
58642.365,NaN,NaN,19.613,0.273
58642.383,NaN,NaN,19.802,0.289
58644.361,NaN,NaN,19.642,0.231
58644.364,NaN,NaN,19.591,0.214
58644.369,NaN,NaN,19.850,0.298
58644.386,NaN,NaN,19.440,0.176
58648.340,NaN,NaN,19.447,0.269
58648.347,NaN,NaN,19.365,0.242
58656.345,NaN,NaN,20.090,0.279
