MJD,c,c_err,o,o_err
58542.453,NaN,NaN,18.989,0.148
58542.465,NaN,NaN,18.890,0.159
58542.472,NaN,NaN,19.226,0.220
58542.482,NaN,NaN,18.802,0.164
58546.444,NaN,NaN,18.298,0.077
58546.451,NaN,NaN,18.701,0.099
58546.461,NaN,NaN,18.583,0.093
58546.472,NaN,NaN,18.551,0.098
58550.434,NaN,NaN,18.532,0.082
58550.441,NaN,NaN,18.565,0.091
58550.450,NaN,NaN,18.581,0.089
58550.460,NaN,NaN,18.466,0.078
58554.419,NaN,NaN,18.586,0.102
58554.426,NaN,NaN,18.382,0.071
58554.436,NaN,NaN,18.339,0.073
58554.445,NaN,NaN,18.390,0.078
58558.421,NaN,NaN,18.157,0.118
58558.430,NaN,NaN,18.474,0.153
58558.438,NaN,NaN,18.553,0.152
58558.450,NaN,NaN,18.643,0.160
58566.420,NaN,NaN,18.277,0.212
58568.394,NaN,NaN,18.664,0.070
58568.405,NaN,NaN,18.601,0.078
58568.414,NaN,NaN,18.718,0.106
58568.424,NaN,NaN,18.864,0.107
58572.367,NaN,NaN,18.588,0.080
58572.373,NaN,NaN,18.491,0.081
58572.383,NaN,NaN,18.586,0.080
58572.392,NaN,NaN,18.549,0.085
58576.392,18.917,0.120,NaN,NaN
58576.401,18.701,0.093,NaN,NaN
58576.409,18.733,0.093,NaN,NaN
58576.420,19.001,0.102,NaN,NaN
58576.421,18.726,0.090,NaN,NaN
58576.430,18.831,0.114,NaN,NaN
58576.431,18.983,0.109,NaN,NaN
58576.450,18.841,0.110,NaN,NaN
58578.375,NaN,NaN,18.656,0.105
58578.386,NaN,NaN,18.745,0.120
58578.394,NaN,NaN,18.817,0.124
58578.403,NaN,NaN,18.742,0.113
58580.390,18.967,0.115,NaN,NaN
58580.399,19.121,0.130,NaN,NaN
58580.408,18.782,0.104,NaN,NaN
58580.416,19.075,0.126,NaN,NaN
58582.362,NaN,NaN,18.754,0.141
58582.372,NaN,NaN,18.685,0.121
58582.380,NaN,NaN,18.630,0.112
58582.389,NaN,NaN,18.667,0.122
58588.364,NaN,NaN,18.627,0.221
58588.372,NaN,NaN,18.422,0.185
58588.379,NaN,NaN,18.587,0.204
58588.391,NaN,NaN,18.689,0.195
58594.323,NaN,NaN,18.484,0.234
58594.327,NaN,NaN,18.849,0.287
58594.336,NaN,NaN,18.894,0.297
58594.347,NaN,NaN,18.346,0.200
58596.324,NaN,NaN,18.650,0.106
58596.331,NaN,NaN,18.535,0.104
58596.340,NaN,NaN,18.644,0.101
58596.347,NaN,NaN,19.180,0.228
58598.305,NaN,NaN,18.510,0.130
58598.314,NaN,NaN,18.460,0.139
58598.322,NaN,NaN,18.734,0.147
58598.323,NaN,NaN,19.009,0.195
58598.329,NaN,NaN,18.703,0.139
58598.332,NaN,NaN,18.595,0.123
58598.338,NaN,NaN,18.627,0.130
58598.349,NaN,NaN,18.429,0.116
58600.340,NaN,NaN,18.611,0.132
58600.354,NaN,NaN,18.744,0.202
58604.337,19.179,0.140,NaN,NaN
58604.347,19.093,0.151,NaN,NaN
58604.354,18.836,0.095,NaN,NaN
58604.366,18.839,0.114,NaN,NaN
58610.303,NaN,NaN,18.639,0.142
58610.312,NaN,NaN,18.692,0.140
58612.269,19.151,0.144,NaN,NaN
58612.270,18.968,0.122,NaN,NaN
58612.276,19.175,0.146,NaN,NaN
58612.291,19.050,0.140,NaN,NaN
58614.258,NaN,NaN,18.816,0.186
58614.262,NaN,NaN,18.505,0.153
58614.267,NaN,NaN,18.794,0.186
58614.276,NaN,NaN,18.547,0.131
58616.259,NaN,NaN,18.864,0.162
58616.264,NaN,NaN,18.780,0.149
58616.268,NaN,NaN,18.610,0.138
58616.278,NaN,NaN,18.489,0.124
58618.272,NaN,NaN,18.812,0.226
58618.274,NaN,NaN,18.932,0.250
58618.280,NaN,NaN,18.940,0.261
58618.290,NaN,NaN,18.977,0.252
58620.295,NaN,NaN,18.899,0.228
58620.298,NaN,NaN,18.776,0.170
58620.308,NaN,NaN,18.648,0.203
58622.255,NaN,NaN,18.630,0.284
58626.240,NaN,NaN,18.618,0.249
58626.247,NaN,NaN,18.758,0.180
58626.257,NaN,NaN,18.878,0.174
58628.246,NaN,NaN,19.097,0.162
58628.248,NaN,NaN,18.828,0.134
58628.251,NaN,NaN,18.869,0.135
58628.255,NaN,NaN,18.645,0.103
58628.256,NaN,NaN,18.740,0.117
58628.265,NaN,NaN,19.025,0.194
58634.249,NaN,NaN,18.571,0.142
58634.258,NaN,NaN,18.983,0.173
58636.250,18.856,0.210,NaN,NaN
58636.260,19.518,0.197,NaN,NaN
58830.499,NaN,NaN,19.312,0.278
