MJD,c,c_err,o,o_err
58549.634,NaN,NaN,19.360,0.178
58549.644,NaN,NaN,19.904,0.270
58549.654,NaN,NaN,19.133,0.165
58560.567,NaN,NaN,18.803,0.154
58560.575,NaN,NaN,18.913,0.185
58560.584,NaN,NaN,19.190,0.216
58560.593,NaN,NaN,19.015,0.175
58561.600,NaN,NaN,18.715,0.169
58561.611,NaN,NaN,18.566,0.148
58561.623,NaN,NaN,18.505,0.126
58565.566,NaN,NaN,18.878,0.218
58565.590,NaN,NaN,18.864,0.222
58566.561,NaN,NaN,18.791,0.202
58569.550,NaN,NaN,18.838,0.149
58569.566,NaN,NaN,18.740,0.127
58569.578,NaN,NaN,18.867,0.157
58569.588,NaN,NaN,18.543,0.109
58571.553,NaN,NaN,19.019,0.139
58571.559,NaN,NaN,18.741,0.104
58571.568,NaN,NaN,18.876,0.139
58571.578,NaN,NaN,18.834,0.115
58573.545,NaN,NaN,18.476,0.262
58573.566,NaN,NaN,18.766,0.151
58573.576,NaN,NaN,18.616,0.111
58575.553,18.906,0.096,NaN,NaN
58575.569,18.883,0.080,NaN,NaN
58575.576,18.995,0.098,NaN,NaN
58575.590,18.867,0.082,NaN,NaN
58577.544,NaN,NaN,18.903,0.110
58577.550,NaN,NaN,18.632,0.101
58577.564,NaN,NaN,18.690,0.100
58577.575,NaN,NaN,18.748,0.104
58579.554,18.870,0.101,NaN,NaN
58579.559,18.914,0.094,NaN,NaN
58579.573,18.912,0.090,NaN,NaN
58579.586,18.753,0.081,NaN,NaN
58581.539,NaN,NaN,19.123,0.181
58581.554,NaN,NaN,18.735,0.104
58581.562,NaN,NaN,18.941,0.153
58581.574,NaN,NaN,18.864,0.116
58582.553,19.226,0.143,NaN,NaN
58582.562,18.873,0.098,NaN,NaN
58582.571,18.874,0.127,NaN,NaN
58582.581,19.026,0.120,NaN,NaN
58587.504,NaN,NaN,18.889,0.158
58587.509,NaN,NaN,18.695,0.141
58587.510,NaN,NaN,18.857,0.143
58587.522,NaN,NaN,19.268,0.206
58589.490,NaN,NaN,19.097,0.209
58589.498,NaN,NaN,19.171,0.248
58589.511,NaN,NaN,18.672,0.156
58589.511,NaN,NaN,18.950,0.200
58590.538,NaN,NaN,19.088,0.266
58590.548,NaN,NaN,18.698,0.213
58590.558,NaN,NaN,18.545,0.149
58590.569,NaN,NaN,18.696,0.178
58591.516,NaN,NaN,18.745,0.238
58591.531,NaN,NaN,18.807,0.221
58591.535,NaN,NaN,18.362,0.167
58595.522,NaN,NaN,18.527,0.145
58597.505,NaN,NaN,19.023,0.202
58597.511,NaN,NaN,18.868,0.167
58597.533,NaN,NaN,18.721,0.163
58599.552,NaN,NaN,19.054,0.130
58599.557,NaN,NaN,19.058,0.138
58599.571,NaN,NaN,19.241,0.152
58599.579,NaN,NaN,19.109,0.116
58605.495,NaN,NaN,19.057,0.148
58605.510,NaN,NaN,18.993,0.132
58605.517,NaN,NaN,19.022,0.166
58605.529,NaN,NaN,19.087,0.151
58607.517,19.509,0.172,NaN,NaN
58607.531,19.243,0.181,NaN,NaN
58607.532,19.246,0.133,NaN,NaN
58607.539,19.414,0.175,NaN,NaN
58609.476,NaN,NaN,18.983,0.169
58609.491,NaN,NaN,18.949,0.150
58609.497,NaN,NaN,19.161,0.178
58609.509,NaN,NaN,19.563,0.238
58610.505,19.645,0.178,NaN,NaN
58610.515,19.501,0.173,NaN,NaN
58610.524,19.692,0.210,NaN,NaN
58610.534,19.416,0.146,NaN,NaN
58611.466,19.467,0.139,NaN,NaN
58611.469,19.766,0.154,NaN,NaN
58611.476,19.649,0.144,NaN,NaN
58611.495,19.612,0.168,NaN,NaN
58612.488,NaN,NaN,19.052,0.160
58612.490,NaN,NaN,19.002,0.167
58612.506,NaN,NaN,19.072,0.171
58612.521,NaN,NaN,19.559,0.258
58613.447,NaN,NaN,18.982,0.146
58613.450,NaN,NaN,19.396,0.214
58613.461,NaN,NaN,19.060,0.165
58613.476,NaN,NaN,19.147,0.170
58615.404,NaN,NaN,19.372,0.163
58615.415,NaN,NaN,19.042,0.136
58615.438,NaN,NaN,19.005,0.111
58615.448,NaN,NaN,19.152,0.132
58617.393,NaN,NaN,19.267,0.268
58617.396,NaN,NaN,19.126,0.228
58617.409,NaN,NaN,19.273,0.244
58617.421,NaN,NaN,19.092,0.231
58618.476,NaN,NaN,19.681,0.271
58618.479,NaN,NaN,19.482,0.210
58618.487,NaN,NaN,18.888,0.140
58619.422,NaN,NaN,18.845,0.167
58619.424,NaN,NaN,19.046,0.216
58619.436,NaN,NaN,19.039,0.192
58619.455,NaN,NaN,18.937,0.202
58626.549,NaN,NaN,19.453,0.271
58626.562,NaN,NaN,19.820,0.291
58626.564,NaN,NaN,19.122,0.177
58626.578,NaN,NaN,19.049,0.172
58627.429,NaN,NaN,19.673,0.246
58627.439,NaN,NaN,19.400,0.173
58627.449,NaN,NaN,19.251,0.183
58627.454,NaN,NaN,19.276,0.161
58628.361,NaN,NaN,19.192,0.154
58628.377,NaN,NaN,19.588,0.261
58628.380,NaN,NaN,19.361,0.218
58628.385,NaN,NaN,19.119,0.143
58629.533,NaN,NaN,19.231,0.190
58629.539,NaN,NaN,19.433,0.207
58629.558,NaN,NaN,19.470,0.240
58631.419,NaN,NaN,19.190,0.148
58631.429,NaN,NaN,19.281,0.148
58631.443,NaN,NaN,19.371,0.193
58631.454,NaN,NaN,19.435,0.146
58633.441,NaN,NaN,19.425,0.290
58633.465,NaN,NaN,19.132,0.232
58635.419,19.864,0.192,NaN,NaN
58635.431,19.687,0.153,NaN,NaN
58635.439,19.606,0.141,NaN,NaN
58635.451,20.075,0.214,NaN,NaN
58637.369,NaN,NaN,19.498,0.255
58637.387,NaN,NaN,18.838,0.132
58639.351,19.397,0.134,NaN,NaN
58639.375,19.954,0.196,NaN,NaN
58639.386,19.671,0.179,NaN,NaN
58641.411,NaN,NaN,19.729,0.222
58641.434,NaN,NaN,19.540,0.229
58641.443,NaN,NaN,19.336,0.188
58643.360,NaN,NaN,19.411,0.186
58643.382,NaN,NaN,19.975,0.251
58643.385,NaN,NaN,19.167,0.128
58643.390,NaN,NaN,19.747,0.209
58645.385,NaN,NaN,19.039,0.183
58645.388,NaN,NaN,19.579,0.271
58645.408,NaN,NaN,19.252,0.194
58646.282,NaN,NaN,19.536,0.278
58646.295,NaN,NaN,19.787,0.294
58646.297,NaN,NaN,19.218,0.209
58646.307,NaN,NaN,19.131,0.215
58647.378,NaN,NaN,19.295,0.281
58647.385,NaN,NaN,19.254,0.200
58652.465,NaN,NaN,18.794,0.254
58654.404,NaN,NaN,19.316,0.227
58654.428,NaN,NaN,19.808,0.291
58655.291,NaN,NaN,19.563,0.256
58656.421,NaN,NaN,19.211,0.211
58659.379,NaN,NaN,19.620,0.229
58659.392,NaN,NaN,19.686,0.219
58659.401,NaN,NaN,19.584,0.191
58663.326,19.624,0.203,NaN,NaN
58665.449,NaN,NaN,19.553,0.226
58667.407,20.262,0.260,NaN,NaN
58671.305,NaN,NaN,19.751,0.257
58691.439,20.012,0.265,NaN,NaN
