MJD,c,c_err,o,o_err
58518.651,18.726,0.094,NaN,NaN
58518.660,18.932,0.127,NaN,NaN
58518.668,19.135,0.189,NaN,NaN
58519.669,NaN,NaN,18.293,0.157
58522.643,18.040,0.048,NaN,NaN
58522.652,17.916,0.046,NaN,NaN
58523.650,NaN,NaN,18.129,0.084
58523.664,NaN,NaN,18.041,0.070
58523.669,NaN,NaN,17.997,0.124
58528.607,NaN,NaN,17.445,0.040
58528.616,NaN,NaN,17.467,0.037
58528.625,NaN,NaN,17.407,0.036
58528.634,NaN,NaN,17.456,0.037
58532.638,NaN,NaN,17.500,0.082
58532.648,NaN,NaN,17.350,0.080
58540.583,NaN,NaN,17.475,0.056
58540.591,NaN,NaN,17.682,0.062
58540.599,NaN,NaN,17.689,0.061
58540.607,NaN,NaN,17.624,0.063
58544.581,NaN,NaN,17.724,0.055
58544.591,NaN,NaN,17.747,0.061
58544.599,NaN,NaN,17.575,0.042
58544.608,NaN,NaN,17.682,0.048
58556.563,NaN,NaN,18.019,0.059
58556.573,NaN,NaN,17.854,0.054
58556.582,NaN,NaN,17.940,0.068
58556.591,NaN,NaN,17.896,0.054
58568.542,NaN,NaN,17.985,0.097
58568.551,NaN,NaN,17.902,0.108
58568.561,NaN,NaN,18.005,0.119
58568.573,NaN,NaN,17.940,0.104
58569.527,NaN,NaN,18.074,0.065
58569.535,NaN,NaN,18.073,0.072
58569.543,NaN,NaN,17.895,0.055
58569.551,NaN,NaN,17.976,0.058
58572.530,NaN,NaN,18.131,0.073
58572.539,NaN,NaN,17.983,0.057
58572.548,NaN,NaN,18.119,0.066
58572.557,NaN,NaN,18.035,0.065
58573.506,18.330,0.069,NaN,NaN
58573.514,18.342,0.062,NaN,NaN
58573.522,18.296,0.059,NaN,NaN
58573.530,18.244,0.058,NaN,NaN
58576.528,NaN,NaN,18.113,0.072
58576.537,NaN,NaN,18.076,0.072
58576.555,NaN,NaN,18.124,0.079
58578.524,18.302,0.066,NaN,NaN
58578.533,18.452,0.074,NaN,NaN
58578.543,18.320,0.066,NaN,NaN
58578.552,18.455,0.076,NaN,NaN
58583.536,NaN,NaN,18.328,0.104
