MJD,c,c_err,o,o_err
58558.565,NaN,NaN,19.875,0.263
58567.488,NaN,NaN,18.584,0.151
58567.498,NaN,NaN,18.953,0.160
58567.499,NaN,NaN,18.565,0.227
58567.516,NaN,NaN,19.277,0.192
58569.466,NaN,NaN,19.104,0.172
58569.475,NaN,NaN,18.803,0.147
58569.483,NaN,NaN,19.169,0.183
58569.494,NaN,NaN,18.991,0.153
58569.495,NaN,NaN,18.879,0.133
58569.496,NaN,NaN,18.799,0.147
58569.497,NaN,NaN,18.996,0.156
58569.513,NaN,NaN,19.009,0.198
58570.531,NaN,NaN,18.454,0.089
58570.536,NaN,NaN,18.893,0.140
58570.551,NaN,NaN,18.845,0.127
58570.554,NaN,NaN,18.576,0.110
58571.472,NaN,NaN,18.828,0.105
58571.484,NaN,NaN,18.973,0.120
58571.486,NaN,NaN,18.822,0.108
58571.503,NaN,NaN,18.692,0.098
58573.466,NaN,NaN,18.713,0.139
58573.475,NaN,NaN,18.790,0.145
58573.495,NaN,NaN,18.606,0.119
58573.497,NaN,NaN,18.657,0.145
58574.565,NaN,NaN,18.798,0.139
58576.530,18.842,0.074,NaN,NaN
58576.544,18.925,0.082,NaN,NaN
58576.547,18.968,0.095,NaN,NaN
58576.567,19.111,0.111,NaN,NaN
58578.508,NaN,NaN,18.733,0.112
58578.513,NaN,NaN,18.765,0.100
58578.528,NaN,NaN,18.702,0.094
58578.531,NaN,NaN,18.873,0.113
58579.475,19.083,0.129,NaN,NaN
58579.477,18.959,0.107,NaN,NaN
58579.487,19.206,0.119,NaN,NaN
58579.505,18.834,0.091,NaN,NaN
58580.501,18.882,0.090,NaN,NaN
58580.507,18.950,0.108,NaN,NaN
58580.520,18.826,0.093,NaN,NaN
58580.524,19.118,0.110,NaN,NaN
58581.452,NaN,NaN,18.816,0.124
58581.454,NaN,NaN,18.868,0.133
58581.464,NaN,NaN,18.807,0.125
58581.464,NaN,NaN,19.045,0.164
58581.465,NaN,NaN,18.776,0.136
58581.484,NaN,NaN,18.742,0.120
58581.484,NaN,NaN,18.784,0.117
58581.487,NaN,NaN,18.714,0.113
58583.442,19.195,0.142,NaN,NaN
58583.453,19.248,0.140,NaN,NaN
58583.455,19.033,0.122,NaN,NaN
58583.472,19.126,0.122,NaN,NaN
58585.449,NaN,NaN,18.895,0.113
58585.450,NaN,NaN,18.785,0.114
58585.469,NaN,NaN,18.923,0.134
58591.462,NaN,NaN,18.669,0.225
58591.472,NaN,NaN,19.044,0.280
58593.495,NaN,NaN,18.545,0.210
58596.469,NaN,NaN,18.981,0.167
58596.472,NaN,NaN,19.258,0.159
58596.486,NaN,NaN,19.057,0.187
58596.489,NaN,NaN,19.182,0.181
58597.436,NaN,NaN,18.987,0.147
58597.438,NaN,NaN,18.983,0.159
58597.455,NaN,NaN,19.035,0.152
58597.460,NaN,NaN,18.616,0.102
58598.382,NaN,NaN,19.454,0.242
58598.383,NaN,NaN,19.352,0.190
58598.383,NaN,NaN,19.252,0.189
58598.384,NaN,NaN,18.988,0.135
58598.403,NaN,NaN,19.056,0.159
58598.404,NaN,NaN,19.026,0.139
58598.419,NaN,NaN,19.136,0.168
58598.420,NaN,NaN,19.154,0.154
58598.446,NaN,NaN,19.212,0.196
58598.447,NaN,NaN,19.154,0.174
58598.486,NaN,NaN,18.968,0.180
58598.487,NaN,NaN,18.947,0.122
58598.523,NaN,NaN,18.965,0.184
58598.526,NaN,NaN,19.099,0.184
58598.578,NaN,NaN,18.511,0.149
58598.582,NaN,NaN,18.998,0.195
58599.426,NaN,NaN,19.552,0.266
58599.436,NaN,NaN,18.999,0.137
58599.437,NaN,NaN,19.504,0.191
58599.438,NaN,NaN,19.017,0.138
58600.468,NaN,NaN,19.242,0.194
58600.474,NaN,NaN,19.067,0.167
58603.443,19.855,0.219,NaN,NaN
58603.453,19.610,0.181,NaN,NaN
58603.454,19.391,0.143,NaN,NaN
58606.462,NaN,NaN,18.971,0.150
58606.476,NaN,NaN,19.418,0.221
58606.480,NaN,NaN,18.975,0.173
58606.498,NaN,NaN,19.029,0.167
58609.410,NaN,NaN,19.247,0.177
58609.421,NaN,NaN,19.419,0.226
58609.422,NaN,NaN,19.280,0.188
58609.440,NaN,NaN,19.193,0.174
58610.441,NaN,NaN,19.251,0.173
58610.454,NaN,NaN,19.641,0.250
58610.459,NaN,NaN,19.264,0.197
58610.474,NaN,NaN,19.234,0.199
58612.369,20.067,0.255,NaN,NaN
58612.371,19.429,0.133,NaN,NaN
58612.376,19.977,0.219,NaN,NaN
58612.394,20.035,0.210,NaN,NaN
58614.382,NaN,NaN,19.057,0.144
58614.385,NaN,NaN,19.402,0.212
58614.390,NaN,NaN,19.478,0.184
58616.377,NaN,NaN,19.137,0.175
58616.387,NaN,NaN,19.327,0.225
58617.358,NaN,NaN,18.439,0.141
58617.369,NaN,NaN,18.925,0.244
58619.412,NaN,NaN,19.096,0.234
58620.377,NaN,NaN,18.803,0.160
58623.344,NaN,NaN,19.031,0.158
58623.355,NaN,NaN,19.152,0.219
58624.251,NaN,NaN,19.094,0.130
58624.252,NaN,NaN,19.104,0.197
58624.252,NaN,NaN,19.330,0.179
58624.252,NaN,NaN,19.424,0.231
58624.261,NaN,NaN,19.248,0.125
58624.262,NaN,NaN,19.178,0.182
58624.262,NaN,NaN,19.172,0.133
58624.263,NaN,NaN,19.509,0.277
58624.278,NaN,NaN,19.576,0.173
58624.279,NaN,NaN,19.356,0.259
58624.284,NaN,NaN,19.264,0.161
58624.284,NaN,NaN,19.333,0.191
58624.284,NaN,NaN,19.319,0.251
58624.285,NaN,NaN,18.923,0.145
58624.295,NaN,NaN,19.433,0.262
58626.355,NaN,NaN,19.450,0.192
58626.358,NaN,NaN,19.036,0.137
58626.363,NaN,NaN,19.195,0.173
58626.373,NaN,NaN,19.466,0.205
58627.365,NaN,NaN,19.177,0.143
58627.372,NaN,NaN,19.554,0.195
58627.376,NaN,NaN,19.581,0.197
58627.389,NaN,NaN,19.362,0.147
58630.335,NaN,NaN,19.348,0.178
58630.338,NaN,NaN,19.320,0.178
58630.344,NaN,NaN,19.044,0.124
58630.356,NaN,NaN,19.461,0.203
58631.342,NaN,NaN,19.312,0.182
58631.351,NaN,NaN,19.940,0.267
58631.356,NaN,NaN,19.522,0.177
58631.374,NaN,NaN,19.375,0.173
58633.338,NaN,NaN,19.447,0.217
58633.348,NaN,NaN,19.261,0.171
58633.359,NaN,NaN,19.311,0.193
58633.362,NaN,NaN,19.350,0.194
58635.354,19.654,0.168,NaN,NaN
58635.363,19.733,0.167,NaN,NaN
58635.378,20.320,0.271,NaN,NaN
58637.359,NaN,NaN,19.328,0.226
58639.369,19.537,0.166,NaN,NaN
58642.252,NaN,NaN,19.373,0.226
58642.261,NaN,NaN,19.556,0.247
58643.321,NaN,NaN,19.762,0.256
58643.324,NaN,NaN,19.671,0.280
58643.333,NaN,NaN,19.305,0.123
58643.335,NaN,NaN,19.012,0.117
58643.337,NaN,NaN,19.154,0.151
58643.346,NaN,NaN,19.041,0.128
58643.349,NaN,NaN,19.509,0.201
58646.309,NaN,NaN,19.046,0.206
58646.329,NaN,NaN,19.214,0.235
58647.304,NaN,NaN,19.066,0.204
58647.314,NaN,NaN,19.335,0.199
58647.321,NaN,NaN,19.571,0.300
58647.326,NaN,NaN,19.436,0.220
58647.328,NaN,NaN,19.034,0.233
58647.339,NaN,NaN,18.950,0.270
58650.330,NaN,NaN,19.097,0.256
58650.340,NaN,NaN,19.279,0.297
58654.294,NaN,NaN,19.786,0.250
58654.297,NaN,NaN,19.650,0.239
58654.303,NaN,NaN,19.099,0.170
58654.314,NaN,NaN,19.387,0.217
58656.316,NaN,NaN,19.641,0.184
58656.319,NaN,NaN,19.440,0.181
58656.326,NaN,NaN,19.210,0.145
58658.297,NaN,NaN,19.507,0.233
58658.317,NaN,NaN,19.148,0.275
58660.281,NaN,NaN,18.663,0.281
58671.288,NaN,NaN,19.335,0.196
58671.291,NaN,NaN,19.450,0.231
58672.279,NaN,NaN,19.694,0.252
58672.282,NaN,NaN,19.280,0.202
58672.287,NaN,NaN,19.342,0.196
58675.299,NaN,NaN,19.200,0.251
58676.278,NaN,NaN,19.345,0.199
58684.257,NaN,NaN,19.571,0.238
58685.259,NaN,NaN,19.432,0.286
58688.253,NaN,NaN,19.968,0.291
