MJD,c,c_err,o,o_err
58568.506,NaN,NaN,18.399,0.123
58568.521,NaN,NaN,18.551,0.146
58568.524,NaN,NaN,18.327,0.096
58568.536,NaN,NaN,18.424,0.120
58568.538,NaN,NaN,18.444,0.113
58568.544,NaN,NaN,18.387,0.108
58568.555,NaN,NaN,18.347,0.119
58570.545,NaN,NaN,18.180,0.105
58570.560,NaN,NaN,18.351,0.116
58570.565,NaN,NaN,18.459,0.191
58570.572,NaN,NaN,18.496,0.120
58570.582,NaN,NaN,18.458,0.114
58572.497,NaN,NaN,18.548,0.116
58572.501,NaN,NaN,17.985,0.062
58572.521,NaN,NaN,18.400,0.080
58574.555,NaN,NaN,18.806,0.188
58574.555,NaN,NaN,18.428,0.110
58574.560,NaN,NaN,18.671,0.166
58574.573,NaN,NaN,18.295,0.090
58574.576,NaN,NaN,18.644,0.135
58574.576,NaN,NaN,19.194,0.221
58576.538,18.278,0.059,NaN,NaN
58576.554,18.337,0.070,NaN,NaN
58576.559,18.220,0.056,NaN,NaN
58576.570,18.265,0.055,NaN,NaN
58578.522,NaN,NaN,18.715,0.137
58578.537,NaN,NaN,18.494,0.103
58578.543,NaN,NaN,18.444,0.106
58578.554,NaN,NaN,18.328,0.111
58580.515,18.187,0.059,NaN,NaN
58580.515,18.364,0.154,NaN,NaN
58580.529,18.243,0.100,NaN,NaN
58580.534,18.200,0.058,NaN,NaN
58580.546,18.168,0.070,NaN,NaN
58582.485,NaN,NaN,18.228,0.093
58582.489,NaN,NaN,18.532,0.126
58582.491,NaN,NaN,18.808,0.150
58582.503,NaN,NaN,18.496,0.120
58582.504,NaN,NaN,18.329,0.110
58582.510,NaN,NaN,18.138,0.091
58582.521,NaN,NaN,18.308,0.098
58582.529,NaN,NaN,18.287,0.098
58588.499,NaN,NaN,17.977,0.092
58588.514,NaN,NaN,18.329,0.159
58588.520,NaN,NaN,18.277,0.137
58588.530,NaN,NaN,18.124,0.147
58590.489,NaN,NaN,18.199,0.203
58594.453,NaN,NaN,18.620,0.208
58594.486,NaN,NaN,18.723,0.245
58594.493,NaN,NaN,18.578,0.212
58596.476,NaN,NaN,18.922,0.200
58596.480,NaN,NaN,18.449,0.126
58596.494,NaN,NaN,18.308,0.107
58596.501,NaN,NaN,18.615,0.145
58598.386,NaN,NaN,18.803,0.146
58598.387,NaN,NaN,18.424,0.105
58598.388,NaN,NaN,18.433,0.107
58598.389,NaN,NaN,18.649,0.131
58598.402,NaN,NaN,18.283,0.091
58598.403,NaN,NaN,18.227,0.088
58598.419,NaN,NaN,18.450,0.121
58598.421,NaN,NaN,18.167,0.098
58598.449,NaN,NaN,18.565,0.128
58598.450,NaN,NaN,18.305,0.093
58598.488,NaN,NaN,18.715,0.152
58598.490,NaN,NaN,18.179,0.086
58598.532,NaN,NaN,18.307,0.120
58598.535,NaN,NaN,18.269,0.106
58598.582,NaN,NaN,18.999,0.212
58598.586,NaN,NaN,18.146,0.100
58600.480,NaN,NaN,18.473,0.118
58600.498,NaN,NaN,18.241,0.106
58600.504,NaN,NaN,18.352,0.199
58600.505,NaN,NaN,18.103,0.179
58604.466,18.696,0.098,NaN,NaN
58604.471,18.642,0.104,NaN,NaN
58604.484,18.755,0.105,NaN,NaN
58604.492,18.617,0.088,NaN,NaN
58606.471,NaN,NaN,18.254,0.103
58606.486,NaN,NaN,18.754,0.156
58606.491,NaN,NaN,18.519,0.135
58606.510,NaN,NaN,18.706,0.166
58610.465,NaN,NaN,18.911,0.152
58610.469,NaN,NaN,18.466,0.112
58610.469,NaN,NaN,18.182,0.113
58610.483,NaN,NaN,18.436,0.112
58610.488,NaN,NaN,18.531,0.113
58610.489,NaN,NaN,18.275,0.107
58612.389,18.643,0.091,NaN,NaN
58612.391,18.813,0.119,NaN,NaN
58612.396,18.631,0.091,NaN,NaN
58612.413,18.554,0.083,NaN,NaN
58614.382,NaN,NaN,18.469,0.137
58614.384,NaN,NaN,18.432,0.114
58614.389,NaN,NaN,18.321,0.098
58616.396,NaN,NaN,18.252,0.094
58616.401,NaN,NaN,18.216,0.098
58618.386,NaN,NaN,18.617,0.162
58618.389,NaN,NaN,18.366,0.139
58618.394,NaN,NaN,18.724,0.191
58618.404,NaN,NaN,18.377,0.132
58620.380,NaN,NaN,18.546,0.136
58620.383,NaN,NaN,18.738,0.188
58622.360,NaN,NaN,18.560,0.205
58622.363,NaN,NaN,18.428,0.196
58622.369,NaN,NaN,18.334,0.158
58622.379,NaN,NaN,18.462,0.174
58626.370,NaN,NaN,18.532,0.128
58626.373,NaN,NaN,18.435,0.130
