MJD,c,c_err,o,o_err
58568.622,NaN,NaN,18.897,0.146
58568.628,NaN,NaN,18.798,0.267
58568.632,NaN,NaN,19.119,0.193
58570.623,NaN,NaN,18.899,0.130
58570.633,NaN,NaN,19.174,0.177
58570.643,NaN,NaN,19.002,0.186
58572.567,NaN,NaN,18.969,0.144
58572.578,NaN,NaN,18.513,0.090
58572.588,NaN,NaN,18.690,0.106
58572.589,NaN,NaN,18.622,0.105
58572.599,NaN,NaN,18.475,0.095
58572.600,NaN,NaN,18.780,0.111
58572.609,NaN,NaN,18.495,0.088
58572.617,NaN,NaN,18.553,0.099
58574.641,NaN,NaN,18.620,0.144
58576.612,18.871,0.110,NaN,NaN
58576.623,18.673,0.083,NaN,NaN
58576.634,18.541,0.077,NaN,NaN
58576.637,18.573,0.091,NaN,NaN
58576.645,18.445,0.207,NaN,NaN
58578.602,NaN,NaN,18.698,0.125
58578.612,NaN,NaN,18.374,0.087
58578.623,NaN,NaN,18.323,0.094
58578.634,NaN,NaN,18.462,0.100
58580.602,18.694,0.103,NaN,NaN
58580.612,18.531,0.071,NaN,NaN
58580.623,18.717,0.098,NaN,NaN
58580.633,18.686,0.096,NaN,NaN
58582.563,NaN,NaN,18.634,0.123
58582.573,NaN,NaN,18.513,0.115
58582.584,NaN,NaN,18.854,0.141
58582.595,NaN,NaN,18.623,0.100
58588.576,NaN,NaN,18.507,0.102
58588.586,NaN,NaN,18.635,0.113
58588.596,NaN,NaN,18.518,0.099
58588.606,NaN,NaN,18.541,0.112
58590.591,NaN,NaN,18.364,0.167
58590.599,NaN,NaN,18.181,0.196
58590.601,NaN,NaN,18.261,0.130
58590.611,NaN,NaN,18.663,0.217
58590.622,NaN,NaN,18.789,0.205
58594.527,NaN,NaN,18.131,0.142
58594.537,NaN,NaN,18.149,0.154
58594.547,NaN,NaN,18.384,0.173
58596.544,NaN,NaN,18.462,0.122
58596.554,NaN,NaN,18.585,0.135
58596.565,NaN,NaN,18.597,0.158
58596.576,NaN,NaN,18.697,0.180
58600.564,NaN,NaN,18.336,0.238
58600.575,NaN,NaN,18.582,0.176
58600.586,NaN,NaN,18.644,0.223
58602.607,NaN,NaN,18.642,0.172
58602.612,NaN,NaN,19.018,0.234
58602.618,NaN,NaN,18.855,0.205
58602.629,NaN,NaN,18.695,0.263
58604.552,18.970,0.115,NaN,NaN
58604.556,19.007,0.112,NaN,NaN
58604.566,18.983,0.108,NaN,NaN
58604.572,18.707,0.157,NaN,NaN
58604.576,18.687,0.082,NaN,NaN
58606.571,NaN,NaN,18.592,0.143
58606.577,NaN,NaN,18.602,0.132
58606.588,NaN,NaN,18.603,0.143
58606.599,NaN,NaN,18.552,0.126
58610.523,NaN,NaN,18.665,0.143
58610.540,NaN,NaN,18.754,0.130
58610.549,NaN,NaN,18.845,0.163
58610.559,NaN,NaN,18.521,0.116
58612.501,19.215,0.127,NaN,NaN
58612.503,18.979,0.094,NaN,NaN
58612.513,19.070,0.109,NaN,NaN
58612.530,18.949,0.107,NaN,NaN
58616.504,NaN,NaN,18.593,0.086
58616.511,NaN,NaN,18.752,0.098
58618.477,NaN,NaN,18.715,0.153
58618.480,NaN,NaN,18.881,0.201
58618.493,NaN,NaN,18.327,0.123
58618.506,NaN,NaN,18.585,0.162
58620.491,NaN,NaN,18.651,0.158
