MJD,c,c_err,o,o_err
58567.548,NaN,NaN,18.211,0.193
58567.559,NaN,NaN,18.356,0.076
58567.560,NaN,NaN,18.347,0.078
58567.580,NaN,NaN,18.380,0.079
58570.591,NaN,NaN,18.274,0.078
58570.601,NaN,NaN,18.383,0.077
58570.611,NaN,NaN,18.185,0.064
58570.621,NaN,NaN,18.320,0.074
58571.536,NaN,NaN,18.295,0.059
58571.546,NaN,NaN,18.093,0.062
58571.547,NaN,NaN,18.120,0.062
58571.561,NaN,NaN,18.183,0.064
58574.609,NaN,NaN,18.332,0.064
58574.619,NaN,NaN,18.068,0.059
58574.628,NaN,NaN,18.265,0.077
58574.638,NaN,NaN,18.082,0.067
58576.595,18.239,0.049,NaN,NaN
58576.606,18.238,0.046,NaN,NaN
58576.617,18.284,0.049,NaN,NaN
58576.628,18.259,0.046,NaN,NaN
58578.575,NaN,NaN,18.274,0.070
58578.586,NaN,NaN,18.258,0.067
58578.597,NaN,NaN,18.484,0.070
58578.607,NaN,NaN,18.259,0.068
58580.572,18.481,0.062,NaN,NaN
58580.582,18.453,0.060,NaN,NaN
58580.593,18.383,0.067,NaN,NaN
58580.604,18.364,0.062,NaN,NaN
58581.518,NaN,NaN,18.352,0.085
58581.527,NaN,NaN,18.525,0.087
58581.545,NaN,NaN,18.529,0.091
58581.549,NaN,NaN,18.437,0.073
58583.504,18.502,0.069,NaN,NaN
58583.515,18.526,0.075,NaN,NaN
58583.515,18.495,0.068,NaN,NaN
58583.533,18.429,0.065,NaN,NaN
58585.330,NaN,NaN,18.455,0.135
58585.334,NaN,NaN,18.801,0.212
58585.337,NaN,NaN,18.432,0.157
58585.340,NaN,NaN,18.506,0.171
58585.342,NaN,NaN,18.386,0.131
58585.344,NaN,NaN,18.554,0.162
58585.345,NaN,NaN,18.459,0.140
58585.346,NaN,NaN,18.507,0.148
58587.487,NaN,NaN,18.423,0.110
58587.495,NaN,NaN,18.465,0.096
58587.496,NaN,NaN,18.503,0.096
58587.498,NaN,NaN,18.273,0.094
58587.499,NaN,NaN,18.462,0.116
58587.500,NaN,NaN,18.300,0.095
58587.513,NaN,NaN,18.264,0.073
58587.514,NaN,NaN,18.249,0.095
58590.550,NaN,NaN,18.318,0.149
58590.561,NaN,NaN,18.170,0.137
58590.571,NaN,NaN,18.419,0.190
58590.582,NaN,NaN,18.285,0.158
58591.505,NaN,NaN,18.269,0.121
58591.521,NaN,NaN,18.414,0.166
58591.522,NaN,NaN,18.504,0.157
58591.524,NaN,NaN,18.464,0.161
58593.544,NaN,NaN,18.671,0.240
58593.553,NaN,NaN,18.369,0.160
58593.569,NaN,NaN,18.832,0.292
58593.575,NaN,NaN,18.585,0.253
58596.527,NaN,NaN,18.640,0.099
58596.538,NaN,NaN,18.517,0.099
58596.548,NaN,NaN,18.521,0.099
58596.559,NaN,NaN,18.593,0.121
58597.486,NaN,NaN,18.266,0.084
58597.498,NaN,NaN,18.910,0.149
58597.499,NaN,NaN,18.536,0.109
58597.516,NaN,NaN,18.706,0.129
58598.444,NaN,NaN,18.537,0.113
58598.445,NaN,NaN,18.709,0.099
58598.469,NaN,NaN,18.342,0.097
58598.471,NaN,NaN,18.817,0.113
58598.477,NaN,NaN,18.814,0.144
58598.479,NaN,NaN,18.443,0.096
58598.506,NaN,NaN,18.725,0.127
58598.509,NaN,NaN,18.596,0.112
58598.562,NaN,NaN,18.187,0.127
58598.564,NaN,NaN,18.518,0.107
58598.567,NaN,NaN,18.681,0.122
58598.569,NaN,NaN,18.446,0.085
58598.618,NaN,NaN,18.370,0.139
58598.624,NaN,NaN,18.661,0.129
58600.531,NaN,NaN,18.567,0.155
58600.544,NaN,NaN,18.770,0.139
58600.552,NaN,NaN,18.892,0.146
58600.562,NaN,NaN,18.674,0.093
58603.484,18.928,0.118,NaN,NaN
58603.493,19.298,0.166,NaN,NaN
58603.502,19.204,0.134,NaN,NaN
58603.511,19.265,0.158,NaN,NaN
58603.512,19.089,0.121,NaN,NaN
58603.513,19.338,0.147,NaN,NaN
58603.514,19.042,0.140,NaN,NaN
58603.529,19.156,0.134,NaN,NaN
58606.537,NaN,NaN,18.969,0.148
58606.550,NaN,NaN,18.895,0.160
58606.554,NaN,NaN,18.810,0.159
58606.568,NaN,NaN,18.700,0.118
58610.498,NaN,NaN,18.858,0.176
58610.515,NaN,NaN,19.003,0.167
58610.515,NaN,NaN,18.969,0.182
58610.529,NaN,NaN,18.515,0.107
