MJD,c,c_err,o,o_err
58568.573,NaN,NaN,18.955,0.163
58570.606,NaN,NaN,18.794,0.126
58570.616,NaN,NaN,18.992,0.149
58570.626,NaN,NaN,18.899,0.127
58570.636,NaN,NaN,19.386,0.204
58572.554,NaN,NaN,18.795,0.095
58572.564,NaN,NaN,18.842,0.106
58572.574,NaN,NaN,18.923,0.120
58572.585,NaN,NaN,18.772,0.101
58574.605,NaN,NaN,18.843,0.131
58574.615,NaN,NaN,18.767,0.126
58574.625,NaN,NaN,19.069,0.152
58574.635,NaN,NaN,18.840,0.125
58576.597,18.920,0.105,NaN,NaN
58576.608,19.019,0.097,NaN,NaN
58576.614,18.951,0.083,NaN,NaN
58576.619,18.861,0.082,NaN,NaN
58576.625,18.850,0.086,NaN,NaN
58576.630,18.990,0.097,NaN,NaN
58576.636,18.846,0.104,NaN,NaN
58578.583,NaN,NaN,18.630,0.101
58578.593,NaN,NaN,18.806,0.120
58578.604,NaN,NaN,18.941,0.143
58578.615,NaN,NaN,18.683,0.106
58580.568,18.677,0.074,NaN,NaN
58580.578,18.865,0.090,NaN,NaN
58580.585,19.049,0.104,NaN,NaN
58580.589,18.893,0.091,NaN,NaN
58580.595,18.772,0.095,NaN,NaN
58580.600,18.834,0.111,NaN,NaN
58580.606,18.760,0.089,NaN,NaN
58580.617,18.847,0.098,NaN,NaN
58582.550,NaN,NaN,18.656,0.107
58582.560,NaN,NaN,19.058,0.184
58582.570,NaN,NaN,18.898,0.173
58582.580,NaN,NaN,18.913,0.157
58588.578,NaN,NaN,18.841,0.118
58588.588,NaN,NaN,18.961,0.162
58588.598,NaN,NaN,19.197,0.203
58588.608,NaN,NaN,18.991,0.187
58590.570,NaN,NaN,18.833,0.249
58590.580,NaN,NaN,18.762,0.282
58590.601,NaN,NaN,18.879,0.275
58594.509,NaN,NaN,18.704,0.238
58594.519,NaN,NaN,18.595,0.200
58594.527,NaN,NaN,18.772,0.265
58594.534,NaN,NaN,18.859,0.299
58594.537,NaN,NaN,18.739,0.223
58594.547,NaN,NaN,18.772,0.257
58596.534,NaN,NaN,18.584,0.132
58596.542,NaN,NaN,18.937,0.152
58596.546,NaN,NaN,18.654,0.192
58596.550,NaN,NaN,19.034,0.201
58596.561,NaN,NaN,19.012,0.169
58600.547,NaN,NaN,18.587,0.154
58600.573,NaN,NaN,18.623,0.265
58600.583,NaN,NaN,18.456,0.112
58602.614,NaN,NaN,18.858,0.199
58604.534,19.068,0.130,NaN,NaN
58604.542,19.098,0.138,NaN,NaN
58604.543,19.024,0.120,NaN,NaN
58604.555,19.627,0.226,NaN,NaN
58606.544,NaN,NaN,19.063,0.188
58606.562,NaN,NaN,18.826,0.185
58606.566,NaN,NaN,19.254,0.293
58606.580,NaN,NaN,18.951,0.172
58610.522,NaN,NaN,19.056,0.182
