MJD,c,c_err,o,o_err
58569.443,NaN,NaN,18.019,0.062
58569.449,NaN,NaN,17.955,0.058
58569.460,NaN,NaN,17.989,0.073
58569.470,NaN,NaN,18.026,0.067
58571.431,NaN,NaN,17.468,0.039
58571.435,NaN,NaN,17.458,0.042
58571.450,NaN,NaN,17.442,0.042
58571.457,NaN,NaN,17.455,0.035
58573.444,NaN,NaN,17.350,0.039
58573.448,NaN,NaN,17.291,0.043
58573.460,NaN,NaN,17.223,0.069
58573.470,NaN,NaN,17.313,0.036
58575.448,17.101,0.022,NaN,NaN
58575.452,17.122,0.022,NaN,NaN
58575.464,17.066,0.021,NaN,NaN
58575.474,17.071,0.022,NaN,NaN
58577.420,NaN,NaN,17.136,0.024
58577.437,NaN,NaN,17.102,0.028
58577.446,NaN,NaN,17.152,0.029
58577.456,NaN,NaN,17.144,0.032
58579.436,17.114,0.023,NaN,NaN
58579.451,17.158,0.023,NaN,NaN
58579.461,17.110,0.023,NaN,NaN
58579.471,17.152,0.025,NaN,NaN
58581.430,NaN,NaN,17.188,0.032
58581.436,NaN,NaN,17.234,0.033
58581.450,NaN,NaN,17.146,0.031
58581.457,NaN,NaN,17.242,0.035
58583.407,17.311,0.031,NaN,NaN
58583.421,17.321,0.031,NaN,NaN
58583.427,17.247,0.027,NaN,NaN
58583.439,17.322,0.034,NaN,NaN
58585.417,NaN,NaN,17.187,0.037
58585.420,NaN,NaN,17.198,0.038
58585.434,NaN,NaN,17.325,0.064
58589.380,NaN,NaN,17.232,0.068
58589.396,NaN,NaN,17.252,0.076
58589.403,NaN,NaN,17.397,0.101
58593.443,NaN,NaN,17.618,0.115
58593.454,NaN,NaN,17.301,0.082
58593.464,NaN,NaN,17.608,0.099
58593.475,NaN,NaN,17.357,0.096
58595.398,NaN,NaN,17.452,0.046
58595.413,NaN,NaN,17.400,0.040
58595.413,NaN,NaN,17.396,0.045
58595.422,NaN,NaN,17.478,0.055
58597.388,NaN,NaN,17.577,0.045
58597.402,NaN,NaN,17.553,0.046
58597.409,NaN,NaN,17.553,0.049
58597.421,NaN,NaN,17.537,0.043
58599.389,NaN,NaN,17.496,0.037
58599.402,NaN,NaN,17.478,0.038
58599.412,NaN,NaN,17.531,0.035
58599.421,NaN,NaN,17.504,0.037
58603.407,17.952,0.054,NaN,NaN
58603.421,18.029,0.056,NaN,NaN
58603.427,17.915,0.048,NaN,NaN
58603.440,17.895,0.049,NaN,NaN
58605.374,NaN,NaN,17.607,0.041
58605.387,NaN,NaN,17.703,0.052
58605.389,NaN,NaN,17.617,0.047
58605.395,NaN,NaN,17.509,0.046
58605.396,NaN,NaN,17.720,0.045
58605.405,NaN,NaN,17.635,0.045
58605.416,NaN,NaN,17.402,0.046
58607.402,18.149,0.060,NaN,NaN
58607.408,18.096,0.055,NaN,NaN
58607.409,18.030,0.048,NaN,NaN
58607.418,17.969,0.047,NaN,NaN
58609.375,NaN,NaN,17.693,0.055
58609.388,NaN,NaN,17.616,0.051
58609.397,NaN,NaN,17.653,0.052
58609.406,NaN,NaN,17.752,0.060
58611.374,18.106,0.050,NaN,NaN
58611.377,18.098,0.049,NaN,NaN
58611.383,18.112,0.057,NaN,NaN
58611.400,18.054,0.051,NaN,NaN
58613.324,NaN,NaN,17.722,0.053
58613.335,NaN,NaN,17.683,0.054
58613.338,NaN,NaN,17.664,0.051
58613.344,NaN,NaN,17.767,0.060
58615.472,NaN,NaN,17.767,0.057
58615.476,NaN,NaN,17.828,0.061
58615.492,NaN,NaN,17.697,0.047
58615.506,NaN,NaN,17.804,0.089
58627.333,NaN,NaN,17.984,0.052
58627.348,NaN,NaN,17.835,0.045
58627.351,NaN,NaN,18.014,0.050
58627.358,NaN,NaN,17.945,0.049
58629.305,NaN,NaN,18.183,0.068
58629.317,NaN,NaN,18.012,0.086
58629.320,NaN,NaN,17.981,0.081
58629.333,NaN,NaN,18.130,0.073
58631.333,NaN,NaN,17.972,0.053
58631.346,NaN,NaN,17.939,0.062
58631.358,NaN,NaN,17.968,0.051
58631.362,NaN,NaN,18.012,0.057
58633.306,NaN,NaN,18.368,0.101
58633.310,NaN,NaN,17.930,0.054
58633.315,NaN,NaN,18.280,0.097
58633.333,NaN,NaN,18.222,0.071
58635.338,18.904,0.102,NaN,NaN
58635.340,18.935,0.133,NaN,NaN
58635.342,18.724,0.084,NaN,NaN
58635.343,18.562,0.087,NaN,NaN
58635.358,19.333,0.236,NaN,NaN
58635.360,18.847,0.115,NaN,NaN
58635.373,18.859,0.105,NaN,NaN
58635.375,18.789,0.103,NaN,NaN
58639.283,18.958,0.123,NaN,NaN
58639.286,19.035,0.124,NaN,NaN
58639.292,18.811,0.121,NaN,NaN
58639.294,18.891,0.106,NaN,NaN
58639.297,18.978,0.114,NaN,NaN
58639.304,19.022,0.126,NaN,NaN
58639.308,19.335,0.219,NaN,NaN
58639.322,18.867,0.107,NaN,NaN
58641.300,NaN,NaN,18.272,0.085
58641.313,NaN,NaN,18.422,0.099
58641.325,NaN,NaN,18.380,0.082
