MJD,c,c_err,o,o_err
58578.609,NaN,NaN,18.401,0.080
58578.620,NaN,NaN,18.495,0.083
58578.631,NaN,NaN,18.437,0.077
58578.641,NaN,NaN,18.463,0.148
58580.596,17.852,0.040,NaN,NaN
58580.607,17.927,0.044,NaN,NaN
58580.618,17.962,0.042,NaN,NaN
58580.627,17.909,0.042,NaN,NaN
58582.565,NaN,NaN,18.013,0.063
58582.567,NaN,NaN,17.974,0.056
58582.575,NaN,NaN,17.808,0.054
58582.577,NaN,NaN,17.995,0.056
58582.586,NaN,NaN,17.919,0.061
58582.588,NaN,NaN,17.939,0.060
58582.598,NaN,NaN,18.007,0.058
58588.558,NaN,NaN,17.787,0.054
58588.562,NaN,NaN,17.822,0.051
58588.569,NaN,NaN,17.889,0.055
58588.573,NaN,NaN,17.900,0.056
58588.579,NaN,NaN,17.822,0.051
58588.583,NaN,NaN,17.831,0.051
58588.589,NaN,NaN,17.831,0.059
58588.593,NaN,NaN,17.746,0.047
58590.581,NaN,NaN,17.904,0.101
58590.592,NaN,NaN,18.030,0.113
58590.602,NaN,NaN,17.870,0.094
58590.612,NaN,NaN,18.088,0.107
58594.531,NaN,NaN,17.802,0.092
58594.541,NaN,NaN,17.715,0.092
58594.550,NaN,NaN,17.766,0.080
58594.561,NaN,NaN,17.678,0.098
58596.557,NaN,NaN,17.768,0.055
58596.568,NaN,NaN,17.793,0.052
58596.579,NaN,NaN,17.755,0.054
58596.588,NaN,NaN,17.676,0.051
58598.512,NaN,NaN,17.629,0.060
58598.514,NaN,NaN,17.775,0.058
58598.561,NaN,NaN,17.733,0.057
58598.565,NaN,NaN,17.863,0.057
58598.572,NaN,NaN,17.847,0.072
58598.576,NaN,NaN,17.800,0.060
58598.615,NaN,NaN,17.961,0.071
58598.620,NaN,NaN,17.759,0.057
58598.625,NaN,NaN,17.724,0.086
58600.561,NaN,NaN,17.855,0.139
58600.582,NaN,NaN,17.725,0.085
58602.613,NaN,NaN,17.911,0.077
58602.624,NaN,NaN,17.755,0.068
58604.528,17.886,0.049,NaN,NaN
58604.538,18.023,0.057,NaN,NaN
58604.551,17.903,0.042,NaN,NaN
58604.553,17.925,0.050,NaN,NaN
58604.558,17.900,0.043,NaN,NaN
58604.563,17.929,0.045,NaN,NaN
58604.567,17.952,0.047,NaN,NaN
58604.578,17.898,0.043,NaN,NaN
58606.572,NaN,NaN,17.743,0.054
58606.582,NaN,NaN,17.811,0.066
58606.591,NaN,NaN,18.073,0.128
58606.593,NaN,NaN,17.727,0.055
58606.604,NaN,NaN,17.756,0.056
58610.537,NaN,NaN,17.819,0.054
58610.548,NaN,NaN,17.712,0.047
58610.558,NaN,NaN,17.854,0.055
58610.569,NaN,NaN,17.615,0.044
58612.453,17.989,0.045,NaN,NaN
58612.455,18.063,0.044,NaN,NaN
58612.462,18.004,0.043,NaN,NaN
58612.481,17.952,0.041,NaN,NaN
58616.443,NaN,NaN,17.732,0.048
