MJD,c,c_err,o,o_err
58579.555,19.284,0.141,NaN,NaN
58579.565,19.230,0.117,NaN,NaN
58579.566,19.158,0.126,NaN,NaN
58579.568,18.976,0.100,NaN,NaN
58581.535,NaN,NaN,19.286,0.154
58581.546,NaN,NaN,19.283,0.175
58581.549,NaN,NaN,19.226,0.163
58581.564,NaN,NaN,19.530,0.202
58583.524,18.686,0.089,NaN,NaN
58583.532,18.841,0.108,NaN,NaN
58583.533,19.056,0.133,NaN,NaN
58583.537,19.007,0.133,NaN,NaN
58587.488,NaN,NaN,18.617,0.102
58587.497,NaN,NaN,18.951,0.166
58587.513,NaN,NaN,18.676,0.166
58587.514,NaN,NaN,18.702,0.108
58587.519,NaN,NaN,18.949,0.153
58589.482,NaN,NaN,18.548,0.135
58589.486,NaN,NaN,18.396,0.140
58589.486,NaN,NaN,18.702,0.150
58589.487,NaN,NaN,18.322,0.107
58589.487,NaN,NaN,18.582,0.168
58589.501,NaN,NaN,18.892,0.220
58589.502,NaN,NaN,19.025,0.238
58589.502,NaN,NaN,19.325,0.289
58589.503,NaN,NaN,18.694,0.168
58589.503,NaN,NaN,18.948,0.229
58589.505,NaN,NaN,18.944,0.208
58589.505,NaN,NaN,18.603,0.168
58589.514,NaN,NaN,19.037,0.248
58589.514,NaN,NaN,18.950,0.239
58589.515,NaN,NaN,18.989,0.235
58591.519,NaN,NaN,18.382,0.220
58591.528,NaN,NaN,18.518,0.190
58591.542,NaN,NaN,18.612,0.235
58593.561,NaN,NaN,18.471,0.273
58595.500,NaN,NaN,18.890,0.156
58595.510,NaN,NaN,18.650,0.152
58595.527,NaN,NaN,18.700,0.160
58597.489,NaN,NaN,18.959,0.138
58597.499,NaN,NaN,18.681,0.118
58597.516,NaN,NaN,18.594,0.102
58597.521,NaN,NaN,18.661,0.117
58598.490,NaN,NaN,18.736,0.134
58598.492,NaN,NaN,18.650,0.123
58598.514,NaN,NaN,18.896,0.140
58598.517,NaN,NaN,18.637,0.113
58598.548,NaN,NaN,18.904,0.149
58598.552,NaN,NaN,18.507,0.105
