MJD,c,c_err,o,o_err
58585.449,NaN,NaN,19.581,0.252
58585.450,NaN,NaN,18.755,0.134
58585.460,NaN,NaN,19.219,0.148
58585.469,NaN,NaN,18.870,0.125
58585.470,NaN,NaN,18.773,0.160
58591.461,NaN,NaN,18.205,0.167
58591.463,NaN,NaN,18.093,0.150
58591.463,NaN,NaN,18.193,0.123
58591.473,NaN,NaN,18.210,0.167
58593.495,NaN,NaN,18.251,0.180
58595.417,NaN,NaN,18.098,0.093
58595.427,NaN,NaN,18.248,0.106
58595.447,NaN,NaN,18.080,0.079
58595.449,NaN,NaN,18.250,0.091
58596.469,NaN,NaN,18.100,0.075
58596.472,NaN,NaN,18.295,0.097
58596.486,NaN,NaN,18.350,0.087
58596.489,NaN,NaN,18.032,0.071
58597.426,NaN,NaN,18.145,0.067
58597.437,NaN,NaN,18.251,0.071
58597.456,NaN,NaN,17.936,0.056
58597.460,NaN,NaN,18.251,0.078
58598.382,NaN,NaN,18.129,0.079
58598.383,NaN,NaN,18.355,0.085
58598.383,NaN,NaN,18.065,0.066
58598.384,NaN,NaN,18.072,0.062
58598.403,NaN,NaN,18.185,0.069
58598.404,NaN,NaN,18.050,0.054
58598.419,NaN,NaN,18.080,0.063
58598.420,NaN,NaN,18.195,0.076
58598.446,NaN,NaN,18.473,0.095
58598.447,NaN,NaN,18.157,0.054
58598.486,NaN,NaN,18.360,0.098
58598.487,NaN,NaN,18.300,0.081
58598.523,NaN,NaN,18.401,0.113
58598.526,NaN,NaN,18.247,0.078
58598.578,NaN,NaN,18.327,0.145
58598.582,NaN,NaN,18.113,0.078
58599.428,NaN,NaN,18.186,0.059
58599.437,NaN,NaN,18.248,0.059
58599.457,NaN,NaN,18.167,0.063
58599.459,NaN,NaN,18.224,0.070
58603.443,18.355,0.060,NaN,NaN
58603.453,18.461,0.066,NaN,NaN
58603.454,18.415,0.061,NaN,NaN
58603.471,18.416,0.066,NaN,NaN
58606.462,NaN,NaN,18.262,0.089
58606.476,NaN,NaN,18.419,0.101
58606.480,NaN,NaN,18.310,0.100
58606.498,NaN,NaN,18.228,0.086
58607.425,18.635,0.091,NaN,NaN
58607.436,18.523,0.071,NaN,NaN
58607.458,18.529,0.092,NaN,NaN
58607.460,18.586,0.077,NaN,NaN
58609.410,NaN,NaN,18.343,0.072
58609.421,NaN,NaN,18.313,0.071
58609.422,NaN,NaN,18.391,0.083
58609.440,NaN,NaN,18.427,0.083
58614.382,NaN,NaN,18.552,0.102
58614.385,NaN,NaN,18.559,0.094
58614.390,NaN,NaN,18.397,0.081
58614.400,NaN,NaN,18.405,0.098
58615.311,NaN,NaN,18.523,0.072
58615.314,NaN,NaN,18.421,0.069
58615.326,NaN,NaN,18.474,0.089
58615.332,NaN,NaN,18.527,0.073
