MJD,c,c_err,o,o_err
58589.429,NaN,NaN,18.710,0.213
58589.437,NaN,NaN,18.916,0.241
58595.437,NaN,NaN,17.962,0.084
58595.440,NaN,NaN,18.000,0.077
58595.452,NaN,NaN,18.048,0.103
58597.407,NaN,NaN,17.972,0.068
58597.424,NaN,NaN,18.090,0.076
58597.427,NaN,NaN,18.078,0.067
58597.444,NaN,NaN,18.159,0.089
58597.451,NaN,NaN,18.161,0.081
58599.445,NaN,NaN,18.084,0.058
58599.452,NaN,NaN,18.213,0.057
58599.463,NaN,NaN,18.136,0.068
58599.472,NaN,NaN,18.234,0.070
58603.445,18.629,0.082,NaN,NaN
58603.460,18.597,0.099,NaN,NaN
58603.460,18.341,0.074,NaN,NaN
58603.467,18.522,0.083,NaN,NaN
58605.431,NaN,NaN,18.273,0.101
58605.435,NaN,NaN,18.161,0.086
58605.446,NaN,NaN,18.260,0.086
58605.457,NaN,NaN,18.218,0.071
58607.446,18.719,0.097,NaN,NaN
58607.452,18.562,0.087,NaN,NaN
58607.466,18.819,0.100,NaN,NaN
58607.477,18.539,0.087,NaN,NaN
58609.413,NaN,NaN,18.305,0.095
58609.427,NaN,NaN,18.387,0.105
58609.436,NaN,NaN,18.085,0.096
58609.447,NaN,NaN,18.182,0.086
58611.373,18.523,0.063,NaN,NaN
58611.375,18.791,0.084,NaN,NaN
58611.389,18.546,0.065,NaN,NaN
58611.406,18.706,0.083,NaN,NaN
58613.412,NaN,NaN,18.323,0.083
58613.428,NaN,NaN,18.260,0.090
58613.436,NaN,NaN,18.433,0.104
58615.313,NaN,NaN,18.390,0.072
58615.316,NaN,NaN,18.510,0.088
58615.335,NaN,NaN,18.206,0.066
58615.344,NaN,NaN,18.405,0.089
58617.361,NaN,NaN,18.233,0.136
58617.373,NaN,NaN,18.463,0.175
58617.376,NaN,NaN,18.197,0.137
58617.381,NaN,NaN,18.392,0.180
58623.329,NaN,NaN,18.327,0.171
58623.332,NaN,NaN,18.398,0.098
58623.337,NaN,NaN,18.562,0.133
58623.349,NaN,NaN,18.571,0.114
58627.377,NaN,NaN,18.498,0.092
58627.383,NaN,NaN,18.662,0.084
58627.386,NaN,NaN,18.471,0.076
58627.405,NaN,NaN,18.377,0.083
58629.343,NaN,NaN,18.604,0.120
58629.352,NaN,NaN,18.347,0.081
58629.366,NaN,NaN,18.455,0.098
58629.372,NaN,NaN,18.376,0.110
58631.336,NaN,NaN,18.476,0.091
58631.339,NaN,NaN,18.577,0.089
58631.367,NaN,NaN,18.486,0.092
58633.345,NaN,NaN,18.373,0.074
58633.357,NaN,NaN,18.413,0.084
58633.361,NaN,NaN,18.691,0.155
58633.369,NaN,NaN,18.449,0.088
58635.355,18.921,0.111,NaN,NaN
58635.365,18.935,0.110,NaN,NaN
58635.368,19.182,0.167,NaN,NaN
58635.381,18.988,0.132,NaN,NaN
58637.364,NaN,NaN,18.510,0.108
58637.380,NaN,NaN,18.537,0.094
58637.384,NaN,NaN,18.490,0.095
58637.397,NaN,NaN,18.638,0.115
58639.345,19.140,0.168,NaN,NaN
58639.356,19.025,0.146,NaN,NaN
58639.359,19.066,0.161,NaN,NaN
58639.372,19.197,0.173,NaN,NaN
58641.353,NaN,NaN,18.498,0.099
58641.358,NaN,NaN,18.550,0.098
58641.363,NaN,NaN,18.364,0.085
58641.384,NaN,NaN,18.712,0.125
58643.325,NaN,NaN,18.436,0.086
58643.328,NaN,NaN,18.685,0.124
58643.336,NaN,NaN,18.551,0.108
58643.348,NaN,NaN,18.564,0.100
58645.302,NaN,NaN,18.314,0.115
58645.304,NaN,NaN,18.406,0.129
58645.321,NaN,NaN,18.284,0.114
58645.334,NaN,NaN,18.465,0.150
58647.319,NaN,NaN,18.437,0.122
58647.322,NaN,NaN,18.499,0.106
58647.329,NaN,NaN,18.361,0.096
58647.340,NaN,NaN,18.454,0.152
58649.407,NaN,NaN,18.526,0.250
58649.425,NaN,NaN,18.180,0.179
58652.323,NaN,NaN,18.623,0.199
58652.326,NaN,NaN,18.381,0.151
58652.333,NaN,NaN,18.517,0.174
58652.343,NaN,NaN,18.438,0.171
58655.345,NaN,NaN,18.426,0.081
58655.350,NaN,NaN,18.574,0.104
58655.366,NaN,NaN,18.619,0.115
58659.335,NaN,NaN,18.612,0.092
58659.338,NaN,NaN,18.426,0.077
58659.343,NaN,NaN,18.572,0.092
58659.356,NaN,NaN,18.473,0.082
58663.329,19.325,0.134,NaN,NaN
58663.344,19.084,0.121,NaN,NaN
58663.347,19.208,0.128,NaN,NaN
58663.353,19.194,0.166,NaN,NaN
58665.297,NaN,NaN,18.488,0.098
58665.298,NaN,NaN,18.679,0.154
58665.300,NaN,NaN,18.619,0.122
58665.301,NaN,NaN,18.439,0.099
58665.306,NaN,NaN,18.615,0.110
58665.317,NaN,NaN,18.533,0.110
58665.317,NaN,NaN,18.485,0.113
58671.280,NaN,NaN,18.669,0.112
58671.283,NaN,NaN,18.515,0.110
58671.288,NaN,NaN,18.538,0.096
58671.298,NaN,NaN,18.557,0.105
58671.317,NaN,NaN,18.510,0.097
58671.320,NaN,NaN,18.572,0.112
58671.326,NaN,NaN,18.598,0.128
58671.337,NaN,NaN,18.530,0.119
58679.288,NaN,NaN,18.572,0.201
58679.291,NaN,NaN,18.621,0.198
58679.298,NaN,NaN,18.423,0.191
58679.312,NaN,NaN,18.766,0.259
58680.279,NaN,NaN,18.312,0.141
58680.281,NaN,NaN,18.769,0.208
58680.282,NaN,NaN,18.698,0.195
58685.254,NaN,NaN,18.826,0.179
58685.258,NaN,NaN,18.716,0.199
58685.264,NaN,NaN,18.919,0.170
58685.293,NaN,NaN,18.848,0.160
58689.344,NaN,NaN,18.848,0.198
58689.363,NaN,NaN,18.647,0.239
58691.307,19.268,0.141,NaN,NaN
58691.311,19.834,0.267,NaN,NaN
58691.318,19.590,0.165,NaN,NaN
58691.333,19.331,0.165,NaN,NaN
58693.251,NaN,NaN,18.988,0.217
58693.263,NaN,NaN,19.216,0.198
58713.256,NaN,NaN,19.179,0.245
