MJD,c,c_err,o,o_err
58595.466,NaN,NaN,18.854,0.201
58595.491,NaN,NaN,18.672,0.194
58596.402,NaN,NaN,18.955,0.190
58596.411,NaN,NaN,18.691,0.176
58596.420,NaN,NaN,18.938,0.222
58596.429,NaN,NaN,18.983,0.207
58600.406,NaN,NaN,18.687,0.087
58600.414,NaN,NaN,18.555,0.110
58600.415,NaN,NaN,18.307,0.086
58600.423,NaN,NaN,18.944,0.138
58600.423,NaN,NaN,18.739,0.111
58600.431,NaN,NaN,18.574,0.097
58600.432,NaN,NaN,18.546,0.102
58600.440,NaN,NaN,18.622,0.102
58604.413,NaN,NaN,18.491,0.096
58604.422,NaN,NaN,18.359,0.071
58604.431,NaN,NaN,18.470,0.091
58610.407,18.706,0.082,NaN,NaN
58610.416,18.585,0.078,NaN,NaN
58610.425,18.477,0.076,NaN,NaN
58610.434,18.650,0.079,NaN,NaN
58612.345,NaN,NaN,18.505,0.101
58612.347,NaN,NaN,18.731,0.126
58612.352,NaN,NaN,18.367,0.094
58612.377,NaN,NaN,18.323,0.093
58613.337,NaN,NaN,18.394,0.082
58613.342,NaN,NaN,18.488,0.077
58613.350,NaN,NaN,18.490,0.093
58613.359,NaN,NaN,18.701,0.116
58613.369,NaN,NaN,18.767,0.124
58613.378,NaN,NaN,18.839,0.181
58613.390,NaN,NaN,18.509,0.098
58613.401,NaN,NaN,18.335,0.081
58614.358,NaN,NaN,18.591,0.096
58614.365,NaN,NaN,18.664,0.105
58614.377,NaN,NaN,18.424,0.087
58623.388,NaN,NaN,18.827,0.285
58623.394,NaN,NaN,18.326,0.186
58623.404,NaN,NaN,18.506,0.242
58624.384,NaN,NaN,18.762,0.247
58624.387,NaN,NaN,18.787,0.208
58624.392,NaN,NaN,18.226,0.126
58624.402,NaN,NaN,18.391,0.164
58625.361,NaN,NaN,18.932,0.152
58625.364,NaN,NaN,18.401,0.110
58625.369,NaN,NaN,18.487,0.104
58625.379,NaN,NaN,18.776,0.131
58626.368,NaN,NaN,18.380,0.066
58626.371,NaN,NaN,18.717,0.112
58626.376,NaN,NaN,18.946,0.123
58626.390,NaN,NaN,18.805,0.134
58628.304,NaN,NaN,19.001,0.158
58628.306,NaN,NaN,18.771,0.144
58628.312,NaN,NaN,18.589,0.122
58628.322,NaN,NaN,18.492,0.100
58630.324,NaN,NaN,18.682,0.088
58630.328,NaN,NaN,18.650,0.091
58630.333,NaN,NaN,18.911,0.129
58630.343,NaN,NaN,18.676,0.110
58632.336,NaN,NaN,19.065,0.159
58632.339,NaN,NaN,18.804,0.099
58632.344,NaN,NaN,19.001,0.134
58632.357,NaN,NaN,18.975,0.130
58634.324,19.042,0.122,NaN,NaN
58634.326,18.798,0.093,NaN,NaN
58634.332,18.807,0.092,NaN,NaN
58634.342,19.201,0.133,NaN,NaN
58636.314,NaN,NaN,18.879,0.131
58636.318,NaN,NaN,19.279,0.187
58636.323,NaN,NaN,18.806,0.114
58636.332,NaN,NaN,18.849,0.128
58642.306,18.977,0.122,NaN,NaN
58642.309,18.824,0.119,NaN,NaN
58642.315,19.280,0.174,NaN,NaN
58642.327,19.113,0.128,NaN,NaN
58644.274,NaN,NaN,18.952,0.212
58644.279,NaN,NaN,18.900,0.201
58648.375,NaN,NaN,18.550,0.271
58650.325,NaN,NaN,18.689,0.206
58650.329,NaN,NaN,18.591,0.154
58650.334,NaN,NaN,18.939,0.260
58650.345,NaN,NaN,18.967,0.261
58651.360,NaN,NaN,18.430,0.239
58652.295,NaN,NaN,18.343,0.152
58652.298,NaN,NaN,18.660,0.202
58652.311,NaN,NaN,18.645,0.215
58652.314,NaN,NaN,18.310,0.151
58654.283,NaN,NaN,18.480,0.098
58654.287,NaN,NaN,18.655,0.083
58654.293,NaN,NaN,18.613,0.109
58654.303,NaN,NaN,18.685,0.133
58656.327,NaN,NaN,18.677,0.135
58656.333,NaN,NaN,18.878,0.146
58656.344,NaN,NaN,18.898,0.145
58658.347,NaN,NaN,18.388,0.169
58660.279,NaN,NaN,18.948,0.183
58660.285,NaN,NaN,18.759,0.131
58660.295,NaN,NaN,18.927,0.151
58664.307,NaN,NaN,18.759,0.129
58664.310,NaN,NaN,18.743,0.131
58664.347,NaN,NaN,19.065,0.201
58664.353,NaN,NaN,19.140,0.208
58666.264,19.170,0.145,NaN,NaN
58666.266,19.469,0.160,NaN,NaN
58666.273,19.578,0.202,NaN,NaN
58666.284,19.334,0.165,NaN,NaN
58668.272,NaN,NaN,18.846,0.143
58668.276,NaN,NaN,19.021,0.173
58668.281,NaN,NaN,18.812,0.131
58668.292,NaN,NaN,18.714,0.121
58670.269,NaN,NaN,18.912,0.144
58670.273,NaN,NaN,18.613,0.106
58670.278,NaN,NaN,18.716,0.119
58670.288,NaN,NaN,18.826,0.129
58676.259,NaN,NaN,18.757,0.230
58677.262,NaN,NaN,18.891,0.216
58677.263,NaN,NaN,19.249,0.274
58678.269,NaN,NaN,19.265,0.269
58679.253,NaN,NaN,18.712,0.260
58679.264,NaN,NaN,18.959,0.255
58682.277,NaN,NaN,19.071,0.293
58682.279,NaN,NaN,18.971,0.226
58682.284,NaN,NaN,18.987,0.240
58688.284,NaN,NaN,19.304,0.250
58852.538,NaN,NaN,18.647,0.210
58852.541,NaN,NaN,18.862,0.264
