MJD,c,c_err,o,o_err
58596.412,NaN,NaN,19.060,0.196
58596.421,NaN,NaN,18.880,0.177
58596.430,NaN,NaN,19.073,0.237
58596.439,NaN,NaN,18.708,0.127
58600.402,NaN,NaN,18.301,0.072
58600.411,NaN,NaN,18.470,0.080
58600.419,NaN,NaN,18.448,0.078
58600.428,NaN,NaN,18.441,0.077
58604.399,NaN,NaN,18.332,0.075
58604.407,NaN,NaN,18.274,0.068
58604.417,NaN,NaN,18.396,0.090
58604.425,NaN,NaN,18.207,0.071
58610.404,18.167,0.047,NaN,NaN
58610.413,18.138,0.051,NaN,NaN
58610.422,18.264,0.055,NaN,NaN
58610.431,18.227,0.046,NaN,NaN
58612.326,NaN,NaN,18.152,0.075
58612.328,NaN,NaN,18.297,0.085
58612.344,NaN,NaN,18.252,0.086
58612.350,NaN,NaN,18.275,0.080
58614.356,NaN,NaN,18.198,0.074
58614.359,NaN,NaN,18.037,0.054
58614.367,NaN,NaN,18.019,0.046
58614.377,NaN,NaN,18.226,0.065
58624.373,NaN,NaN,17.997,0.091
58624.376,NaN,NaN,18.348,0.226
58624.383,NaN,NaN,18.164,0.107
58624.394,NaN,NaN,18.190,0.103
58626.367,NaN,NaN,18.032,0.058
58626.370,NaN,NaN,18.168,0.059
58626.376,NaN,NaN,18.297,0.075
58626.390,NaN,NaN,18.163,0.078
58628.305,NaN,NaN,18.442,0.097
58628.308,NaN,NaN,18.358,0.092
58628.313,NaN,NaN,18.120,0.084
58628.324,NaN,NaN,18.175,0.075
58630.323,NaN,NaN,18.285,0.069
58630.326,NaN,NaN,18.370,0.060
58630.331,NaN,NaN,18.251,0.066
58630.341,NaN,NaN,18.163,0.058
58632.334,NaN,NaN,18.374,0.084
58632.337,NaN,NaN,18.281,0.077
58632.342,NaN,NaN,18.300,0.074
58632.352,NaN,NaN,18.348,0.077
58634.326,18.507,0.091,NaN,NaN
58634.329,18.629,0.089,NaN,NaN
58634.334,18.613,0.106,NaN,NaN
58634.344,18.380,0.075,NaN,NaN
58636.309,NaN,NaN,18.305,0.083
58636.312,NaN,NaN,18.278,0.084
58636.318,NaN,NaN,18.357,0.091
58636.328,NaN,NaN,18.346,0.083
58642.305,18.923,0.106,NaN,NaN
58642.307,18.687,0.107,NaN,NaN
58642.308,18.788,0.101,NaN,NaN
58642.314,18.725,0.093,NaN,NaN
58642.323,18.626,0.092,NaN,NaN
58642.324,18.622,0.081,NaN,NaN
58644.270,NaN,NaN,18.556,0.154
58644.273,NaN,NaN,18.420,0.136
58644.278,NaN,NaN,18.359,0.141
58644.288,NaN,NaN,18.031,0.096
58648.371,NaN,NaN,18.182,0.168
58648.376,NaN,NaN,18.075,0.175
58650.345,NaN,NaN,18.524,0.183
58650.348,NaN,NaN,18.515,0.141
58650.353,NaN,NaN,18.341,0.123
58650.363,NaN,NaN,18.699,0.133
58652.287,NaN,NaN,18.664,0.197
58652.290,NaN,NaN,18.639,0.203
58652.297,NaN,NaN,18.573,0.176
58652.306,NaN,NaN,18.277,0.135
58654.283,NaN,NaN,18.591,0.088
58654.286,NaN,NaN,18.457,0.086
58654.291,NaN,NaN,18.353,0.080
58654.302,NaN,NaN,18.450,0.069
58656.322,NaN,NaN,18.498,0.095
58656.325,NaN,NaN,18.458,0.091
58656.331,NaN,NaN,18.426,0.092
58656.341,NaN,NaN,18.478,0.089
58660.274,NaN,NaN,18.650,0.127
58660.277,NaN,NaN,18.579,0.132
58660.283,NaN,NaN,18.509,0.103
58660.294,NaN,NaN,18.458,0.098
58664.309,NaN,NaN,18.760,0.168
58664.312,NaN,NaN,18.604,0.133
58664.349,NaN,NaN,18.465,0.126
58664.356,NaN,NaN,18.522,0.132
58666.265,18.828,0.103,NaN,NaN
58666.269,18.943,0.094,NaN,NaN
58666.274,19.179,0.146,NaN,NaN
58666.284,18.868,0.096,NaN,NaN
58668.259,NaN,NaN,18.786,0.144
58668.259,NaN,NaN,18.507,0.126
58668.262,NaN,NaN,18.553,0.121
58668.263,NaN,NaN,18.750,0.152
58668.268,NaN,NaN,18.720,0.149
58668.269,NaN,NaN,18.606,0.127
58668.279,NaN,NaN,18.729,0.163
58670.258,NaN,NaN,18.767,0.134
58670.259,NaN,NaN,18.660,0.145
58670.262,NaN,NaN,18.893,0.171
58670.268,NaN,NaN,18.629,0.113
58670.271,NaN,NaN,18.943,0.180
58670.282,NaN,NaN,18.756,0.149
58680.298,NaN,NaN,18.225,0.194
58680.301,NaN,NaN,18.478,0.198
58680.309,NaN,NaN,18.608,0.278
58680.319,NaN,NaN,18.604,0.297
58682.282,NaN,NaN,18.690,0.164
58682.285,NaN,NaN,18.984,0.238
58682.292,NaN,NaN,18.506,0.159
58682.302,NaN,NaN,18.845,0.278
58688.252,NaN,NaN,18.795,0.186
58688.255,NaN,NaN,18.846,0.173
58688.262,NaN,NaN,18.748,0.135
58688.274,NaN,NaN,18.671,0.132
58696.248,NaN,NaN,18.801,0.270
58696.254,NaN,NaN,18.429,0.172
58696.265,NaN,NaN,19.234,0.271
