MJD,c,c_err,o,o_err
58603.461,19.473,0.193,NaN,NaN
58603.465,19.601,0.176,NaN,NaN
58603.466,19.185,0.131,NaN,NaN
58603.466,19.444,0.178,NaN,NaN
58603.479,19.300,0.126,NaN,NaN
58603.480,19.366,0.142,NaN,NaN
58603.480,19.391,0.144,NaN,NaN
58603.487,19.318,0.149,NaN,NaN
58605.431,NaN,NaN,19.214,0.182
58605.448,NaN,NaN,19.240,0.189
58605.457,NaN,NaN,19.290,0.174
58607.451,18.735,0.106,NaN,NaN
58607.468,19.063,0.117,NaN,NaN
58607.469,19.081,0.168,NaN,NaN
58607.474,19.250,0.194,NaN,NaN
58607.475,18.878,0.139,NaN,NaN
58607.490,18.902,0.140,NaN,NaN
58607.490,19.282,0.201,NaN,NaN
58607.499,19.013,0.240,NaN,NaN
58609.429,NaN,NaN,18.771,0.115
58609.434,NaN,NaN,19.288,0.183
58609.434,NaN,NaN,19.135,0.167
58609.435,NaN,NaN,19.123,0.189
58609.448,NaN,NaN,18.963,0.212
58609.449,NaN,NaN,18.766,0.151
58609.449,NaN,NaN,19.101,0.173
58609.456,NaN,NaN,19.178,0.198
58611.427,18.847,0.082,NaN,NaN
58611.429,18.639,0.075,NaN,NaN
58611.450,18.811,0.089,NaN,NaN
58611.457,18.936,0.090,NaN,NaN
58613.413,NaN,NaN,18.656,0.092
58613.417,NaN,NaN,18.561,0.094
58613.417,NaN,NaN,18.761,0.099
58613.422,NaN,NaN,18.753,0.106
58613.429,NaN,NaN,18.881,0.091
58613.445,NaN,NaN,18.698,0.159
58613.446,NaN,NaN,19.038,0.126
58613.455,NaN,NaN,18.863,0.107
58613.475,NaN,NaN,18.934,0.124
58613.490,NaN,NaN,18.724,0.097
58615.397,NaN,NaN,18.678,0.101
58615.400,NaN,NaN,18.683,0.093
58615.418,NaN,NaN,18.573,0.096
58615.431,NaN,NaN,18.870,0.112
58617.445,NaN,NaN,18.578,0.171
58617.465,NaN,NaN,18.597,0.164
58617.476,NaN,NaN,18.551,0.186
58617.481,NaN,NaN,18.772,0.188
58623.335,NaN,NaN,18.924,0.194
58623.338,NaN,NaN,18.519,0.108
58623.347,NaN,NaN,18.895,0.155
58623.361,NaN,NaN,18.668,0.112
58627.510,NaN,NaN,18.787,0.129
58627.513,NaN,NaN,18.518,0.114
58627.530,NaN,NaN,19.048,0.188
58627.539,NaN,NaN,18.581,0.161
58629.393,NaN,NaN,18.787,0.125
58629.398,NaN,NaN,18.716,0.121
58629.418,NaN,NaN,18.836,0.104
58629.430,NaN,NaN,18.846,0.118
58631.284,NaN,NaN,18.837,0.099
58631.298,NaN,NaN,18.973,0.098
58631.312,NaN,NaN,18.737,0.074
58631.324,NaN,NaN,18.772,0.088
58633.344,NaN,NaN,18.961,0.123
58633.356,NaN,NaN,18.762,0.108
58633.367,NaN,NaN,18.610,0.099
58633.373,NaN,NaN,19.165,0.171
58635.368,19.199,0.129,NaN,NaN
58635.379,18.910,0.080,NaN,NaN
58635.386,18.995,0.091,NaN,NaN
58635.399,18.908,0.086,NaN,NaN
58639.325,19.038,0.094,NaN,NaN
58639.328,19.127,0.108,NaN,NaN
58639.344,19.082,0.134,NaN,NaN
58639.352,19.036,0.104,NaN,NaN
58641.306,NaN,NaN,19.029,0.148
58641.317,NaN,NaN,18.730,0.093
58641.330,NaN,NaN,18.800,0.120
58641.336,NaN,NaN,18.874,0.110
58643.389,NaN,NaN,18.879,0.103
58643.399,NaN,NaN,18.985,0.122
58643.409,NaN,NaN,19.188,0.156
58643.419,NaN,NaN,18.994,0.128
58645.301,NaN,NaN,18.826,0.188
58645.303,NaN,NaN,19.189,0.265
58645.320,NaN,NaN,18.872,0.192
58645.329,NaN,NaN,18.942,0.218
58649.376,NaN,NaN,18.494,0.231
58650.409,NaN,NaN,18.822,0.275
58650.414,NaN,NaN,18.292,0.175
58652.354,NaN,NaN,18.914,0.188
58652.357,NaN,NaN,18.721,0.193
58654.334,NaN,NaN,18.942,0.159
58654.337,NaN,NaN,18.831,0.111
58654.344,NaN,NaN,18.576,0.103
58654.354,NaN,NaN,18.897,0.143
58655.345,NaN,NaN,18.702,0.117
58655.351,NaN,NaN,18.563,0.089
58655.367,NaN,NaN,18.814,0.147
58659.339,NaN,NaN,19.042,0.098
58659.343,NaN,NaN,18.978,0.105
58659.350,NaN,NaN,18.890,0.074
58659.360,NaN,NaN,18.851,0.088
58663.321,19.285,0.121,NaN,NaN
58663.328,19.248,0.111,NaN,NaN
58663.345,19.345,0.107,NaN,NaN
58663.347,19.485,0.147,NaN,NaN
58665.299,NaN,NaN,19.363,0.186
58665.301,NaN,NaN,19.390,0.184
58665.307,NaN,NaN,19.269,0.176
58665.318,NaN,NaN,18.887,0.130
58671.320,NaN,NaN,18.859,0.138
58671.323,NaN,NaN,19.199,0.151
58671.333,NaN,NaN,19.212,0.162
58671.338,NaN,NaN,18.734,0.116
58677.321,NaN,NaN,19.051,0.278
58677.348,NaN,NaN,18.925,0.265
58679.290,NaN,NaN,19.375,0.247
58679.294,NaN,NaN,18.816,0.155
