MJD,c,c_err,o,o_err
58614.382,NaN,NaN,19.367,0.230
58614.385,NaN,NaN,18.687,0.114
58614.400,NaN,NaN,19.326,0.207
58615.314,NaN,NaN,19.110,0.150
58615.316,NaN,NaN,19.117,0.159
58615.326,NaN,NaN,19.279,0.189
58615.342,NaN,NaN,18.764,0.098
58617.356,NaN,NaN,18.866,0.197
58617.359,NaN,NaN,19.140,0.270
58617.371,NaN,NaN,19.061,0.244
58617.379,NaN,NaN,18.640,0.154
58619.411,NaN,NaN,18.902,0.254
58620.377,NaN,NaN,18.935,0.244
58623.344,NaN,NaN,18.829,0.176
58623.355,NaN,NaN,18.757,0.130
58623.364,NaN,NaN,18.823,0.161
58624.251,NaN,NaN,18.894,0.153
58624.252,NaN,NaN,18.495,0.114
58624.252,NaN,NaN,18.776,0.128
58624.252,NaN,NaN,18.642,0.128
58624.261,NaN,NaN,18.728,0.099
58624.262,NaN,NaN,18.653,0.128
58624.262,NaN,NaN,18.760,0.112
58624.263,NaN,NaN,18.814,0.138
58624.278,NaN,NaN,19.041,0.160
58624.279,NaN,NaN,18.552,0.106
58624.284,NaN,NaN,18.617,0.102
58624.284,NaN,NaN,18.724,0.115
58624.284,NaN,NaN,18.820,0.161
58624.285,NaN,NaN,18.893,0.154
58624.295,NaN,NaN,18.756,0.136
58624.306,NaN,NaN,18.687,0.157
58626.362,NaN,NaN,19.141,0.207
58626.365,NaN,NaN,18.856,0.154
58626.371,NaN,NaN,18.579,0.116
58626.381,NaN,NaN,18.566,0.172
58627.376,NaN,NaN,18.721,0.118
58627.382,NaN,NaN,18.957,0.114
58627.385,NaN,NaN,18.784,0.123
58627.404,NaN,NaN,19.309,0.201
58629.337,NaN,NaN,18.982,0.134
58630.347,NaN,NaN,18.854,0.140
58630.350,NaN,NaN,18.549,0.107
58630.357,NaN,NaN,18.715,0.106
58630.367,NaN,NaN,18.358,0.129
58631.342,NaN,NaN,18.714,0.079
58631.356,NaN,NaN,18.907,0.116
58631.366,NaN,NaN,18.750,0.099
58631.374,NaN,NaN,18.942,0.115
58633.390,NaN,NaN,18.774,0.112
58633.401,NaN,NaN,18.778,0.129
58635.354,19.384,0.132,NaN,NaN
58635.356,18.855,0.091,NaN,NaN
58635.363,19.197,0.118,NaN,NaN
58635.378,18.751,0.102,NaN,NaN
58637.359,NaN,NaN,18.620,0.121
58639.360,18.995,0.100,NaN,NaN
58639.364,19.155,0.115,NaN,NaN
58639.369,18.998,0.109,NaN,NaN
58639.383,18.908,0.080,NaN,NaN
58642.252,NaN,NaN,18.848,0.141
58642.256,NaN,NaN,18.704,0.126
58642.261,NaN,NaN,18.534,0.090
58642.275,NaN,NaN,18.793,0.114
58643.326,NaN,NaN,18.935,0.139
58643.335,NaN,NaN,18.782,0.095
58643.337,NaN,NaN,18.933,0.119
58646.309,NaN,NaN,18.927,0.218
58646.311,NaN,NaN,18.920,0.226
58646.317,NaN,NaN,18.494,0.139
58646.329,NaN,NaN,18.930,0.211
58647.318,NaN,NaN,18.837,0.158
58647.321,NaN,NaN,18.663,0.134
58647.328,NaN,NaN,18.727,0.163
58650.351,NaN,NaN,18.991,0.292
58654.299,NaN,NaN,19.164,0.185
58654.320,NaN,NaN,18.971,0.165
58655.309,NaN,NaN,18.957,0.195
58655.318,NaN,NaN,19.177,0.210
58655.321,NaN,NaN,19.054,0.165
58655.334,NaN,NaN,18.780,0.116
58660.284,NaN,NaN,18.712,0.190
58660.288,NaN,NaN,18.406,0.138
58660.290,NaN,NaN,18.312,0.140
58660.292,NaN,NaN,18.618,0.148
58660.298,NaN,NaN,18.669,0.132
58664.280,19.118,0.114,NaN,NaN
58664.284,19.116,0.088,NaN,NaN
58664.289,18.982,0.092,NaN,NaN
58664.292,19.262,0.138,NaN,NaN
58664.294,19.108,0.122,NaN,NaN
58664.299,19.081,0.107,NaN,NaN
58664.300,19.092,0.100,NaN,NaN
58664.311,19.331,0.150,NaN,NaN
58665.338,NaN,NaN,18.929,0.134
58665.357,NaN,NaN,18.808,0.125
58671.306,NaN,NaN,18.821,0.132
58676.373,NaN,NaN,19.231,0.283
58680.261,NaN,NaN,19.139,0.204
58680.264,NaN,NaN,18.919,0.200
58680.272,NaN,NaN,18.732,0.166
58680.282,NaN,NaN,18.679,0.162
58684.251,NaN,NaN,18.591,0.290
58684.257,NaN,NaN,18.729,0.144
58685.250,NaN,NaN,18.534,0.147
58685.259,NaN,NaN,18.724,0.141
58688.245,NaN,NaN,18.587,0.164
58688.253,NaN,NaN,18.952,0.147
58690.250,NaN,NaN,18.754,0.160
58690.255,NaN,NaN,18.762,0.123
58690.266,NaN,NaN,18.838,0.121
58691.303,19.111,0.123,NaN,NaN
58691.313,19.342,0.137,NaN,NaN
58691.330,19.483,0.178,NaN,NaN
58716.265,NaN,NaN,19.262,0.172
58716.270,NaN,NaN,19.311,0.229
58716.281,NaN,NaN,19.010,0.160
58721.252,NaN,NaN,19.828,0.267
58721.262,NaN,NaN,19.378,0.186
58867.640,NaN,NaN,19.704,0.261
