MJD,c,c_err,o,o_err
58616.522,NaN,NaN,19.016,0.087
58616.526,NaN,NaN,19.258,0.158
58616.531,NaN,NaN,19.019,0.110
58618.497,NaN,NaN,18.772,0.188
58618.500,NaN,NaN,18.751,0.193
58618.510,NaN,NaN,18.747,0.172
58618.522,NaN,NaN,19.105,0.201
58620.541,NaN,NaN,18.675,0.177
58620.545,NaN,NaN,18.636,0.140
58620.550,NaN,NaN,19.344,0.268
58620.561,NaN,NaN,18.627,0.126
58622.486,NaN,NaN,18.429,0.257
58622.492,NaN,NaN,18.513,0.259
58626.513,NaN,NaN,18.659,0.149
58626.514,NaN,NaN,18.605,0.165
58626.516,NaN,NaN,18.491,0.108
58626.517,NaN,NaN,18.337,0.137
58626.527,NaN,NaN,18.890,0.195
58626.528,NaN,NaN,18.483,0.136
58626.533,NaN,NaN,18.835,0.213
58626.534,NaN,NaN,18.373,0.098
58630.508,NaN,NaN,18.542,0.106
58630.510,NaN,NaN,18.603,0.113
58630.512,NaN,NaN,18.538,0.099
58630.513,NaN,NaN,18.669,0.150
58630.517,NaN,NaN,19.092,0.190
58630.518,NaN,NaN,18.323,0.101
58630.527,NaN,NaN,18.718,0.129
58630.528,NaN,NaN,18.612,0.131
58634.464,NaN,NaN,18.654,0.107
58634.467,NaN,NaN,18.372,0.081
58634.487,NaN,NaN,18.800,0.120
58636.485,18.947,0.113,NaN,NaN
58636.492,19.033,0.100,NaN,NaN
58636.502,18.979,0.099,NaN,NaN
58638.501,NaN,NaN,18.751,0.187
58638.525,NaN,NaN,19.005,0.275
58642.504,NaN,NaN,18.668,0.112
58642.507,NaN,NaN,19.132,0.155
58642.527,NaN,NaN,18.813,0.146
58644.467,NaN,NaN,18.582,0.076
58644.470,NaN,NaN,18.933,0.114
58644.476,NaN,NaN,18.692,0.077
58644.486,NaN,NaN,18.640,0.073
58646.498,NaN,NaN,18.552,0.127
58646.501,NaN,NaN,18.823,0.166
58646.507,NaN,NaN,18.490,0.114
58648.474,NaN,NaN,18.635,0.141
58648.478,NaN,NaN,18.842,0.193
58648.483,NaN,NaN,19.120,0.246
58648.493,NaN,NaN,18.910,0.185
58650.518,NaN,NaN,18.500,0.180
58650.521,NaN,NaN,18.872,0.203
58650.527,NaN,NaN,18.904,0.256
58650.538,NaN,NaN,18.472,0.192
58654.557,NaN,NaN,19.025,0.257
58654.560,NaN,NaN,18.890,0.229
58654.566,NaN,NaN,18.975,0.203
58654.577,NaN,NaN,18.530,0.164
58656.518,NaN,NaN,18.850,0.132
58656.521,NaN,NaN,18.953,0.148
58656.527,NaN,NaN,18.658,0.113
58656.537,NaN,NaN,18.789,0.153
58658.463,NaN,NaN,18.819,0.177
58662.496,NaN,NaN,18.663,0.121
58662.499,NaN,NaN,18.660,0.110
58662.506,NaN,NaN,18.979,0.166
58662.516,NaN,NaN,18.995,0.143
58664.476,19.829,0.210,NaN,NaN
58664.479,19.586,0.153,NaN,NaN
58664.485,20.066,0.271,NaN,NaN
58664.496,19.325,0.129,NaN,NaN
58666.539,NaN,NaN,19.109,0.141
58666.566,NaN,NaN,19.023,0.128
58666.578,NaN,NaN,18.866,0.110
58666.611,NaN,NaN,18.770,0.133
58668.403,19.863,0.227,NaN,NaN
58668.406,19.332,0.118,NaN,NaN
58668.413,19.634,0.171,NaN,NaN
58668.422,19.521,0.148,NaN,NaN
58669.523,NaN,NaN,18.989,0.151
58669.526,NaN,NaN,19.156,0.181
58669.532,NaN,NaN,18.840,0.131
58669.543,NaN,NaN,19.051,0.170
58675.448,NaN,NaN,19.110,0.177
58675.451,NaN,NaN,19.150,0.206
58675.457,NaN,NaN,18.932,0.163
58675.467,NaN,NaN,19.406,0.242
58676.574,NaN,NaN,19.016,0.109
58678.442,NaN,NaN,19.187,0.292
58678.449,NaN,NaN,18.886,0.216
58678.452,NaN,NaN,18.759,0.182
58680.438,NaN,NaN,18.874,0.251
58680.444,NaN,NaN,18.909,0.168
58682.449,NaN,NaN,18.650,0.203
58684.424,NaN,NaN,19.299,0.238
58684.437,NaN,NaN,18.957,0.194
58684.439,NaN,NaN,19.335,0.221
58684.443,NaN,NaN,19.173,0.221
58684.453,NaN,NaN,18.845,0.142
58688.418,NaN,NaN,19.235,0.148
58688.425,NaN,NaN,19.218,0.152
58688.430,NaN,NaN,18.889,0.102
58688.431,NaN,NaN,18.916,0.113
58688.433,NaN,NaN,19.199,0.158
58688.436,NaN,NaN,19.222,0.190
58688.442,NaN,NaN,19.451,0.190
58688.442,NaN,NaN,19.119,0.131
58688.453,NaN,NaN,19.258,0.194
58690.413,NaN,NaN,19.540,0.204
58690.416,NaN,NaN,19.297,0.164
58690.422,NaN,NaN,19.343,0.185
58690.434,NaN,NaN,19.351,0.185
58692.553,19.920,0.231,NaN,NaN
58692.561,20.071,0.276,NaN,NaN
58694.417,NaN,NaN,19.327,0.190
58694.420,NaN,NaN,19.768,0.250
58694.426,NaN,NaN,19.806,0.272
58694.436,NaN,NaN,19.408,0.222
58700.515,19.845,0.222,NaN,NaN
58714.382,NaN,NaN,19.454,0.262
58716.394,NaN,NaN,19.839,0.243
58732.389,NaN,NaN,19.763,0.264
