MJD,c,c_err,o,o_err
58618.364,NaN,NaN,18.799,0.202
58618.373,NaN,NaN,18.711,0.200
58618.384,NaN,NaN,18.714,0.179
58620.330,NaN,NaN,18.871,0.184
58620.335,NaN,NaN,18.583,0.159
58622.339,NaN,NaN,18.176,0.157
58622.341,NaN,NaN,18.452,0.237
58622.341,NaN,NaN,18.251,0.153
58622.347,NaN,NaN,18.111,0.131
58622.357,NaN,NaN,18.205,0.171
58626.333,NaN,NaN,18.537,0.093
58626.336,NaN,NaN,18.183,0.077
58626.341,NaN,NaN,18.346,0.076
58626.352,NaN,NaN,18.232,0.072
58630.316,NaN,NaN,18.478,0.082
58630.319,NaN,NaN,18.546,0.093
58630.324,NaN,NaN,18.493,0.085
58630.334,NaN,NaN,18.669,0.123
58634.320,NaN,NaN,18.606,0.108
58634.322,NaN,NaN,18.563,0.110
58634.323,NaN,NaN,18.534,0.099
58634.325,NaN,NaN,18.656,0.125
58634.328,NaN,NaN,18.808,0.128
58634.332,NaN,NaN,18.609,0.115
58634.338,NaN,NaN,18.740,0.157
58634.341,NaN,NaN,18.566,0.114
58636.320,18.618,0.073,NaN,NaN
58636.323,18.784,0.097,NaN,NaN
58636.329,18.581,0.076,NaN,NaN
58636.344,18.659,0.079,NaN,NaN
58642.251,NaN,NaN,18.733,0.146
58642.265,NaN,NaN,18.555,0.104
58644.304,NaN,NaN,18.800,0.121
58644.307,NaN,NaN,18.589,0.077
58644.312,NaN,NaN,18.669,0.113
58644.323,NaN,NaN,18.577,0.077
58646.292,NaN,NaN,18.512,0.135
58646.295,NaN,NaN,18.604,0.156
58646.300,NaN,NaN,18.471,0.144
58646.310,NaN,NaN,18.885,0.179
58648.279,NaN,NaN,18.734,0.167
58648.282,NaN,NaN,18.557,0.130
58648.287,NaN,NaN,18.703,0.136
58648.298,NaN,NaN,18.657,0.131
58650.308,NaN,NaN,19.096,0.283
58650.314,NaN,NaN,18.275,0.153
58650.317,NaN,NaN,18.791,0.230
58654.268,NaN,NaN,18.610,0.093
58654.271,NaN,NaN,18.624,0.107
58654.277,NaN,NaN,18.845,0.117
58654.288,NaN,NaN,18.515,0.093
58656.274,NaN,NaN,18.754,0.090
58656.278,NaN,NaN,18.587,0.089
58656.283,NaN,NaN,18.700,0.097
58656.293,NaN,NaN,18.494,0.086
58658.285,NaN,NaN,18.773,0.134
58658.288,NaN,NaN,18.604,0.116
58658.305,NaN,NaN,18.743,0.175
58660.260,NaN,NaN,18.643,0.128
58664.255,19.303,0.249,NaN,NaN
58664.260,18.799,0.116,NaN,NaN
58664.272,18.676,0.085,NaN,NaN
58668.297,19.051,0.126,NaN,NaN
58668.302,18.922,0.116,NaN,NaN
58668.307,18.855,0.105,NaN,NaN
58668.317,18.800,0.102,NaN,NaN
58672.257,NaN,NaN,18.702,0.140
58672.268,NaN,NaN,18.734,0.119
58682.284,NaN,NaN,18.501,0.207
58682.288,NaN,NaN,18.010,0.129
58682.294,NaN,NaN,18.442,0.195
58682.298,NaN,NaN,18.700,0.249
58682.303,NaN,NaN,18.470,0.246
58692.276,18.850,0.102,NaN,NaN
58692.279,19.337,0.189,NaN,NaN
58692.285,19.109,0.150,NaN,NaN
58700.256,19.452,0.237,NaN,NaN
58700.261,19.441,0.203,NaN,NaN
58700.268,19.397,0.162,NaN,NaN
58700.280,19.126,0.164,NaN,NaN
58874.623,NaN,NaN,20.440,0.295
