MJD,c,c_err,o,o_err
58626.304,NaN,NaN,19.161,0.163
58626.308,NaN,NaN,19.087,0.183
58626.325,NaN,NaN,19.347,0.217
58628.306,NaN,NaN,18.833,0.106
58628.311,NaN,NaN,18.909,0.099
58628.321,NaN,NaN,19.169,0.129
58630.289,NaN,NaN,19.187,0.188
58630.292,NaN,NaN,19.536,0.216
58630.298,NaN,NaN,19.281,0.194
58630.307,NaN,NaN,19.430,0.209
58634.308,NaN,NaN,19.165,0.162
58634.311,NaN,NaN,19.203,0.193
58634.316,NaN,NaN,19.073,0.148
58634.326,NaN,NaN,18.906,0.136
58636.297,19.035,0.094,NaN,NaN
58636.299,19.020,0.103,NaN,NaN
58636.305,19.280,0.127,NaN,NaN
58636.315,19.124,0.113,NaN,NaN
58642.339,NaN,NaN,19.070,0.178
58642.341,NaN,NaN,19.072,0.158
58642.347,NaN,NaN,18.968,0.153
58642.359,NaN,NaN,19.069,0.174
58644.291,NaN,NaN,19.212,0.148
58644.294,NaN,NaN,19.373,0.203
58644.299,NaN,NaN,18.863,0.126
58644.309,NaN,NaN,18.847,0.122
58646.255,NaN,NaN,19.019,0.247
58648.271,NaN,NaN,19.317,0.246
58648.274,NaN,NaN,19.062,0.209
58648.279,NaN,NaN,19.149,0.218
58654.248,NaN,NaN,19.335,0.279
58654.252,NaN,NaN,19.425,0.251
58654.257,NaN,NaN,19.506,0.211
58654.267,NaN,NaN,19.616,0.286
58656.252,NaN,NaN,19.322,0.193
58656.255,NaN,NaN,19.421,0.199
58656.261,NaN,NaN,19.124,0.148
58656.271,NaN,NaN,19.286,0.147
58658.277,NaN,NaN,18.825,0.253
58660.249,NaN,NaN,19.008,0.192
58660.255,NaN,NaN,19.511,0.281
58668.257,19.357,0.243,NaN,NaN
58668.273,19.711,0.182,NaN,NaN
