MJD,c,c_err,o,o_err
58634.424,NaN,NaN,19.122,0.156
58634.433,NaN,NaN,19.130,0.168
58634.436,NaN,NaN,19.224,0.171
58634.451,NaN,NaN,18.916,0.134
58636.384,18.608,0.083,NaN,NaN
58636.390,18.626,0.075,NaN,NaN
58636.392,18.514,0.072,NaN,NaN
58636.403,18.467,0.064,NaN,NaN
58636.404,18.510,0.069,NaN,NaN
58636.408,18.529,0.067,NaN,NaN
58636.408,18.360,0.066,NaN,NaN
58636.415,18.531,0.065,NaN,NaN
58638.419,NaN,NaN,18.700,0.122
58638.422,NaN,NaN,18.517,0.139
58638.427,NaN,NaN,19.128,0.220
58638.447,NaN,NaN,18.105,0.145
58642.370,NaN,NaN,18.387,0.087
58642.372,NaN,NaN,18.549,0.093
58642.380,NaN,NaN,18.454,0.090
58642.395,NaN,NaN,18.424,0.076
58644.379,NaN,NaN,18.595,0.100
58644.381,NaN,NaN,18.626,0.091
58644.394,NaN,NaN,18.690,0.100
58644.400,NaN,NaN,18.598,0.099
58646.397,NaN,NaN,18.473,0.105
58646.400,NaN,NaN,18.354,0.106
58646.405,NaN,NaN,18.400,0.109
58646.421,NaN,NaN,18.448,0.095
58648.391,NaN,NaN,18.710,0.150
58648.394,NaN,NaN,18.362,0.109
58648.400,NaN,NaN,18.294,0.126
58648.412,NaN,NaN,18.569,0.120
58650.425,NaN,NaN,18.296,0.157
58650.429,NaN,NaN,18.933,0.250
58650.434,NaN,NaN,18.510,0.176
58650.444,NaN,NaN,18.856,0.230
58654.377,NaN,NaN,18.611,0.138
58654.380,NaN,NaN,18.787,0.161
58654.387,NaN,NaN,18.449,0.108
58654.400,NaN,NaN,18.717,0.141
58656.393,NaN,NaN,18.509,0.176
58656.396,NaN,NaN,18.222,0.087
58656.401,NaN,NaN,18.396,0.105
58656.412,NaN,NaN,18.446,0.086
58658.376,NaN,NaN,18.592,0.180
58658.380,NaN,NaN,18.376,0.187
58658.386,NaN,NaN,18.391,0.178
58658.397,NaN,NaN,18.535,0.175
58662.415,NaN,NaN,18.608,0.099
58662.419,NaN,NaN,18.610,0.116
58662.424,NaN,NaN,18.616,0.096
58662.435,NaN,NaN,18.529,0.094
58664.342,18.836,0.078,NaN,NaN
58664.346,18.733,0.071,NaN,NaN
58664.351,18.857,0.090,NaN,NaN
58666.560,NaN,NaN,18.435,0.122
58668.254,19.208,0.262,NaN,NaN
58668.265,18.902,0.092,NaN,NaN
58675.381,NaN,NaN,18.727,0.148
58675.384,NaN,NaN,18.767,0.171
58675.390,NaN,NaN,18.715,0.123
58675.400,NaN,NaN,18.749,0.147
58678.349,NaN,NaN,18.766,0.189
58678.353,NaN,NaN,18.403,0.149
58678.359,NaN,NaN,18.556,0.168
58680.256,NaN,NaN,18.648,0.161
58680.268,NaN,NaN,18.534,0.136
58682.250,NaN,NaN,18.624,0.152
58682.260,NaN,NaN,18.547,0.108
58684.351,NaN,NaN,18.460,0.079
58684.354,NaN,NaN,18.651,0.101
58684.359,NaN,NaN,18.432,0.087
58684.369,NaN,NaN,18.590,0.102
58688.342,NaN,NaN,18.602,0.079
58688.346,NaN,NaN,18.535,0.072
58688.352,NaN,NaN,18.547,0.067
58688.362,NaN,NaN,18.691,0.102
58690.334,NaN,NaN,18.614,0.087
