MJD,c,c_err,o,o_err
58648.540,NaN,NaN,17.805,0.104
58648.543,NaN,NaN,18.025,0.104
58648.549,NaN,NaN,17.848,0.101
58648.560,NaN,NaN,18.003,0.105
58664.614,18.341,0.142,NaN,NaN
58664.620,18.252,0.212,NaN,NaN
58668.603,18.541,0.072,NaN,NaN
58668.610,18.473,0.083,NaN,NaN
58668.613,18.432,0.069,NaN,NaN
58675.601,NaN,NaN,18.117,0.093
58675.605,NaN,NaN,18.066,0.096
58675.614,NaN,NaN,18.072,0.082
58675.620,NaN,NaN,17.843,0.113
58678.544,NaN,NaN,18.307,0.159
58678.548,NaN,NaN,17.860,0.105
58678.553,NaN,NaN,18.107,0.144
58678.564,NaN,NaN,17.998,0.097
58680.546,NaN,NaN,18.178,0.108
58680.549,NaN,NaN,18.064,0.092
58680.555,NaN,NaN,18.142,0.080
58680.566,NaN,NaN,18.191,0.102
58684.558,NaN,NaN,18.128,0.082
58684.562,NaN,NaN,18.188,0.083
58684.568,NaN,NaN,18.079,0.075
58684.579,NaN,NaN,18.049,0.084
58688.556,NaN,NaN,18.098,0.066
58688.559,NaN,NaN,17.995,0.060
58688.565,NaN,NaN,18.086,0.065
58688.576,NaN,NaN,18.077,0.054
58690.559,NaN,NaN,18.010,0.069
58690.562,NaN,NaN,18.144,0.081
58690.568,NaN,NaN,18.860,0.144
58690.580,NaN,NaN,18.151,0.074
58694.569,NaN,NaN,17.849,0.124
58694.577,NaN,NaN,18.047,0.123
58702.605,NaN,NaN,18.121,0.073
58702.608,NaN,NaN,18.108,0.066
58702.615,NaN,NaN,18.114,0.071
58702.622,NaN,NaN,18.094,0.069
58708.564,18.825,0.188,NaN,NaN
58708.567,18.900,0.182,NaN,NaN
58708.574,18.606,0.152,NaN,NaN
58708.586,18.622,0.130,NaN,NaN
58710.527,NaN,NaN,17.925,0.112
58710.531,NaN,NaN,17.907,0.126
58710.536,NaN,NaN,18.221,0.160
58710.546,NaN,NaN,18.095,0.149
58714.548,NaN,NaN,18.034,0.126
58714.554,NaN,NaN,18.126,0.122
58714.557,NaN,NaN,18.034,0.121
58714.568,NaN,NaN,18.253,0.147
58716.557,NaN,NaN,18.035,0.071
58716.560,NaN,NaN,18.079,0.076
58716.566,NaN,NaN,18.088,0.080
58716.576,NaN,NaN,18.119,0.065
58722.593,NaN,NaN,18.035,0.051
58722.594,NaN,NaN,18.252,0.085
58722.597,NaN,NaN,18.082,0.054
58722.597,NaN,NaN,18.043,0.065
58722.602,NaN,NaN,17.998,0.065
58722.603,NaN,NaN,18.244,0.119
58722.612,NaN,NaN,18.117,0.050
58722.613,NaN,NaN,18.039,0.082
58722.639,NaN,NaN,18.179,0.164
58724.550,18.863,0.088,NaN,NaN
58724.553,18.678,0.084,NaN,NaN
58724.559,18.857,0.096,NaN,NaN
58724.569,18.745,0.094,NaN,NaN
58726.565,NaN,NaN,18.117,0.054
58726.568,NaN,NaN,18.076,0.069
58726.569,NaN,NaN,18.137,0.057
58726.578,NaN,NaN,18.485,0.130
58726.579,NaN,NaN,18.063,0.052
58726.583,NaN,NaN,18.093,0.051
58726.584,NaN,NaN,18.024,0.093
58726.590,NaN,NaN,18.143,0.058
58728.540,18.690,0.078,NaN,NaN
58728.543,18.883,0.097,NaN,NaN
58728.550,18.972,0.105,NaN,NaN
58728.565,18.645,0.084,NaN,NaN
58730.531,NaN,NaN,18.214,0.074
58730.535,NaN,NaN,18.020,0.063
58730.541,NaN,NaN,18.202,0.068
58730.551,NaN,NaN,18.084,0.062
58732.538,NaN,NaN,18.148,0.050
58732.541,NaN,NaN,18.128,0.054
58732.547,NaN,NaN,18.068,0.047
58732.557,NaN,NaN,18.004,0.044
58734.516,NaN,NaN,18.200,0.057
58734.519,NaN,NaN,18.121,0.060
58734.527,NaN,NaN,18.206,0.056
58734.540,NaN,NaN,18.170,0.067
58736.532,NaN,NaN,18.346,0.146
58736.544,NaN,NaN,18.031,0.063
