MJD,c,c_err,o,o_err
58648.504,NaN,NaN,18.747,0.212
58648.511,NaN,NaN,19.076,0.274
58650.603,NaN,NaN,18.803,0.177
58650.608,NaN,NaN,18.672,0.184
58654.506,NaN,NaN,19.018,0.265
58654.509,NaN,NaN,18.823,0.201
58654.515,NaN,NaN,18.890,0.231
58654.525,NaN,NaN,18.605,0.168
58656.564,NaN,NaN,18.734,0.156
58656.567,NaN,NaN,18.812,0.162
58656.572,NaN,NaN,19.083,0.188
58656.584,NaN,NaN,19.057,0.153
58658.527,NaN,NaN,19.258,0.243
58662.550,NaN,NaN,18.871,0.125
58662.553,NaN,NaN,18.922,0.148
58662.559,NaN,NaN,19.285,0.237
58662.579,NaN,NaN,19.408,0.213
58664.511,19.263,0.124,NaN,NaN
58664.516,19.293,0.119,NaN,NaN
58664.522,19.015,0.104,NaN,NaN
58664.536,19.278,0.116,NaN,NaN
58668.523,19.382,0.142,NaN,NaN
58668.527,19.239,0.126,NaN,NaN
58668.533,19.621,0.177,NaN,NaN
58668.543,19.404,0.154,NaN,NaN
58669.583,NaN,NaN,19.332,0.214
58669.586,NaN,NaN,18.919,0.132
58669.592,NaN,NaN,18.817,0.128
58669.603,NaN,NaN,19.170,0.151
58675.503,NaN,NaN,19.154,0.146
58675.513,NaN,NaN,19.154,0.153
58675.525,NaN,NaN,19.047,0.151
58678.454,NaN,NaN,19.189,0.279
58678.464,NaN,NaN,19.091,0.251
58680.476,NaN,NaN,19.271,0.246
58680.479,NaN,NaN,19.009,0.210
58680.485,NaN,NaN,19.362,0.263
58682.463,NaN,NaN,18.820,0.295
58684.447,NaN,NaN,19.268,0.202
58684.450,NaN,NaN,19.126,0.153
58684.456,NaN,NaN,19.383,0.284
58684.466,NaN,NaN,19.313,0.213
58688.489,NaN,NaN,19.493,0.189
58688.492,NaN,NaN,19.047,0.124
58688.499,NaN,NaN,19.125,0.140
58688.511,NaN,NaN,19.236,0.170
58690.457,NaN,NaN,19.137,0.137
58690.461,NaN,NaN,19.530,0.207
58690.471,NaN,NaN,19.536,0.220
58690.479,NaN,NaN,19.025,0.124
58692.377,19.478,0.157,NaN,NaN
58692.394,19.514,0.202,NaN,NaN
58692.395,19.790,0.240,NaN,NaN
58692.396,19.525,0.156,NaN,NaN
58692.412,19.852,0.234,NaN,NaN
58692.414,19.648,0.180,NaN,NaN
58692.415,19.668,0.175,NaN,NaN
58692.430,19.523,0.150,NaN,NaN
