MJD,c,c_err,o,o_err
58662.440,NaN,NaN,17.925,0.051
58662.444,NaN,NaN,18.012,0.058
58662.449,NaN,NaN,17.970,0.052
58662.459,NaN,NaN,17.936,0.059
58664.371,17.536,0.027,NaN,NaN
58664.374,17.431,0.028,NaN,NaN
58664.381,17.447,0.024,NaN,NaN
58666.400,NaN,NaN,17.502,0.038
58666.410,NaN,NaN,17.507,0.035
58666.447,NaN,NaN,17.494,0.037
58668.282,17.260,0.025,NaN,NaN
58668.286,17.319,0.028,NaN,NaN
58668.291,17.280,0.027,NaN,NaN
58668.303,17.229,0.024,NaN,NaN
58672.362,NaN,NaN,17.399,0.038
58675.394,NaN,NaN,17.398,0.044
58675.403,NaN,NaN,17.404,0.041
58675.407,NaN,NaN,17.346,0.047
58675.411,NaN,NaN,17.430,0.048
58675.415,NaN,NaN,17.377,0.045
58675.417,NaN,NaN,17.304,0.041
58675.427,NaN,NaN,17.351,0.046
58676.515,NaN,NaN,17.409,0.040
58676.519,NaN,NaN,17.377,0.037
58676.526,NaN,NaN,17.314,0.030
58676.537,NaN,NaN,17.442,0.035
58678.363,NaN,NaN,17.269,0.045
58678.366,NaN,NaN,17.607,0.073
58678.372,NaN,NaN,17.254,0.052
58678.376,NaN,NaN,17.313,0.059
58678.379,NaN,NaN,17.416,0.063
58678.383,NaN,NaN,17.521,0.063
58678.385,NaN,NaN,17.530,0.075
58678.398,NaN,NaN,17.448,0.069
58680.368,NaN,NaN,17.285,0.042
58680.371,NaN,NaN,17.418,0.050
58680.377,NaN,NaN,17.378,0.044
58680.389,NaN,NaN,17.512,0.049
58682.373,NaN,NaN,17.351,0.058
58682.377,NaN,NaN,17.601,0.075
58682.382,NaN,NaN,17.366,0.058
58682.393,NaN,NaN,17.348,0.059
58684.351,NaN,NaN,17.421,0.041
58684.354,NaN,NaN,17.526,0.046
58684.361,NaN,NaN,17.337,0.038
58684.371,NaN,NaN,17.515,0.047
58688.256,NaN,NaN,17.406,0.033
58690.349,NaN,NaN,17.450,0.034
58690.352,NaN,NaN,17.456,0.034
58690.371,NaN,NaN,17.515,0.036
58692.245,17.420,0.083,NaN,NaN
58692.251,17.657,0.048,NaN,NaN
58692.261,17.592,0.035,NaN,NaN
58694.352,NaN,NaN,17.521,0.038
58694.355,NaN,NaN,17.579,0.040
58694.361,NaN,NaN,17.578,0.036
58694.372,NaN,NaN,17.540,0.036
58696.297,17.703,0.032,NaN,NaN
58696.301,17.674,0.032,NaN,NaN
58696.306,17.680,0.030,NaN,NaN
58696.318,17.624,0.029,NaN,NaN
58700.396,17.800,0.036,NaN,NaN
58700.405,17.845,0.042,NaN,NaN
58700.416,17.738,0.034,NaN,NaN
58704.321,17.809,0.051,NaN,NaN
58704.324,17.924,0.062,NaN,NaN
58704.330,17.942,0.056,NaN,NaN
58704.340,18.025,0.067,NaN,NaN
58708.400,17.862,0.134,NaN,NaN
58708.410,18.063,0.155,NaN,NaN
58710.303,NaN,NaN,17.587,0.079
58710.307,NaN,NaN,17.764,0.073
58710.313,NaN,NaN,17.524,0.066
58710.323,NaN,NaN,17.521,0.075
58714.235,NaN,NaN,17.858,0.121
58714.240,NaN,NaN,17.623,0.060
58714.253,NaN,NaN,17.573,0.042
58716.436,NaN,NaN,17.629,0.074
58716.439,NaN,NaN,17.787,0.080
58720.296,18.097,0.049,NaN,NaN
58720.299,18.128,0.054,NaN,NaN
58720.305,18.049,0.042,NaN,NaN
58720.315,17.944,0.039,NaN,NaN
58724.325,18.009,0.043,NaN,NaN
58724.331,18.360,0.055,NaN,NaN
58724.342,18.125,0.045,NaN,NaN
58726.260,NaN,NaN,17.734,0.042
58726.263,NaN,NaN,17.781,0.042
58726.270,NaN,NaN,17.730,0.044
58726.280,NaN,NaN,17.798,0.046
58728.262,18.194,0.051,NaN,NaN
58728.267,18.324,0.053,NaN,NaN
58728.270,18.089,0.041,NaN,NaN
58728.282,18.224,0.059,NaN,NaN
58730.346,NaN,NaN,17.883,0.049
58730.349,NaN,NaN,18.011,0.073
58730.355,NaN,NaN,17.953,0.084
58730.366,NaN,NaN,17.770,0.052
58732.292,NaN,NaN,17.724,0.075
58732.296,NaN,NaN,17.757,0.100
58732.303,NaN,NaN,17.887,0.056
58734.253,NaN,NaN,17.827,0.050
58734.256,NaN,NaN,17.990,0.055
58734.261,NaN,NaN,17.841,0.044
58734.271,NaN,NaN,17.929,0.048
58740.336,NaN,NaN,17.786,0.088
58740.340,NaN,NaN,17.887,0.087
58740.345,NaN,NaN,17.807,0.103
58740.357,NaN,NaN,17.901,0.096
58744.246,NaN,NaN,17.972,0.060
58744.251,NaN,NaN,18.096,0.076
58744.255,NaN,NaN,17.972,0.058
58744.266,NaN,NaN,17.905,0.053
58746.278,NaN,NaN,17.962,0.109
58746.287,NaN,NaN,18.146,0.087
58746.301,NaN,NaN,17.909,0.137
58748.306,NaN,NaN,17.994,0.086
58748.316,NaN,NaN,18.015,0.070
58748.319,NaN,NaN,17.893,0.066
58748.325,NaN,NaN,17.989,0.063
58748.335,NaN,NaN,18.099,0.087
58752.228,18.581,0.232,NaN,NaN
58752.232,18.269,0.134,NaN,NaN
58752.235,18.905,0.253,NaN,NaN
58752.238,18.748,0.287,NaN,NaN
58752.251,18.873,0.174,NaN,NaN
58754.263,NaN,NaN,18.212,0.055
58754.270,NaN,NaN,18.171,0.056
58756.289,18.506,0.073,NaN,NaN
58756.292,18.841,0.116,NaN,NaN
58756.298,19.058,0.137,NaN,NaN
58756.308,19.065,0.124,NaN,NaN
58758.225,NaN,NaN,18.509,0.071
58758.228,NaN,NaN,18.323,0.072
58758.235,NaN,NaN,18.245,0.059
58762.254,NaN,NaN,18.495,0.099
58762.257,NaN,NaN,18.572,0.117
58762.262,NaN,NaN,18.285,0.080
58762.273,NaN,NaN,18.486,0.095
58764.259,NaN,NaN,18.432,0.106
58764.262,NaN,NaN,18.425,0.107
58764.268,NaN,NaN,18.638,0.128
58770.234,NaN,NaN,18.656,0.202
58770.238,NaN,NaN,18.696,0.162
58770.244,NaN,NaN,19.265,0.300
58770.254,NaN,NaN,18.740,0.161
58772.258,NaN,NaN,19.325,0.288
58772.261,NaN,NaN,19.169,0.252
58772.267,NaN,NaN,19.175,0.269
58772.277,NaN,NaN,18.898,0.195
58788.216,NaN,NaN,19.630,0.299
58802.197,NaN,NaN,18.945,0.230
58802.209,NaN,NaN,19.593,0.289
58878.568,NaN,NaN,19.076,0.211
58878.580,NaN,NaN,19.543,0.224
58878.588,NaN,NaN,19.720,0.241
