MJD,c,c_err,o,o_err
58699.509,19.218,0.221,NaN,NaN
58703.500,18.955,0.113,NaN,NaN
58703.508,18.646,0.074,NaN,NaN
58707.595,18.720,0.096,NaN,NaN
58707.598,19.215,0.172,NaN,NaN
58719.513,NaN,NaN,18.752,0.136
58719.516,NaN,NaN,18.776,0.114
58719.547,NaN,NaN,18.681,0.104
58721.454,NaN,NaN,19.179,0.196
58721.457,NaN,NaN,18.914,0.112
58721.475,NaN,NaN,19.300,0.139
58721.480,NaN,NaN,18.924,0.132
58723.449,19.102,0.123,NaN,NaN
58723.453,18.982,0.104,NaN,NaN
58723.473,19.297,0.158,NaN,NaN
58723.488,19.016,0.127,NaN,NaN
58733.538,NaN,NaN,18.961,0.149
58733.547,NaN,NaN,18.922,0.122
58735.631,NaN,NaN,18.216,0.090
58737.474,NaN,NaN,19.042,0.267
58737.478,NaN,NaN,18.983,0.207
58737.486,NaN,NaN,18.685,0.140
58737.496,NaN,NaN,19.271,0.267
58739.499,NaN,NaN,18.765,0.257
58745.562,NaN,NaN,18.915,0.263
58745.572,NaN,NaN,19.147,0.260
58745.585,NaN,NaN,18.972,0.261
58751.398,19.573,0.200,NaN,NaN
58751.534,19.677,0.217,NaN,NaN
58753.537,NaN,NaN,19.353,0.151
58753.541,NaN,NaN,19.125,0.221
58753.547,NaN,NaN,18.943,0.146
58753.558,NaN,NaN,19.221,0.176
58755.468,18.653,0.089,NaN,NaN
58757.415,NaN,NaN,19.178,0.162
58757.419,NaN,NaN,19.136,0.145
58757.436,NaN,NaN,19.080,0.121
58757.448,NaN,NaN,19.260,0.155
58761.376,NaN,NaN,19.265,0.221
58761.379,NaN,NaN,19.023,0.168
58761.387,NaN,NaN,18.669,0.125
58761.399,NaN,NaN,18.856,0.111
58763.328,NaN,NaN,18.768,0.166
58763.343,NaN,NaN,18.947,0.179
58763.348,NaN,NaN,18.853,0.218
58765.466,NaN,NaN,19.392,0.265
58765.470,NaN,NaN,19.360,0.273
58765.477,NaN,NaN,19.134,0.200
58765.497,NaN,NaN,19.197,0.207
58773.445,NaN,NaN,18.850,0.183
58773.448,NaN,NaN,18.946,0.236
58773.454,NaN,NaN,19.048,0.253
58773.464,NaN,NaN,18.970,0.205
58775.430,NaN,NaN,19.051,0.234
58775.436,NaN,NaN,18.852,0.155
58777.427,NaN,NaN,19.344,0.281
58779.468,19.255,0.168,NaN,NaN
58779.476,19.464,0.163,NaN,NaN
58779.482,19.649,0.202,NaN,NaN
58781.389,NaN,NaN,19.377,0.211
58781.394,NaN,NaN,19.455,0.203
58781.404,NaN,NaN,19.334,0.226
58781.409,NaN,NaN,19.090,0.166
58783.416,19.624,0.149,NaN,NaN
58783.423,19.249,0.146,NaN,NaN
58785.383,NaN,NaN,19.581,0.238
58785.397,NaN,NaN,19.043,0.155
58785.408,NaN,NaN,19.423,0.230
58787.397,19.849,0.247,NaN,NaN
58789.331,NaN,NaN,19.188,0.160
58789.338,NaN,NaN,19.301,0.190
58789.351,NaN,NaN,19.542,0.214
58789.355,NaN,NaN,19.513,0.214
58791.335,NaN,NaN,19.402,0.261
58791.356,NaN,NaN,19.144,0.187
58791.364,NaN,NaN,19.417,0.184
58792.369,NaN,NaN,19.092,0.193
58792.372,NaN,NaN,19.333,0.209
58813.300,NaN,NaN,19.816,0.291
58813.309,NaN,NaN,19.192,0.184
58813.321,NaN,NaN,19.755,0.280
58815.265,19.659,0.244,NaN,NaN
58815.269,19.290,0.171,NaN,NaN
58821.301,NaN,NaN,18.813,0.164
58828.332,NaN,NaN,18.643,0.178
58837.318,NaN,NaN,18.712,0.104
58837.321,NaN,NaN,19.234,0.154
58841.336,NaN,NaN,19.942,0.293
58845.264,NaN,NaN,19.530,0.236
58871.224,19.904,0.272,NaN,NaN
58875.251,19.837,0.291,NaN,NaN
