MJD,c,c_err,o,o_err
58692.326,NaN,NaN,19.417,0.192
58692.338,NaN,NaN,19.786,0.288
58694.344,18.758,0.089,NaN,NaN
58694.354,18.946,0.092,NaN,NaN
58696.340,NaN,NaN,18.420,0.092
58696.344,NaN,NaN,18.225,0.075
58696.350,NaN,NaN,18.636,0.128
58696.360,NaN,NaN,18.722,0.114
58700.267,NaN,NaN,18.009,0.059
58700.291,NaN,NaN,17.687,0.044
58702.298,18.048,0.061,NaN,NaN
58702.301,17.936,0.051,NaN,NaN
58702.306,17.954,0.055,NaN,NaN
58702.316,18.191,0.069,NaN,NaN
58704.309,NaN,NaN,17.822,0.083
58704.313,NaN,NaN,17.796,0.081
58704.318,NaN,NaN,18.011,0.095
58704.330,NaN,NaN,17.804,0.078
58718.338,NaN,NaN,17.838,0.047
58718.342,NaN,NaN,17.931,0.052
58726.265,18.253,0.056,NaN,NaN
58726.269,18.544,0.083,NaN,NaN
58726.274,18.412,0.065,NaN,NaN
58726.285,18.339,0.064,NaN,NaN
58730.357,18.608,0.087,NaN,NaN
58730.367,18.646,0.100,NaN,NaN
58730.371,18.461,0.070,NaN,NaN
58736.308,NaN,NaN,18.056,0.088
58736.311,NaN,NaN,18.236,0.081
58736.318,NaN,NaN,18.028,0.082
58736.329,NaN,NaN,18.193,0.091
58738.316,NaN,NaN,18.039,0.164
58744.313,NaN,NaN,18.001,0.076
58744.332,NaN,NaN,17.930,0.082
58746.270,NaN,NaN,18.172,0.096
58746.273,NaN,NaN,18.004,0.096
58746.289,NaN,NaN,18.418,0.229
58750.222,19.188,0.147,NaN,NaN
58750.226,19.002,0.122,NaN,NaN
58750.232,18.816,0.120,NaN,NaN
58750.243,18.786,0.101,NaN,NaN
58756.207,NaN,NaN,18.105,0.140
58760.250,NaN,NaN,18.123,0.124
58760.254,NaN,NaN,17.882,0.068
58760.260,NaN,NaN,18.441,0.173
58760.272,NaN,NaN,18.291,0.156
58770.243,NaN,NaN,18.369,0.201
58770.247,NaN,NaN,18.283,0.152
58770.252,NaN,NaN,18.549,0.230
58771.244,NaN,NaN,18.459,0.223
58771.252,NaN,NaN,18.203,0.168
58771.265,NaN,NaN,17.908,0.129
58771.269,NaN,NaN,18.485,0.220
58904.634,NaN,NaN,19.755,0.250
