MJD,c,c_err,o,o_err
58719.483,NaN,NaN,19.202,0.128
58719.495,NaN,NaN,19.124,0.140
58721.557,NaN,NaN,18.963,0.300
58721.567,NaN,NaN,19.372,0.193
58721.570,NaN,NaN,19.173,0.145
58721.581,NaN,NaN,19.123,0.181
58723.363,19.354,0.147,NaN,NaN
58723.396,19.195,0.122,NaN,NaN
58723.399,18.917,0.103,NaN,NaN
58727.354,19.016,0.108,NaN,NaN
58727.371,19.059,0.109,NaN,NaN
58727.381,18.849,0.099,NaN,NaN
58731.620,NaN,NaN,18.802,0.119
58731.623,NaN,NaN,18.911,0.113
58731.628,NaN,NaN,18.985,0.124
58731.632,NaN,NaN,18.729,0.121
58733.415,NaN,NaN,18.891,0.167
58733.418,NaN,NaN,19.159,0.161
58733.434,NaN,NaN,18.992,0.138
58733.442,NaN,NaN,18.672,0.187
58737.435,NaN,NaN,19.112,0.296
58737.438,NaN,NaN,18.778,0.153
58737.445,NaN,NaN,18.935,0.147
58737.457,NaN,NaN,18.667,0.138
58743.481,NaN,NaN,18.796,0.134
58743.483,NaN,NaN,18.552,0.123
58743.491,NaN,NaN,18.646,0.127
58743.504,NaN,NaN,18.664,0.151
58745.460,NaN,NaN,19.146,0.161
58745.464,NaN,NaN,19.103,0.196
58745.485,NaN,NaN,19.145,0.227
58745.490,NaN,NaN,19.127,0.221
58751.311,19.363,0.107,NaN,NaN
58751.315,19.155,0.098,NaN,NaN
58751.320,18.854,0.073,NaN,NaN
58751.330,19.001,0.084,NaN,NaN
58751.418,19.150,0.096,NaN,NaN
58751.424,19.250,0.115,NaN,NaN
58751.430,19.034,0.088,NaN,NaN
58751.437,19.152,0.113,NaN,NaN
58751.443,19.016,0.094,NaN,NaN
58751.449,19.008,0.096,NaN,NaN
58751.459,19.067,0.091,NaN,NaN
58751.467,19.227,0.133,NaN,NaN
58751.536,19.114,0.110,NaN,NaN
58751.547,NaN,NaN,18.939,0.134
58751.553,NaN,NaN,18.840,0.107
58751.559,NaN,NaN,19.209,0.156
58751.566,NaN,NaN,18.870,0.110
58751.578,NaN,NaN,18.689,0.114
58751.584,NaN,NaN,18.676,0.105
58751.590,NaN,NaN,18.879,0.163
58753.497,NaN,NaN,18.958,0.117
58753.500,NaN,NaN,18.771,0.089
58753.507,NaN,NaN,18.880,0.100
58753.517,NaN,NaN,18.896,0.085
58755.380,19.332,0.138,NaN,NaN
58755.384,19.180,0.123,NaN,NaN
58755.390,19.014,0.093,NaN,NaN
58755.400,19.303,0.122,NaN,NaN
58757.307,NaN,NaN,18.961,0.119
58757.310,NaN,NaN,19.105,0.098
58757.318,NaN,NaN,18.937,0.096
58759.217,NaN,NaN,18.833,0.164
58761.485,NaN,NaN,19.108,0.153
58761.488,NaN,NaN,18.865,0.118
58761.493,NaN,NaN,18.899,0.127
58763.354,NaN,NaN,19.071,0.203
58763.364,NaN,NaN,19.081,0.167
58763.378,NaN,NaN,18.700,0.110
58765.370,NaN,NaN,19.246,0.192
58765.373,NaN,NaN,19.230,0.198
58765.378,NaN,NaN,19.001,0.174
58771.267,NaN,NaN,19.025,0.275
58771.285,NaN,NaN,19.044,0.231
58771.297,NaN,NaN,19.031,0.221
58773.435,NaN,NaN,19.005,0.142
58773.438,NaN,NaN,18.982,0.166
58773.443,NaN,NaN,19.291,0.188
58773.454,NaN,NaN,18.943,0.163
58775.352,NaN,NaN,19.208,0.190
58775.364,NaN,NaN,18.910,0.153
58775.368,NaN,NaN,18.852,0.119
58775.374,NaN,NaN,18.991,0.149
58779.471,19.859,0.267,NaN,NaN
58779.475,19.248,0.158,NaN,NaN
58779.484,19.202,0.167,NaN,NaN
58781.325,NaN,NaN,19.239,0.131
58781.331,NaN,NaN,19.500,0.210
58781.334,NaN,NaN,19.376,0.160
58783.311,19.624,0.173,NaN,NaN
58783.315,19.270,0.132,NaN,NaN
58783.321,19.723,0.215,NaN,NaN
58783.331,19.612,0.156,NaN,NaN
58785.301,NaN,NaN,19.453,0.211
58785.320,NaN,NaN,19.128,0.110
58785.330,NaN,NaN,19.312,0.142
58787.346,19.668,0.220,NaN,NaN
58787.349,19.748,0.223,NaN,NaN
58787.355,19.443,0.188,NaN,NaN
58787.368,19.590,0.205,NaN,NaN
58789.195,NaN,NaN,19.451,0.271
58789.212,NaN,NaN,19.100,0.131
58791.286,NaN,NaN,19.145,0.161
58791.311,NaN,NaN,19.253,0.163
58797.364,NaN,NaN,19.320,0.269
58799.360,NaN,NaN,19.149,0.282
58801.199,NaN,NaN,19.363,0.167
58801.207,NaN,NaN,19.394,0.150
58813.263,NaN,NaN,19.521,0.170
58815.303,20.224,0.254,NaN,NaN
58815.317,19.746,0.199,NaN,NaN
58815.321,20.046,0.272,NaN,NaN
58815.329,19.999,0.204,NaN,NaN
58825.302,NaN,NaN,19.469,0.269
58825.305,NaN,NaN,19.288,0.261
58825.312,NaN,NaN,19.389,0.259
58825.322,NaN,NaN,19.285,0.280
58827.315,NaN,NaN,19.397,0.298
58833.294,NaN,NaN,19.946,0.239
58841.249,NaN,NaN,20.138,0.274
58841.258,NaN,NaN,20.207,0.296
58841.269,NaN,NaN,19.929,0.236
