MJD,c,c_err,o,o_err
58714.246,NaN,NaN,18.539,0.121
58714.249,NaN,NaN,18.434,0.094
58714.256,NaN,NaN,18.201,0.057
58714.265,NaN,NaN,18.355,0.067
58716.329,NaN,NaN,17.491,0.033
58716.332,NaN,NaN,17.528,0.033
58716.338,NaN,NaN,17.474,0.030
58716.349,NaN,NaN,17.444,0.031
58720.297,17.240,0.023,NaN,NaN
58720.300,17.262,0.023,NaN,NaN
58720.306,17.233,0.023,NaN,NaN
58720.316,17.248,0.025,NaN,NaN
58724.330,17.331,0.025,NaN,NaN
58724.333,17.262,0.023,NaN,NaN
58724.339,17.273,0.024,NaN,NaN
58724.349,17.393,0.029,NaN,NaN
58726.266,NaN,NaN,17.166,0.032
58726.269,NaN,NaN,17.255,0.030
58726.275,NaN,NaN,17.267,0.030
58726.281,NaN,NaN,17.259,0.034
58726.284,NaN,NaN,17.247,0.030
58726.286,NaN,NaN,17.213,0.031
58726.290,NaN,NaN,17.206,0.029
58726.300,NaN,NaN,17.209,0.029
58728.271,17.373,0.025,NaN,NaN
58728.275,17.364,0.027,NaN,NaN
58728.280,17.433,0.026,NaN,NaN
58728.290,17.398,0.027,NaN,NaN
58730.370,NaN,NaN,17.318,0.028
58730.374,NaN,NaN,17.258,0.030
58730.380,NaN,NaN,17.331,0.031
58730.390,NaN,NaN,17.409,0.032
58732.324,NaN,NaN,17.284,0.038
58732.327,NaN,NaN,17.221,0.036
58732.333,NaN,NaN,17.300,0.036
58732.344,NaN,NaN,17.233,0.034
58734.265,NaN,NaN,17.292,0.029
58734.268,NaN,NaN,17.306,0.030
58734.275,NaN,NaN,17.273,0.028
58734.285,NaN,NaN,17.287,0.032
58736.288,NaN,NaN,17.379,0.043
58736.292,NaN,NaN,17.398,0.044
58736.299,NaN,NaN,17.296,0.048
58736.310,NaN,NaN,17.262,0.056
58740.347,NaN,NaN,17.263,0.063
58740.350,NaN,NaN,17.335,0.056
58740.356,NaN,NaN,17.266,0.055
58740.367,NaN,NaN,17.227,0.068
58744.261,NaN,NaN,17.256,0.030
58744.264,NaN,NaN,17.356,0.029
58744.269,NaN,NaN,17.287,0.031
58744.280,NaN,NaN,17.359,0.037
58746.291,NaN,NaN,17.294,0.037
58746.295,NaN,NaN,17.355,0.046
58746.313,NaN,NaN,17.450,0.058
58748.310,NaN,NaN,17.378,0.038
58748.313,NaN,NaN,17.293,0.031
58748.318,NaN,NaN,17.284,0.033
58748.329,NaN,NaN,17.350,0.034
58752.226,17.796,0.081,NaN,NaN
58752.230,17.669,0.036,NaN,NaN
58752.240,17.760,0.091,NaN,NaN
58754.228,NaN,NaN,17.417,0.028
58754.231,NaN,NaN,17.416,0.032
58754.238,NaN,NaN,17.470,0.030
58754.248,NaN,NaN,17.384,0.025
58756.278,17.905,0.054,NaN,NaN
58756.281,17.932,0.062,NaN,NaN
58756.288,17.778,0.044,NaN,NaN
58756.301,17.898,0.053,NaN,NaN
58758.223,NaN,NaN,17.459,0.030
58758.228,NaN,NaN,17.473,0.029
58758.241,NaN,NaN,17.406,0.028
58762.268,NaN,NaN,17.433,0.036
58762.271,NaN,NaN,17.479,0.039
58762.276,NaN,NaN,17.529,0.042
58762.287,NaN,NaN,17.461,0.039
58764.246,NaN,NaN,17.528,0.042
58764.250,NaN,NaN,17.501,0.044
58764.256,NaN,NaN,17.411,0.037
58764.270,NaN,NaN,17.390,0.043
58770.233,NaN,NaN,17.518,0.056
58770.236,NaN,NaN,17.445,0.064
58770.242,NaN,NaN,17.716,0.079
58770.252,NaN,NaN,17.548,0.077
58772.264,NaN,NaN,17.465,0.053
58772.268,NaN,NaN,17.493,0.057
58772.275,NaN,NaN,17.521,0.054
58772.287,NaN,NaN,17.518,0.070
58774.201,NaN,NaN,17.564,0.068
58774.213,NaN,NaN,17.602,0.037
58778.267,NaN,NaN,17.672,0.042
58778.270,NaN,NaN,17.683,0.046
58778.276,NaN,NaN,17.583,0.055
58778.287,NaN,NaN,17.596,0.050
58780.252,18.320,0.061,NaN,NaN
58780.255,18.174,0.055,NaN,NaN
58780.261,18.189,0.047,NaN,NaN
58780.271,18.078,0.056,NaN,NaN
58788.226,NaN,NaN,17.631,0.042
58788.230,NaN,NaN,17.667,0.049
58788.235,NaN,NaN,17.724,0.047
58788.245,NaN,NaN,17.662,0.045
58870.607,NaN,NaN,19.234,0.194
58870.616,NaN,NaN,19.595,0.248
58870.626,NaN,NaN,19.660,0.269
58878.650,NaN,NaN,19.881,0.209
58878.653,NaN,NaN,19.801,0.175
58878.659,NaN,NaN,19.268,0.133
58878.661,NaN,NaN,19.309,0.189
58910.632,NaN,NaN,19.839,0.229
58910.647,NaN,NaN,19.684,0.192
58914.626,NaN,NaN,19.879,0.251
58914.643,NaN,NaN,19.946,0.286
58942.628,NaN,NaN,19.580,0.205
58966.517,NaN,NaN,19.782,0.236
58968.481,20.072,0.251,NaN,NaN
58990.448,NaN,NaN,19.997,0.260
