MJD,c,c_err,o,o_err
58719.483,NaN,NaN,18.067,0.051
58719.487,NaN,NaN,18.068,0.044
58719.496,NaN,NaN,18.240,0.062
58719.502,NaN,NaN,18.169,0.058
58721.527,NaN,NaN,18.190,0.067
58721.530,NaN,NaN,17.975,0.072
58721.546,NaN,NaN,18.201,0.083
58721.555,NaN,NaN,18.065,0.063
58723.556,17.898,0.036,NaN,NaN
58723.559,17.906,0.033,NaN,NaN
58723.568,17.893,0.038,NaN,NaN
58723.582,17.952,0.039,NaN,NaN
58727.340,17.887,0.038,NaN,NaN
58727.343,17.910,0.037,NaN,NaN
58727.350,17.910,0.041,NaN,NaN
58727.366,17.898,0.041,NaN,NaN
58731.581,NaN,NaN,17.893,0.047
58731.585,NaN,NaN,17.924,0.054
58731.592,NaN,NaN,17.781,0.049
58731.602,NaN,NaN,17.861,0.051
58733.416,NaN,NaN,17.821,0.052
58733.420,NaN,NaN,18.077,0.068
58733.440,NaN,NaN,17.783,0.085
58733.447,NaN,NaN,18.000,0.060
58737.406,NaN,NaN,17.950,0.062
58737.410,NaN,NaN,17.881,0.064
58737.418,NaN,NaN,18.079,0.084
58737.428,NaN,NaN,18.051,0.099
58739.425,NaN,NaN,17.868,0.136
58743.468,NaN,NaN,17.895,0.057
58743.472,NaN,NaN,17.865,0.067
58743.478,NaN,NaN,17.797,0.061
58743.488,NaN,NaN,17.961,0.060
58745.454,NaN,NaN,18.019,0.061
58745.458,NaN,NaN,17.929,0.046
58745.464,NaN,NaN,17.913,0.061
58745.484,NaN,NaN,17.975,0.059
58751.378,18.326,0.075,NaN,NaN
58751.378,18.308,0.053,NaN,NaN
58751.383,18.445,0.088,NaN,NaN
58751.384,18.298,0.054,NaN,NaN
58751.397,18.166,0.054,NaN,NaN
58751.397,18.250,0.055,NaN,NaN
58751.403,18.166,0.052,NaN,NaN
58753.497,NaN,NaN,17.979,0.043
58753.498,NaN,NaN,17.947,0.045
58753.500,NaN,NaN,17.923,0.048
58753.501,NaN,NaN,18.055,0.045
58753.506,NaN,NaN,18.056,0.052
58753.509,NaN,NaN,17.983,0.043
58753.517,NaN,NaN,17.961,0.050
58753.520,NaN,NaN,18.059,0.044
58755.391,18.448,0.110,NaN,NaN
58755.392,18.276,0.058,NaN,NaN
58755.394,18.350,0.081,NaN,NaN
58755.395,18.204,0.056,NaN,NaN
58755.401,18.330,0.067,NaN,NaN
58755.412,18.220,0.070,NaN,NaN
58755.414,18.388,0.066,NaN,NaN
58757.356,NaN,NaN,18.074,0.053
58757.356,NaN,NaN,18.072,0.044
58757.359,NaN,NaN,18.029,0.046
58757.360,NaN,NaN,18.031,0.045
58757.367,NaN,NaN,18.117,0.046
58757.368,NaN,NaN,18.050,0.054
58757.377,NaN,NaN,17.952,0.051
58757.378,NaN,NaN,18.028,0.049
58761.474,NaN,NaN,18.170,0.050
58761.477,NaN,NaN,18.019,0.052
58761.483,NaN,NaN,18.102,0.059
58761.493,NaN,NaN,17.984,0.053
58763.351,NaN,NaN,17.959,0.058
58763.354,NaN,NaN,18.075,0.076
58763.360,NaN,NaN,18.055,0.068
58763.372,NaN,NaN,18.225,0.119
58765.343,NaN,NaN,18.136,0.075
58765.347,NaN,NaN,18.164,0.049
58765.355,NaN,NaN,18.360,0.085
58765.366,NaN,NaN,18.116,0.077
58769.236,NaN,NaN,18.142,0.094
58769.247,NaN,NaN,18.015,0.132
58769.261,NaN,NaN,18.081,0.120
58771.452,NaN,NaN,18.037,0.102
58771.455,NaN,NaN,18.200,0.106
58771.461,NaN,NaN,18.209,0.127
58771.471,NaN,NaN,18.016,0.094
58773.403,NaN,NaN,18.151,0.085
58773.406,NaN,NaN,18.193,0.081
58773.420,NaN,NaN,18.301,0.079
58773.425,NaN,NaN,18.111,0.062
58775.319,18.746,0.075,NaN,NaN
58775.322,18.448,0.058,NaN,NaN
58775.325,18.648,0.064,NaN,NaN
58775.329,18.599,0.085,NaN,NaN
58777.361,NaN,NaN,18.100,0.097
58777.364,NaN,NaN,17.958,0.104
58777.370,NaN,NaN,18.337,0.134
58779.370,18.584,0.075,NaN,NaN
58779.375,18.703,0.075,NaN,NaN
58779.380,18.644,0.066,NaN,NaN
58779.397,18.626,0.079,NaN,NaN
58781.308,NaN,NaN,18.266,0.048
58781.311,NaN,NaN,18.329,0.055
58781.322,NaN,NaN,18.186,0.058
58781.329,NaN,NaN,18.290,0.059
58783.298,18.780,0.082,NaN,NaN
58783.318,18.632,0.083,NaN,NaN
58783.322,18.594,0.077,NaN,NaN
58783.329,18.736,0.083,NaN,NaN
58785.324,NaN,NaN,18.255,0.053
58785.329,NaN,NaN,18.217,0.056
58785.334,NaN,NaN,18.133,0.055
58785.346,NaN,NaN,18.285,0.048
58787.344,18.708,0.066,NaN,NaN
58787.347,18.824,0.072,NaN,NaN
58787.353,18.736,0.073,NaN,NaN
58787.363,18.738,0.073,NaN,NaN
58789.192,NaN,NaN,18.095,0.133
58789.197,NaN,NaN,18.164,0.075
58789.211,NaN,NaN,18.347,0.060
58791.204,NaN,NaN,18.084,0.068
58791.212,NaN,NaN,18.201,0.068
58792.207,NaN,NaN,18.306,0.076
58792.218,NaN,NaN,18.157,0.070
58795.195,NaN,NaN,18.290,0.117
58795.208,NaN,NaN,18.104,0.120
58797.329,NaN,NaN,18.409,0.098
58797.332,NaN,NaN,18.307,0.084
58797.340,NaN,NaN,18.633,0.134
58797.351,NaN,NaN,18.535,0.121
58801.367,NaN,NaN,18.200,0.077
58801.377,NaN,NaN,18.386,0.092
58801.381,NaN,NaN,18.332,0.100
58801.386,NaN,NaN,18.248,0.099
58802.190,NaN,NaN,18.062,0.096
58802.204,NaN,NaN,18.360,0.067
