MJD,c,c_err,o,o_err
58724.337,19.647,0.176,NaN,NaN
58724.341,19.614,0.165,NaN,NaN
58724.346,19.837,0.199,NaN,NaN
58724.356,19.627,0.183,NaN,NaN
58726.292,NaN,NaN,19.416,0.258
58726.296,NaN,NaN,19.518,0.176
58726.301,NaN,NaN,19.484,0.179
58728.273,18.914,0.088,NaN,NaN
58728.276,18.835,0.100,NaN,NaN
58728.283,19.051,0.119,NaN,NaN
58728.294,18.831,0.091,NaN,NaN
58730.370,NaN,NaN,18.876,0.105
58730.373,NaN,NaN,19.149,0.137
58730.379,NaN,NaN,19.089,0.126
58730.389,NaN,NaN,18.728,0.086
58732.336,NaN,NaN,18.690,0.095
58732.338,NaN,NaN,19.552,0.277
58732.344,NaN,NaN,18.950,0.114
58732.355,NaN,NaN,18.871,0.116
58734.271,NaN,NaN,18.713,0.104
58734.274,NaN,NaN,18.756,0.093
58734.279,NaN,NaN,18.745,0.095
58734.289,NaN,NaN,18.942,0.122
58736.293,NaN,NaN,18.902,0.129
58736.297,NaN,NaN,18.964,0.148
58736.302,NaN,NaN,18.959,0.174
58736.312,NaN,NaN,18.971,0.172
58740.354,NaN,NaN,18.770,0.218
58740.358,NaN,NaN,18.603,0.247
58740.363,NaN,NaN,18.825,0.275
58744.272,NaN,NaN,18.857,0.100
58744.274,NaN,NaN,18.613,0.088
58744.280,NaN,NaN,18.666,0.111
58744.290,NaN,NaN,18.829,0.140
58746.308,NaN,NaN,18.619,0.170
58746.314,NaN,NaN,18.774,0.129
58746.325,NaN,NaN,18.901,0.100
58748.323,NaN,NaN,18.954,0.103
58748.326,NaN,NaN,18.916,0.099
58748.331,NaN,NaN,18.876,0.102
58748.342,NaN,NaN,18.836,0.105
58752.244,19.299,0.145,NaN,NaN
58752.248,19.446,0.217,NaN,NaN
58752.253,19.083,0.155,NaN,NaN
58752.277,19.150,0.114,NaN,NaN
58754.260,NaN,NaN,19.105,0.130
58754.263,NaN,NaN,18.820,0.092
58754.270,NaN,NaN,18.916,0.105
58754.280,NaN,NaN,18.882,0.088
58756.289,19.441,0.171,NaN,NaN
58756.291,19.279,0.185,NaN,NaN
58756.292,19.112,0.137,NaN,NaN
58756.295,19.393,0.169,NaN,NaN
58756.298,19.098,0.129,NaN,NaN
58756.302,19.384,0.210,NaN,NaN
58756.308,19.264,0.151,NaN,NaN
58756.313,19.132,0.152,NaN,NaN
58758.231,NaN,NaN,18.867,0.106
58758.235,NaN,NaN,18.892,0.089
58758.241,NaN,NaN,19.231,0.126
58758.251,NaN,NaN,18.954,0.085
58762.274,NaN,NaN,18.819,0.111
58762.277,NaN,NaN,18.896,0.124
58762.282,NaN,NaN,18.805,0.109
58762.292,NaN,NaN,18.998,0.154
58764.285,NaN,NaN,19.000,0.176
58764.289,NaN,NaN,18.745,0.136
58764.294,NaN,NaN,18.960,0.157
58764.305,NaN,NaN,18.752,0.138
58770.259,NaN,NaN,19.170,0.273
58770.268,NaN,NaN,18.759,0.166
58770.279,NaN,NaN,19.137,0.287
58772.270,NaN,NaN,18.759,0.159
58772.273,NaN,NaN,18.978,0.250
58772.283,NaN,NaN,18.978,0.284
58772.286,NaN,NaN,18.509,0.174
58772.290,NaN,NaN,18.861,0.235
58774.200,NaN,NaN,18.637,0.168
58774.204,NaN,NaN,18.597,0.087
58774.210,NaN,NaN,18.782,0.085
58774.219,NaN,NaN,18.861,0.090
58778.273,NaN,NaN,19.058,0.138
58778.277,NaN,NaN,19.146,0.144
58778.283,NaN,NaN,18.951,0.135
58778.294,NaN,NaN,19.580,0.251
58780.252,19.321,0.178,NaN,NaN
58780.255,19.300,0.160,NaN,NaN
58780.260,19.189,0.126,NaN,NaN
58780.270,19.080,0.118,NaN,NaN
58788.210,NaN,NaN,18.893,0.133
58788.215,NaN,NaN,18.980,0.136
58788.219,NaN,NaN,19.006,0.146
58788.231,NaN,NaN,18.977,0.129
58802.199,NaN,NaN,19.025,0.159
58802.202,NaN,NaN,18.767,0.120
58802.208,NaN,NaN,19.433,0.187
58802.219,NaN,NaN,19.085,0.149
