MJD,c,c_err,o,o_err
58730.557,19.268,0.128,NaN,NaN
58730.560,19.030,0.097,NaN,NaN
58730.567,19.114,0.120,NaN,NaN
58730.579,19.108,0.095,NaN,NaN
58735.492,NaN,NaN,18.694,0.293
58735.495,NaN,NaN,18.436,0.174
58735.514,NaN,NaN,18.831,0.128
58736.528,NaN,NaN,18.564,0.142
58736.532,NaN,NaN,18.624,0.124
58736.538,NaN,NaN,18.878,0.134
58736.548,NaN,NaN,18.746,0.116
58750.444,18.233,0.080,NaN,NaN
58750.447,18.247,0.065,NaN,NaN
58750.457,18.233,0.065,NaN,NaN
58750.467,18.302,0.063,NaN,NaN
58752.555,NaN,NaN,18.371,0.056
58752.558,NaN,NaN,18.301,0.054
58752.568,NaN,NaN,18.383,0.052
58752.573,NaN,NaN,18.248,0.052
58756.483,NaN,NaN,18.370,0.060
58756.486,NaN,NaN,18.280,0.059
58756.492,NaN,NaN,18.245,0.051
58756.503,NaN,NaN,18.468,0.064
58762.490,18.447,0.064,NaN,NaN
58762.493,18.545,0.066,NaN,NaN
58762.500,18.528,0.063,NaN,NaN
58762.514,18.572,0.069,NaN,NaN
58764.472,NaN,NaN,18.203,0.076
58764.475,NaN,NaN,18.397,0.077
58764.482,NaN,NaN,18.384,0.084
58764.493,NaN,NaN,18.452,0.070
58768.465,NaN,NaN,17.987,0.148
58768.473,NaN,NaN,18.377,0.189
58768.476,NaN,NaN,18.422,0.240
58768.477,NaN,NaN,18.708,0.252
58768.483,NaN,NaN,18.275,0.160
58770.479,NaN,NaN,18.408,0.237
58774.567,NaN,NaN,18.351,0.103
58774.568,NaN,NaN,18.479,0.182
58774.570,NaN,NaN,18.503,0.147
58774.571,NaN,NaN,18.315,0.133
58774.576,NaN,NaN,18.616,0.129
58774.593,NaN,NaN,18.969,0.224
58778.467,NaN,NaN,18.382,0.075
58778.470,NaN,NaN,18.592,0.090
58778.475,NaN,NaN,18.536,0.096
58778.486,NaN,NaN,18.573,0.100
58780.512,NaN,NaN,18.533,0.061
58780.516,NaN,NaN,18.519,0.071
58780.523,NaN,NaN,18.551,0.079
58780.537,NaN,NaN,18.573,0.075
58782.532,18.951,0.110,NaN,NaN
58782.535,18.751,0.101,NaN,NaN
58782.541,18.758,0.098,NaN,NaN
58782.554,18.788,0.156,NaN,NaN
58784.451,NaN,NaN,18.779,0.083
58784.455,NaN,NaN,18.549,0.082
58784.461,NaN,NaN,18.879,0.111
58784.471,NaN,NaN,18.491,0.078
58788.470,NaN,NaN,19.217,0.293
58788.479,NaN,NaN,18.502,0.130
58790.420,19.042,0.108,NaN,NaN
58790.423,18.846,0.107,NaN,NaN
58790.429,19.008,0.107,NaN,NaN
58790.439,19.022,0.093,NaN,NaN
58792.483,NaN,NaN,18.775,0.100
58792.486,NaN,NaN,18.714,0.082
58792.493,NaN,NaN,18.778,0.082
58792.508,NaN,NaN,18.729,0.100
58794.390,NaN,NaN,18.776,0.130
58794.393,NaN,NaN,18.595,0.107
58794.400,NaN,NaN,18.981,0.139
58794.411,NaN,NaN,18.825,0.127
58795.453,NaN,NaN,18.873,0.151
58795.456,NaN,NaN,18.779,0.130
58795.461,NaN,NaN,18.762,0.122
58795.472,NaN,NaN,18.952,0.142
58796.388,NaN,NaN,18.888,0.154
58796.391,NaN,NaN,18.897,0.188
58796.397,NaN,NaN,18.572,0.119
58796.411,NaN,NaN,19.107,0.165
58798.399,NaN,NaN,18.396,0.211
58798.403,NaN,NaN,18.955,0.280
58798.410,NaN,NaN,19.046,0.250
58798.420,NaN,NaN,19.033,0.250
58808.455,NaN,NaN,18.991,0.117
58808.459,NaN,NaN,18.946,0.104
58808.466,NaN,NaN,19.030,0.093
58808.476,NaN,NaN,18.970,0.095
58812.366,NaN,NaN,19.271,0.161
58812.369,NaN,NaN,18.960,0.133
58812.382,NaN,NaN,18.978,0.124
58812.389,NaN,NaN,19.209,0.140
58814.424,19.217,0.267,NaN,NaN
58814.430,19.515,0.197,NaN,NaN
58815.418,NaN,NaN,19.194,0.108
58815.422,NaN,NaN,19.567,0.151
58815.427,NaN,NaN,19.304,0.125
58815.442,NaN,NaN,19.264,0.107
58816.425,NaN,NaN,19.010,0.123
58816.427,NaN,NaN,19.433,0.188
58816.433,NaN,NaN,19.125,0.138
58816.447,NaN,NaN,19.243,0.141
58820.453,NaN,NaN,19.064,0.124
58820.456,NaN,NaN,19.036,0.148
58820.462,NaN,NaN,19.198,0.175
58820.473,NaN,NaN,19.319,0.113
58822.385,NaN,NaN,19.317,0.267
58822.395,NaN,NaN,19.195,0.158
58822.401,NaN,NaN,19.427,0.209
58824.293,NaN,NaN,19.400,0.241
58832.431,NaN,NaN,19.741,0.295
58832.438,NaN,NaN,19.607,0.274
58833.421,NaN,NaN,19.342,0.194
58833.432,NaN,NaN,19.800,0.296
58868.325,NaN,NaN,19.453,0.290
58868.335,NaN,NaN,19.049,0.246
