MJD,c,c_err,o,o_err
58733.288,NaN,NaN,16.904,0.057
58737.320,NaN,NaN,16.884,0.031
58737.323,NaN,NaN,16.848,0.030
58737.329,NaN,NaN,16.876,0.037
58737.339,NaN,NaN,16.881,0.032
58743.298,NaN,NaN,16.677,0.021
58743.302,NaN,NaN,16.726,0.020
58743.307,NaN,NaN,16.767,0.021
58743.322,NaN,NaN,16.722,0.031
58745.311,NaN,NaN,16.723,0.020
58745.314,NaN,NaN,16.721,0.019
58745.320,NaN,NaN,16.749,0.018
58745.330,NaN,NaN,16.706,0.020
58751.259,17.049,0.023,NaN,NaN
58751.268,16.981,0.022,NaN,NaN
58751.280,16.955,0.020,NaN,NaN
58755.289,17.014,0.024,NaN,NaN
58755.292,16.968,0.026,NaN,NaN
58755.298,17.018,0.026,NaN,NaN
58755.308,17.034,0.030,NaN,NaN
58757.273,NaN,NaN,16.726,0.018
58757.283,NaN,NaN,16.728,0.019
58761.292,NaN,NaN,16.712,0.021
58761.296,NaN,NaN,16.759,0.025
58761.303,NaN,NaN,16.764,0.025
58761.322,NaN,NaN,16.726,0.024
58765.202,NaN,NaN,16.643,0.029
58765.206,NaN,NaN,16.678,0.024
58765.224,NaN,NaN,16.693,0.020
58769.271,NaN,NaN,16.701,0.034
58769.276,NaN,NaN,16.728,0.034
58769.280,NaN,NaN,16.753,0.032
58769.290,NaN,NaN,16.704,0.034
58771.282,NaN,NaN,16.746,0.034
58771.286,NaN,NaN,16.773,0.036
58771.293,NaN,NaN,16.656,0.030
58771.305,NaN,NaN,16.741,0.038
58773.197,NaN,NaN,16.741,0.034
58773.201,NaN,NaN,16.729,0.027
58773.213,NaN,NaN,16.720,0.020
58773.221,NaN,NaN,16.712,0.017
58775.198,17.109,0.049,NaN,NaN
58775.201,17.162,0.039,NaN,NaN
58777.269,NaN,NaN,16.697,0.017
58777.272,NaN,NaN,16.776,0.019
58777.277,NaN,NaN,16.763,0.019
58777.287,NaN,NaN,16.752,0.020
58779.233,17.152,0.027,NaN,NaN
58779.236,17.153,0.024,NaN,NaN
58779.243,17.106,0.023,NaN,NaN
58779.254,17.135,0.025,NaN,NaN
58785.249,NaN,NaN,16.724,0.021
58785.252,NaN,NaN,16.715,0.020
58785.258,NaN,NaN,16.780,0.023
58785.268,NaN,NaN,16.741,0.024
58787.238,NaN,NaN,16.719,0.023
58787.241,NaN,NaN,16.728,0.021
58787.247,NaN,NaN,16.783,0.023
58787.252,NaN,NaN,16.713,0.024
