MJD,c,c_err,o,o_err
58758.576,NaN,NaN,18.864,0.113
58758.580,NaN,NaN,18.753,0.106
58758.587,NaN,NaN,18.741,0.101
58758.599,NaN,NaN,18.719,0.086
58770.599,NaN,NaN,18.498,0.105
58770.603,NaN,NaN,19.061,0.218
58770.608,NaN,NaN,19.020,0.154
58770.621,NaN,NaN,18.588,0.131
58774.510,NaN,NaN,19.048,0.231
58774.513,NaN,NaN,18.568,0.145
58774.530,NaN,NaN,18.701,0.150
58778.578,NaN,NaN,18.610,0.101
58778.583,NaN,NaN,18.763,0.121
58778.586,NaN,NaN,19.061,0.154
58778.597,NaN,NaN,19.348,0.177
58778.646,NaN,NaN,18.801,0.191
58780.570,NaN,NaN,19.403,0.201
58780.573,NaN,NaN,18.861,0.112
58780.578,NaN,NaN,18.969,0.156
58780.589,NaN,NaN,18.797,0.117
58784.559,19.277,0.176,NaN,NaN
58784.561,19.548,0.202,NaN,NaN
58784.567,19.528,0.204,NaN,NaN
58788.568,19.665,0.177,NaN,NaN
58788.571,19.644,0.164,NaN,NaN
58788.585,19.594,0.192,NaN,NaN
58788.591,19.359,0.140,NaN,NaN
58788.649,19.388,0.207,NaN,NaN
58790.500,NaN,NaN,19.122,0.129
58790.503,NaN,NaN,19.067,0.146
58790.509,NaN,NaN,19.101,0.130
58790.519,NaN,NaN,19.349,0.176
58792.493,19.427,0.171,NaN,NaN
58792.498,19.454,0.177,NaN,NaN
58792.501,19.758,0.269,NaN,NaN
58792.512,19.139,0.110,NaN,NaN
58794.608,NaN,NaN,19.133,0.110
58794.614,NaN,NaN,19.167,0.111
58794.617,NaN,NaN,19.263,0.113
58794.630,NaN,NaN,18.997,0.101
58796.532,NaN,NaN,19.373,0.232
58796.535,NaN,NaN,18.824,0.158
58796.541,NaN,NaN,19.269,0.242
58796.552,NaN,NaN,18.843,0.137
58798.439,NaN,NaN,19.129,0.299
58798.462,NaN,NaN,19.101,0.293
58801.583,NaN,NaN,19.076,0.237
58801.592,NaN,NaN,19.193,0.226
58801.595,NaN,NaN,19.217,0.251
58801.606,NaN,NaN,19.682,0.282
58802.524,NaN,NaN,18.791,0.184
58802.528,NaN,NaN,19.127,0.226
58802.535,NaN,NaN,18.976,0.192
58802.546,NaN,NaN,19.082,0.226
58816.502,20.154,0.289,NaN,NaN
58816.505,19.391,0.177,NaN,NaN
58816.513,19.334,0.163,NaN,NaN
58816.525,19.608,0.164,NaN,NaN
58818.658,NaN,NaN,19.556,0.288
58820.574,NaN,NaN,19.262,0.115
58820.577,NaN,NaN,19.209,0.112
58820.584,NaN,NaN,19.340,0.159
58820.594,NaN,NaN,19.448,0.114
58822.460,NaN,NaN,19.107,0.216
58822.470,NaN,NaN,19.165,0.161
58824.508,NaN,NaN,19.814,0.243
58824.512,NaN,NaN,19.410,0.161
58824.518,NaN,NaN,19.218,0.153
58824.530,NaN,NaN,19.441,0.160
58826.517,NaN,NaN,19.491,0.175
58826.523,NaN,NaN,19.692,0.226
58826.533,NaN,NaN,19.625,0.243
58827.537,NaN,NaN,19.640,0.261
58827.548,NaN,NaN,19.443,0.237
58827.560,NaN,NaN,19.186,0.214
58827.563,NaN,NaN,19.434,0.258
58828.508,NaN,NaN,18.931,0.200
58828.512,NaN,NaN,19.353,0.291
58828.533,NaN,NaN,18.962,0.229
58836.530,NaN,NaN,19.305,0.149
58836.535,NaN,NaN,19.275,0.164
58836.539,NaN,NaN,19.568,0.185
58836.554,NaN,NaN,19.271,0.138
58838.470,NaN,NaN,19.269,0.245
58838.476,NaN,NaN,19.295,0.275
58838.487,NaN,NaN,19.425,0.249
58844.624,19.725,0.160,NaN,NaN
58844.634,19.570,0.169,NaN,NaN
58844.648,19.911,0.180,NaN,NaN
58846.485,NaN,NaN,19.440,0.132
58846.488,NaN,NaN,19.436,0.123
58846.494,NaN,NaN,19.821,0.221
58846.504,NaN,NaN,19.475,0.149
58850.470,NaN,NaN,19.423,0.147
58850.472,NaN,NaN,19.477,0.143
58850.493,NaN,NaN,19.478,0.128
58850.501,NaN,NaN,19.375,0.138
58866.480,NaN,NaN,19.731,0.257
58866.489,NaN,NaN,19.611,0.235
58866.499,NaN,NaN,19.873,0.260
58868.395,19.751,0.199,NaN,NaN
58870.418,NaN,NaN,19.666,0.192
58870.426,NaN,NaN,19.973,0.245
58872.435,20.255,0.291,NaN,NaN
58872.438,20.022,0.246,NaN,NaN
58872.464,20.078,0.253,NaN,NaN
58874.460,NaN,NaN,19.602,0.152
58874.463,NaN,NaN,20.028,0.207
58874.470,NaN,NaN,19.715,0.140
58874.482,NaN,NaN,19.767,0.165
58874.526,NaN,NaN,19.534,0.137
58874.526,NaN,NaN,19.701,0.161
58874.527,NaN,NaN,19.729,0.193
58874.527,NaN,NaN,19.723,0.183
58874.527,NaN,NaN,19.947,0.229
58874.530,20.293,0.273,NaN,NaN
58874.531,19.847,0.181,NaN,NaN
58874.531,19.876,0.210,NaN,NaN
58874.532,20.309,0.286,NaN,NaN
58874.532,19.986,0.212,NaN,NaN
58878.434,NaN,NaN,19.557,0.163
58878.439,NaN,NaN,19.863,0.267
58878.456,NaN,NaN,20.284,0.291
58882.470,NaN,NaN,19.806,0.258
58882.474,NaN,NaN,19.648,0.168
58882.480,NaN,NaN,19.929,0.244
58882.490,NaN,NaN,19.701,0.181
