MJD,c,c_err,o,o_err
58760.462,NaN,NaN,18.935,0.128
58760.465,NaN,NaN,18.547,0.082
58760.471,NaN,NaN,18.687,0.093
58760.481,NaN,NaN,18.727,0.099
58762.285,NaN,NaN,18.482,0.130
58762.298,NaN,NaN,18.656,0.131
58762.301,NaN,NaN,18.488,0.123
58762.309,NaN,NaN,18.613,0.130
58762.319,NaN,NaN,18.585,0.128
58763.370,NaN,NaN,18.672,0.148
58763.373,NaN,NaN,18.691,0.183
58763.379,NaN,NaN,18.530,0.111
58763.395,NaN,NaN,18.539,0.117
58764.348,NaN,NaN,18.806,0.212
58764.351,NaN,NaN,18.594,0.131
58764.358,NaN,NaN,18.491,0.142
58764.368,NaN,NaN,18.839,0.154
58772.409,NaN,NaN,18.984,0.180
58772.413,NaN,NaN,18.436,0.140
58772.419,NaN,NaN,18.776,0.158
58772.429,NaN,NaN,18.559,0.101
58774.388,NaN,NaN,18.670,0.126
58774.391,NaN,NaN,18.497,0.087
58774.399,NaN,NaN,18.446,0.099
58778.348,18.730,0.095,NaN,NaN
58778.351,18.738,0.095,NaN,NaN
58778.357,18.952,0.131,NaN,NaN
58778.368,19.027,0.150,NaN,NaN
58780.345,NaN,NaN,18.609,0.082
58780.349,NaN,NaN,18.621,0.091
58780.355,NaN,NaN,18.661,0.098
58780.367,NaN,NaN,18.947,0.106
58784.357,NaN,NaN,18.612,0.076
58784.363,NaN,NaN,18.589,0.081
58784.366,NaN,NaN,18.604,0.078
58784.378,NaN,NaN,18.529,0.081
58787.350,NaN,NaN,18.568,0.074
58787.353,NaN,NaN,18.612,0.064
58787.365,NaN,NaN,18.678,0.096
58787.371,NaN,NaN,18.820,0.109
58788.346,NaN,NaN,18.700,0.128
58788.350,NaN,NaN,18.618,0.102
58788.355,NaN,NaN,18.842,0.138
58788.365,NaN,NaN,18.677,0.144
58790.271,NaN,NaN,18.825,0.126
58790.275,NaN,NaN,18.537,0.085
58790.283,NaN,NaN,18.729,0.106
58790.296,NaN,NaN,18.944,0.129
58791.333,NaN,NaN,18.797,0.108
58791.336,NaN,NaN,18.758,0.137
58791.344,NaN,NaN,18.751,0.114
58791.356,NaN,NaN,18.660,0.097
58792.352,NaN,NaN,18.506,0.099
58792.356,NaN,NaN,18.823,0.110
58792.362,NaN,NaN,18.418,0.112
58792.372,NaN,NaN,18.643,0.114
58798.381,NaN,NaN,18.294,0.180
58798.385,NaN,NaN,18.437,0.172
58798.392,NaN,NaN,18.567,0.212
58799.344,NaN,NaN,18.706,0.167
58799.347,NaN,NaN,18.870,0.184
58799.352,NaN,NaN,18.617,0.146
58799.362,NaN,NaN,18.802,0.195
58800.382,NaN,NaN,18.788,0.177
58800.385,NaN,NaN,18.903,0.180
58800.391,NaN,NaN,18.709,0.129
58802.342,NaN,NaN,18.984,0.222
58802.346,NaN,NaN,18.793,0.131
58802.352,NaN,NaN,18.874,0.195
58802.362,NaN,NaN,18.615,0.174
58808.332,NaN,NaN,18.705,0.100
58808.335,NaN,NaN,18.873,0.130
58808.342,NaN,NaN,18.691,0.109
58808.352,NaN,NaN,18.653,0.107
58812.274,NaN,NaN,18.634,0.091
58812.278,NaN,NaN,18.767,0.106
58812.294,NaN,NaN,18.887,0.109
58814.289,19.064,0.130,NaN,NaN
58814.293,19.162,0.116,NaN,NaN
58814.299,19.426,0.175,NaN,NaN
58814.310,19.283,0.141,NaN,NaN
58816.295,NaN,NaN,18.642,0.088
58816.299,NaN,NaN,18.532,0.078
58816.304,NaN,NaN,18.739,0.112
58817.267,18.892,0.152,NaN,NaN
58817.271,19.100,0.129,NaN,NaN
58817.277,19.304,0.156,NaN,NaN
58817.288,19.465,0.181,NaN,NaN
58820.251,NaN,NaN,18.842,0.119
58820.271,NaN,NaN,18.850,0.111
58826.296,NaN,NaN,18.570,0.153
58826.303,NaN,NaN,18.636,0.174
58826.316,NaN,NaN,19.015,0.255
58826.318,NaN,NaN,18.604,0.185
58826.322,NaN,NaN,18.456,0.164
58826.328,NaN,NaN,18.770,0.239
58826.338,NaN,NaN,18.807,0.285
58828.248,NaN,NaN,18.768,0.150
58828.251,NaN,NaN,18.736,0.162
58828.256,NaN,NaN,18.564,0.140
58828.267,NaN,NaN,18.683,0.139
58830.256,NaN,NaN,18.424,0.152
58830.259,NaN,NaN,18.650,0.180
58830.265,NaN,NaN,18.740,0.198
58830.265,NaN,NaN,18.771,0.232
58830.277,NaN,NaN,18.468,0.123
58830.284,NaN,NaN,18.774,0.246
58832.283,NaN,NaN,18.894,0.185
58832.287,NaN,NaN,18.814,0.202
58832.293,NaN,NaN,18.638,0.130
58832.303,NaN,NaN,18.811,0.176
58836.248,NaN,NaN,18.810,0.104
58836.251,NaN,NaN,18.946,0.122
58836.257,NaN,NaN,18.564,0.088
58836.267,NaN,NaN,18.694,0.086
58844.239,NaN,NaN,18.988,0.147
58844.242,NaN,NaN,18.972,0.133
58844.248,NaN,NaN,18.866,0.145
58844.258,NaN,NaN,19.039,0.156
58846.223,19.872,0.263,NaN,NaN
58846.226,19.512,0.177,NaN,NaN
58846.231,19.437,0.155,NaN,NaN
58846.244,19.419,0.165,NaN,NaN
58852.230,NaN,NaN,18.911,0.133
58852.233,NaN,NaN,18.952,0.157
58852.238,NaN,NaN,19.064,0.187
58852.249,NaN,NaN,19.522,0.273
58872.224,NaN,NaN,19.584,0.280
