MJD,c,c_err,o,o_err
58765.582,NaN,NaN,18.848,0.158
58765.585,NaN,NaN,18.463,0.092
58765.592,NaN,NaN,18.609,0.134
58765.602,NaN,NaN,18.769,0.131
58769.626,NaN,NaN,19.339,0.299
58769.630,NaN,NaN,19.025,0.237
58769.636,NaN,NaN,18.789,0.165
58769.641,NaN,NaN,18.676,0.228
58771.627,NaN,NaN,19.046,0.202
58771.631,NaN,NaN,18.876,0.154
58771.636,NaN,NaN,18.680,0.149
58771.641,NaN,NaN,18.401,0.139
58773.584,NaN,NaN,18.742,0.134
58773.587,NaN,NaN,19.096,0.224
58773.593,NaN,NaN,18.710,0.135
58773.604,NaN,NaN,18.742,0.160
58773.645,NaN,NaN,18.335,0.187
58777.628,NaN,NaN,18.902,0.209
58777.632,NaN,NaN,18.460,0.149
58777.636,NaN,NaN,18.912,0.164
58777.639,NaN,NaN,18.667,0.164
58781.613,NaN,NaN,18.884,0.121
58781.616,NaN,NaN,18.920,0.104
58781.621,NaN,NaN,18.701,0.088
58781.631,NaN,NaN,18.790,0.114
58781.647,NaN,NaN,18.926,0.146
58783.579,19.031,0.130,NaN,NaN
58783.584,18.932,0.105,NaN,NaN
58783.588,19.017,0.118,NaN,NaN
58783.602,18.781,0.102,NaN,NaN
58785.644,NaN,NaN,18.649,0.199
58787.588,19.124,0.130,NaN,NaN
58787.602,19.269,0.252,NaN,NaN
58789.513,NaN,NaN,18.961,0.159
58789.517,NaN,NaN,19.097,0.184
58789.527,NaN,NaN,19.095,0.167
58789.537,NaN,NaN,18.919,0.117
58791.575,19.232,0.163,NaN,NaN
58791.581,19.606,0.215,NaN,NaN
58795.588,19.130,0.127,NaN,NaN
58795.597,19.356,0.180,NaN,NaN
58795.600,19.588,0.196,NaN,NaN
58795.614,19.214,0.137,NaN,NaN
58797.493,NaN,NaN,18.783,0.205
58797.497,NaN,NaN,18.809,0.225
58797.512,NaN,NaN,18.703,0.182
58799.487,NaN,NaN,18.524,0.211
58799.496,NaN,NaN,18.615,0.264
58801.539,NaN,NaN,18.876,0.155
58801.543,NaN,NaN,18.770,0.150
58801.548,NaN,NaN,18.842,0.141
58801.558,NaN,NaN,18.978,0.203
58813.431,NaN,NaN,19.027,0.204
58813.443,NaN,NaN,19.423,0.245
58813.454,NaN,NaN,18.722,0.123
58815.548,19.507,0.168,NaN,NaN
58815.551,19.281,0.200,NaN,NaN
58815.560,19.379,0.172,NaN,NaN
58815.573,19.618,0.263,NaN,NaN
58821.472,NaN,NaN,19.050,0.136
58821.475,NaN,NaN,19.220,0.126
58821.493,NaN,NaN,19.033,0.124
58821.499,NaN,NaN,18.795,0.101
58825.528,NaN,NaN,18.968,0.110
58825.532,NaN,NaN,19.121,0.137
58825.539,NaN,NaN,19.209,0.138
58825.550,NaN,NaN,18.981,0.111
58827.506,NaN,NaN,19.507,0.297
58827.509,NaN,NaN,19.037,0.187
58827.519,NaN,NaN,18.929,0.136
58827.527,NaN,NaN,18.959,0.165
58829.474,NaN,NaN,18.912,0.228
58829.479,NaN,NaN,18.808,0.223
58829.490,NaN,NaN,18.685,0.164
58837.536,NaN,NaN,19.131,0.135
58837.539,NaN,NaN,18.782,0.101
58837.547,NaN,NaN,19.016,0.132
58837.565,NaN,NaN,19.087,0.153
58841.561,NaN,NaN,19.149,0.125
58841.565,NaN,NaN,19.225,0.124
58841.586,NaN,NaN,18.995,0.105
58841.597,NaN,NaN,19.160,0.116
58845.510,NaN,NaN,19.009,0.114
58845.516,NaN,NaN,19.212,0.129
58845.520,NaN,NaN,19.295,0.133
58845.533,NaN,NaN,18.882,0.083
58849.540,NaN,NaN,19.368,0.124
58849.543,NaN,NaN,19.390,0.129
58849.549,NaN,NaN,19.171,0.104
58849.565,NaN,NaN,19.188,0.122
58869.444,NaN,NaN,20.077,0.252
58869.451,NaN,NaN,19.567,0.149
58869.461,NaN,NaN,19.825,0.233
58873.510,NaN,NaN,19.657,0.253
58873.516,NaN,NaN,19.630,0.247
58873.529,NaN,NaN,19.850,0.249
58873.532,NaN,NaN,19.508,0.272
58877.419,NaN,NaN,19.717,0.209
58877.424,NaN,NaN,19.420,0.174
58879.357,NaN,NaN,19.520,0.192
