MJD,c,c_err,o,o_err
58758.469,NaN,NaN,19.682,0.169
58758.472,NaN,NaN,19.596,0.152
58758.479,NaN,NaN,19.447,0.144
58758.490,NaN,NaN,19.338,0.129
58762.480,NaN,NaN,18.586,0.076
58762.483,NaN,NaN,18.581,0.061
58762.493,NaN,NaN,18.730,0.082
58762.500,NaN,NaN,18.549,0.062
58764.474,NaN,NaN,18.832,0.127
58764.478,NaN,NaN,18.591,0.098
58764.488,NaN,NaN,18.461,0.099
58764.493,NaN,NaN,18.506,0.086
58764.502,NaN,NaN,18.686,0.095
58770.450,NaN,NaN,18.493,0.165
58770.454,NaN,NaN,18.373,0.104
58770.456,NaN,NaN,19.150,0.256
58770.460,NaN,NaN,18.983,0.239
58770.461,NaN,NaN,18.632,0.187
58770.465,NaN,NaN,18.553,0.153
58770.471,NaN,NaN,18.657,0.206
58770.475,NaN,NaN,18.452,0.176
58772.532,NaN,NaN,18.213,0.199
58774.439,NaN,NaN,18.804,0.136
58774.442,NaN,NaN,18.832,0.151
58774.449,NaN,NaN,19.021,0.212
58774.452,NaN,NaN,18.798,0.142
58774.455,NaN,NaN,18.899,0.187
58774.459,NaN,NaN,18.712,0.138
58774.461,NaN,NaN,18.958,0.183
58774.472,NaN,NaN,18.447,0.107
58778.455,NaN,NaN,18.824,0.101
58778.458,NaN,NaN,18.872,0.104
58778.464,NaN,NaN,19.199,0.143
58778.481,NaN,NaN,18.969,0.128
58780.440,19.383,0.141,NaN,NaN
58780.443,19.379,0.128,NaN,NaN
58780.448,19.372,0.133,NaN,NaN
58780.458,19.098,0.114,NaN,NaN
58782.461,NaN,NaN,18.672,0.144
58782.464,NaN,NaN,18.855,0.260
58782.470,NaN,NaN,19.101,0.250
58784.441,19.395,0.144,NaN,NaN
58784.444,19.291,0.126,NaN,NaN
58784.449,19.343,0.121,NaN,NaN
58784.460,19.619,0.176,NaN,NaN
58788.426,19.363,0.168,NaN,NaN
58788.429,19.447,0.162,NaN,NaN
58788.436,19.723,0.189,NaN,NaN
58788.447,19.772,0.173,NaN,NaN
58790.346,NaN,NaN,19.501,0.209
58790.349,NaN,NaN,18.730,0.127
58790.357,NaN,NaN,18.977,0.108
58790.373,NaN,NaN,19.012,0.130
58792.409,NaN,NaN,19.333,0.142
58792.412,NaN,NaN,19.016,0.115
58792.419,NaN,NaN,19.067,0.117
58792.432,NaN,NaN,19.288,0.201
58794.464,NaN,NaN,19.212,0.132
58794.467,NaN,NaN,19.336,0.180
58794.473,NaN,NaN,19.010,0.125
58794.486,NaN,NaN,19.193,0.172
58796.410,NaN,NaN,18.600,0.185
58796.413,NaN,NaN,18.919,0.155
58796.430,NaN,NaN,19.076,0.168
58798.420,NaN,NaN,18.619,0.181
58800.415,NaN,NaN,18.808,0.225
58802.439,NaN,NaN,19.227,0.205
58802.442,NaN,NaN,18.996,0.175
58802.448,NaN,NaN,19.377,0.223
58802.459,NaN,NaN,19.242,0.230
58804.386,NaN,NaN,19.097,0.158
58804.389,NaN,NaN,19.416,0.261
58804.395,NaN,NaN,18.933,0.120
58804.409,NaN,NaN,19.292,0.190
58808.467,19.867,0.187,NaN,NaN
58808.470,19.802,0.201,NaN,NaN
58808.478,20.230,0.263,NaN,NaN
58808.490,19.576,0.204,NaN,NaN
58814.368,NaN,NaN,19.875,0.190
58814.371,NaN,NaN,19.486,0.169
58814.377,NaN,NaN,19.489,0.167
58814.388,NaN,NaN,19.972,0.231
58816.341,19.792,0.217,NaN,NaN
58816.364,20.399,0.295,NaN,NaN
58820.437,NaN,NaN,19.886,0.291
58820.440,NaN,NaN,20.131,0.270
58820.446,NaN,NaN,19.961,0.225
58824.387,NaN,NaN,19.589,0.250
58836.299,NaN,NaN,20.208,0.265
58846.279,NaN,NaN,20.012,0.212
58850.368,NaN,NaN,19.658,0.235
