MJD,c,c_err,o,o_err
58773.410,NaN,NaN,19.382,0.229
58773.413,NaN,NaN,19.550,0.227
58773.420,NaN,NaN,19.680,0.297
58773.434,NaN,NaN,19.079,0.152
58774.357,NaN,NaN,19.387,0.165
58774.360,NaN,NaN,19.318,0.188
58774.366,NaN,NaN,19.489,0.194
58774.377,NaN,NaN,19.133,0.141
58775.347,NaN,NaN,19.329,0.163
58775.350,NaN,NaN,19.291,0.179
58775.375,NaN,NaN,18.969,0.133
58777.421,NaN,NaN,19.053,0.246
58777.424,NaN,NaN,18.884,0.177
58777.431,NaN,NaN,19.335,0.275
58777.445,NaN,NaN,19.081,0.163
58778.380,NaN,NaN,19.176,0.141
58778.383,NaN,NaN,18.960,0.104
58778.388,NaN,NaN,18.986,0.103
58778.398,NaN,NaN,18.906,0.097
58780.208,19.002,0.124,NaN,NaN
58780.211,18.856,0.106,NaN,NaN
58780.220,19.041,0.133,NaN,NaN
58780.235,19.140,0.122,NaN,NaN
58782.382,NaN,NaN,19.131,0.207
58782.386,NaN,NaN,18.834,0.132
58782.392,NaN,NaN,19.333,0.212
58782.404,NaN,NaN,18.915,0.148
58784.361,19.110,0.137,NaN,NaN
58784.365,19.121,0.122,NaN,NaN
58784.372,19.373,0.146,NaN,NaN
58784.383,19.180,0.129,NaN,NaN
58785.324,NaN,NaN,19.042,0.122
58785.329,NaN,NaN,19.258,0.166
58785.334,NaN,NaN,19.208,0.135
58785.348,NaN,NaN,18.969,0.093
58787.360,18.989,0.086,NaN,NaN
58787.364,19.127,0.102,NaN,NaN
58787.374,18.800,0.085,NaN,NaN
58787.380,19.014,0.092,NaN,NaN
58789.321,NaN,NaN,18.860,0.112
58789.324,NaN,NaN,18.939,0.118
58789.336,NaN,NaN,18.995,0.107
58789.343,NaN,NaN,18.839,0.096
58791.382,NaN,NaN,18.882,0.100
58791.392,NaN,NaN,19.096,0.159
58791.395,NaN,NaN,18.977,0.126
58791.404,NaN,NaN,18.991,0.119
58792.314,NaN,NaN,18.800,0.110
58792.317,NaN,NaN,18.840,0.098
58792.323,NaN,NaN,18.776,0.116
58792.334,NaN,NaN,18.769,0.100
58794.396,NaN,NaN,18.674,0.129
58794.399,NaN,NaN,18.549,0.109
58794.405,NaN,NaN,18.921,0.152
58794.417,NaN,NaN,18.966,0.220
58795.195,NaN,NaN,18.795,0.225
58795.199,NaN,NaN,18.702,0.156
58796.195,NaN,NaN,18.667,0.178
58796.205,NaN,NaN,18.633,0.157
58797.330,NaN,NaN,18.956,0.182
58797.334,NaN,NaN,19.336,0.257
58797.343,NaN,NaN,18.828,0.171
58798.329,NaN,NaN,18.685,0.152
58798.333,NaN,NaN,19.208,0.249
58798.338,NaN,NaN,18.816,0.180
58798.348,NaN,NaN,19.174,0.247
58799.358,NaN,NaN,19.146,0.285
58799.374,NaN,NaN,18.928,0.229
58799.378,NaN,NaN,18.771,0.194
58799.386,NaN,NaN,18.494,0.171
58800.326,NaN,NaN,18.979,0.264
58800.329,NaN,NaN,18.707,0.240
58800.335,NaN,NaN,18.830,0.180
58800.346,NaN,NaN,18.916,0.204
58801.426,NaN,NaN,18.903,0.163
58801.430,NaN,NaN,18.720,0.150
58801.435,NaN,NaN,19.155,0.250
58802.194,NaN,NaN,19.015,0.149
58802.204,NaN,NaN,18.811,0.100
58804.195,18.972,0.133,NaN,NaN
58804.206,19.290,0.120,NaN,NaN
58804.320,19.134,0.108,NaN,NaN
58808.296,19.232,0.131,NaN,NaN
