MJD,c,c_err,o,o_err
58773.378,NaN,NaN,19.207,0.236
58775.353,NaN,NaN,17.940,0.056
58775.370,NaN,NaN,18.033,0.072
58775.374,NaN,NaN,18.069,0.070
58775.386,NaN,NaN,17.943,0.062
58777.385,NaN,NaN,17.671,0.089
58777.389,NaN,NaN,17.606,0.086
58779.436,17.829,0.038,NaN,NaN
58779.439,17.811,0.039,NaN,NaN
58779.448,17.848,0.040,NaN,NaN
58779.459,17.854,0.042,NaN,NaN
58781.326,NaN,NaN,17.733,0.035
58781.331,NaN,NaN,17.685,0.037
58781.335,NaN,NaN,17.651,0.036
58781.346,NaN,NaN,17.732,0.040
58783.310,17.861,0.039,NaN,NaN
58783.314,17.860,0.040,NaN,NaN
58783.321,17.846,0.038,NaN,NaN
58783.332,17.819,0.038,NaN,NaN
58785.322,NaN,NaN,17.639,0.041
58785.326,NaN,NaN,17.658,0.052
58785.335,NaN,NaN,17.578,0.038
58785.342,NaN,NaN,17.600,0.038
58787.346,17.811,0.043,NaN,NaN
58787.349,17.781,0.037,NaN,NaN
58787.358,17.863,0.043,NaN,NaN
58787.361,17.856,0.042,NaN,NaN
58787.365,17.784,0.039,NaN,NaN
58787.371,17.953,0.059,NaN,NaN
58787.382,17.988,0.065,NaN,NaN
58789.214,NaN,NaN,17.572,0.036
58789.228,NaN,NaN,17.492,0.034
58789.253,NaN,NaN,17.568,0.033
58789.254,NaN,NaN,17.592,0.032
58791.285,NaN,NaN,17.599,0.052
58791.292,NaN,NaN,17.462,0.042
58791.307,NaN,NaN,17.543,0.043
58791.311,NaN,NaN,17.625,0.051
58791.371,NaN,NaN,17.540,0.043
58791.375,NaN,NaN,17.625,0.043
58791.383,NaN,NaN,17.569,0.054
58798.363,NaN,NaN,17.449,0.051
58798.368,NaN,NaN,17.530,0.060
58798.380,NaN,NaN,17.465,0.068
58798.389,NaN,NaN,17.510,0.092
58799.360,NaN,NaN,17.629,0.064
58799.377,NaN,NaN,17.527,0.059
58799.381,NaN,NaN,17.747,0.077
58799.388,NaN,NaN,17.476,0.071
58800.385,NaN,NaN,17.580,0.056
58800.388,NaN,NaN,17.539,0.052
58800.394,NaN,NaN,17.630,0.058
58800.404,NaN,NaN,17.508,0.060
58809.308,NaN,NaN,17.560,0.109
58809.353,NaN,NaN,17.849,0.146
58813.259,NaN,NaN,17.720,0.038
58813.262,NaN,NaN,17.739,0.036
58813.271,NaN,NaN,17.651,0.037
58813.289,NaN,NaN,17.758,0.038
58815.299,18.340,0.047,NaN,NaN
58815.302,18.283,0.058,NaN,NaN
58815.316,18.285,0.052,NaN,NaN
58815.322,18.321,0.049,NaN,NaN
58817.330,NaN,NaN,17.617,0.110
58817.335,NaN,NaN,17.544,0.109
58817.347,NaN,NaN,17.774,0.115
58821.281,NaN,NaN,17.962,0.104
58821.284,NaN,NaN,17.808,0.095
58821.295,NaN,NaN,17.726,0.043
58821.305,NaN,NaN,17.742,0.082
58825.291,NaN,NaN,17.942,0.079
58825.294,NaN,NaN,17.743,0.058
58825.301,NaN,NaN,17.721,0.066
58825.314,NaN,NaN,17.863,0.072
58827.309,NaN,NaN,17.881,0.084
58827.312,NaN,NaN,17.859,0.085
58827.318,NaN,NaN,17.905,0.082
58827.327,NaN,NaN,17.908,0.094
58828.247,NaN,NaN,17.670,0.055
58828.250,NaN,NaN,17.965,0.082
58828.255,NaN,NaN,17.874,0.068
58828.268,NaN,NaN,17.701,0.054
58829.283,NaN,NaN,17.841,0.071
58829.289,NaN,NaN,17.632,0.064
58829.293,NaN,NaN,17.843,0.072
58829.304,NaN,NaN,17.858,0.074
58833.292,NaN,NaN,17.781,0.040
58833.292,NaN,NaN,17.890,0.041
58833.295,NaN,NaN,17.892,0.040
58833.296,NaN,NaN,17.968,0.049
58833.302,NaN,NaN,17.890,0.044
58833.303,NaN,NaN,17.857,0.054
58833.313,NaN,NaN,17.869,0.045
58833.314,NaN,NaN,18.109,0.076
58837.271,NaN,NaN,17.831,0.040
58837.274,NaN,NaN,17.997,0.047
58837.280,NaN,NaN,17.889,0.043
58837.293,NaN,NaN,17.988,0.075
58841.250,NaN,NaN,17.887,0.036
58841.253,NaN,NaN,17.883,0.038
58841.258,NaN,NaN,17.982,0.043
58841.269,NaN,NaN,17.974,0.045
58845.208,NaN,NaN,18.019,0.048
58845.221,NaN,NaN,18.045,0.050
58845.228,NaN,NaN,18.027,0.042
58845.234,NaN,NaN,17.894,0.039
58857.252,NaN,NaN,18.018,0.087
58857.255,NaN,NaN,18.108,0.100
58857.262,NaN,NaN,18.008,0.088
58867.238,19.124,0.134,NaN,NaN
58867.241,19.233,0.136,NaN,NaN
58867.248,19.058,0.120,NaN,NaN
58867.258,19.215,0.150,NaN,NaN
58873.222,NaN,NaN,18.760,0.115
58873.225,NaN,NaN,18.660,0.096
58873.241,NaN,NaN,19.018,0.145
