MJD,c,c_err,o,o_err
58783.426,18.651,0.074,NaN,NaN
58783.432,18.857,0.078,NaN,NaN
58783.435,18.893,0.091,NaN,NaN
58783.446,18.915,0.083,NaN,NaN
58785.417,NaN,NaN,18.427,0.074
58785.420,NaN,NaN,18.285,0.063
58785.426,NaN,NaN,18.509,0.056
58785.438,NaN,NaN,18.522,0.080
58787.406,17.959,0.047,NaN,NaN
58787.412,18.059,0.049,NaN,NaN
58787.423,18.108,0.055,NaN,NaN
58787.426,18.068,0.053,NaN,NaN
58789.271,NaN,NaN,18.108,0.055
58789.277,NaN,NaN,18.057,0.043
58789.281,NaN,NaN,18.131,0.048
58789.292,NaN,NaN,18.108,0.049
58790.333,NaN,NaN,18.107,0.061
58790.336,NaN,NaN,18.097,0.063
58790.342,NaN,NaN,18.109,0.052
58790.352,NaN,NaN,17.994,0.052
58791.343,NaN,NaN,17.884,0.051
58791.346,NaN,NaN,17.963,0.060
58791.351,NaN,NaN,18.017,0.062
58791.364,NaN,NaN,17.964,0.057
58792.199,NaN,NaN,18.168,0.075
58792.206,NaN,NaN,17.993,0.054
58795.394,NaN,NaN,17.941,0.087
58795.397,NaN,NaN,18.177,0.080
58795.397,NaN,NaN,18.103,0.087
58795.403,NaN,NaN,18.028,0.140
58795.403,NaN,NaN,17.986,0.117
58795.409,NaN,NaN,18.161,0.105
58795.413,NaN,NaN,18.165,0.090
58795.423,NaN,NaN,18.017,0.152
58797.346,NaN,NaN,18.336,0.110
58797.349,NaN,NaN,18.248,0.104
58797.355,NaN,NaN,18.082,0.111
58797.366,NaN,NaN,18.164,0.117
58799.395,NaN,NaN,17.814,0.106
58799.405,NaN,NaN,18.039,0.147
58799.406,NaN,NaN,17.883,0.147
58799.408,NaN,NaN,18.221,0.154
58799.409,NaN,NaN,18.431,0.260
58799.413,NaN,NaN,18.173,0.120
58799.419,NaN,NaN,18.179,0.177
58799.430,NaN,NaN,17.975,0.161
58801.463,NaN,NaN,18.353,0.124
58801.466,NaN,NaN,18.216,0.122
58801.471,NaN,NaN,17.948,0.109
58801.481,NaN,NaN,18.666,0.214
58802.359,NaN,NaN,18.165,0.063
58802.362,NaN,NaN,18.069,0.068
58802.368,NaN,NaN,18.334,0.088
58802.379,NaN,NaN,18.149,0.087
58809.400,NaN,NaN,18.574,0.139
58813.291,NaN,NaN,18.447,0.060
58813.296,NaN,NaN,18.336,0.064
58813.301,NaN,NaN,18.560,0.077
58813.312,NaN,NaN,18.454,0.060
58815.324,18.834,0.074,NaN,NaN
58815.331,18.632,0.064,NaN,NaN
58815.341,18.878,0.071,NaN,NaN
58815.344,18.847,0.081,NaN,NaN
58817.322,NaN,NaN,18.575,0.128
58817.332,NaN,NaN,18.384,0.249
58817.343,NaN,NaN,18.642,0.173
58821.257,NaN,NaN,18.579,0.105
