MJD,c,c_err,o,o_err
58784.361,NaN,NaN,19.012,0.113
58784.365,NaN,NaN,18.846,0.108
58784.375,NaN,NaN,19.033,0.135
58784.382,NaN,NaN,18.883,0.125
58787.393,NaN,NaN,18.487,0.092
58787.396,NaN,NaN,18.759,0.088
58787.401,NaN,NaN,18.337,0.074
58787.411,NaN,NaN,18.573,0.093
58788.387,NaN,NaN,18.270,0.156
58790.283,NaN,NaN,18.536,0.081
58790.287,NaN,NaN,18.413,0.079
58790.295,NaN,NaN,18.496,0.089
58790.306,NaN,NaN,18.512,0.100
58791.347,NaN,NaN,18.261,0.087
58791.350,NaN,NaN,18.335,0.087
58791.362,NaN,NaN,18.258,0.075
58791.372,NaN,NaN,18.363,0.081
58792.371,NaN,NaN,18.363,0.082
58792.375,NaN,NaN,18.164,0.079
58792.380,NaN,NaN,18.394,0.083
58792.391,NaN,NaN,18.637,0.129
58800.410,NaN,NaN,18.395,0.130
58800.413,NaN,NaN,18.376,0.134
58800.420,NaN,NaN,18.674,0.183
58800.432,NaN,NaN,18.288,0.146
58802.379,NaN,NaN,18.494,0.101
58802.382,NaN,NaN,18.887,0.148
58802.387,NaN,NaN,18.664,0.136
58802.398,NaN,NaN,18.537,0.124
58808.347,NaN,NaN,18.674,0.086
58808.351,NaN,NaN,18.631,0.105
58808.357,NaN,NaN,18.819,0.097
58808.367,NaN,NaN,18.482,0.075
58812.299,NaN,NaN,18.626,0.075
58812.302,NaN,NaN,18.879,0.104
58812.308,NaN,NaN,18.632,0.088
58812.319,NaN,NaN,18.682,0.091
58814.315,18.923,0.091,NaN,NaN
58814.318,18.856,0.091,NaN,NaN
58814.323,18.784,0.132,NaN,NaN
58816.317,NaN,NaN,18.833,0.081
58816.320,NaN,NaN,18.903,0.090
58816.326,NaN,NaN,18.660,0.078
58816.336,NaN,NaN,18.736,0.082
58820.271,NaN,NaN,18.836,0.158
58828.273,NaN,NaN,18.698,0.163
58828.277,NaN,NaN,19.042,0.221
58828.283,NaN,NaN,18.817,0.175
58828.294,NaN,NaN,19.050,0.196
58830.279,NaN,NaN,18.934,0.200
58830.282,NaN,NaN,19.080,0.278
58832.295,NaN,NaN,18.884,0.158
58832.298,NaN,NaN,18.833,0.163
58832.304,NaN,NaN,19.137,0.194
58832.314,NaN,NaN,19.138,0.285
58833.237,NaN,NaN,18.971,0.182
58833.240,NaN,NaN,19.119,0.217
58836.260,NaN,NaN,19.139,0.159
58836.264,NaN,NaN,18.806,0.102
58836.269,NaN,NaN,18.872,0.102
58836.280,NaN,NaN,19.054,0.112
58844.252,NaN,NaN,19.271,0.166
58844.255,NaN,NaN,18.744,0.099
58844.260,NaN,NaN,18.925,0.112
58844.270,NaN,NaN,19.057,0.154
58846.246,19.677,0.186,NaN,NaN
58846.249,19.960,0.239,NaN,NaN
58846.254,19.696,0.198,NaN,NaN
58846.264,19.515,0.154,NaN,NaN
58852.262,NaN,NaN,19.338,0.215
58854.256,NaN,NaN,18.805,0.286
58868.226,NaN,NaN,19.667,0.233
58872.259,NaN,NaN,19.759,0.291
59061.539,NaN,NaN,19.757,0.246
