MJD,c,c_err,o,o_err
58801.464,NaN,NaN,17.979,0.094
58801.467,NaN,NaN,18.094,0.102
58801.473,NaN,NaN,18.189,0.122
58801.478,NaN,NaN,18.429,0.199
58801.485,NaN,NaN,17.920,0.079
58802.382,NaN,NaN,17.595,0.050
58802.383,NaN,NaN,17.886,0.118
58802.386,NaN,NaN,17.597,0.058
58802.392,NaN,NaN,17.631,0.050
58802.392,NaN,NaN,17.827,0.081
58802.402,NaN,NaN,17.651,0.061
58804.328,NaN,NaN,17.359,0.031
58804.331,NaN,NaN,17.380,0.035
58804.339,NaN,NaN,17.324,0.031
58804.349,NaN,NaN,17.372,0.030
58813.385,NaN,NaN,17.126,0.026
58813.390,NaN,NaN,17.116,0.028
58813.397,NaN,NaN,17.068,0.025
58813.408,NaN,NaN,17.101,0.026
58815.288,17.195,0.027,NaN,NaN
58815.306,17.189,0.023,NaN,NaN
58815.309,17.147,0.021,NaN,NaN
58815.319,17.156,0.023,NaN,NaN
58821.288,NaN,NaN,17.189,0.036
58821.291,NaN,NaN,17.141,0.031
58821.300,NaN,NaN,17.224,0.033
58821.311,NaN,NaN,17.119,0.051
58825.331,NaN,NaN,17.324,0.051
58825.333,NaN,NaN,17.226,0.042
58825.340,NaN,NaN,17.234,0.048
58825.358,NaN,NaN,17.242,0.047
58827.381,NaN,NaN,17.247,0.056
58827.384,NaN,NaN,17.283,0.054
58827.390,NaN,NaN,17.267,0.062
58827.401,NaN,NaN,17.254,0.059
58828.341,NaN,NaN,17.437,0.079
58828.344,NaN,NaN,17.322,0.061
58828.350,NaN,NaN,17.180,0.059
58828.360,NaN,NaN,17.478,0.065
58829.329,NaN,NaN,17.308,0.060
58829.332,NaN,NaN,17.317,0.056
58829.359,NaN,NaN,17.294,0.068
58829.366,NaN,NaN,17.330,0.074
58830.311,NaN,NaN,17.317,0.056
58830.314,NaN,NaN,17.244,0.067
58830.333,NaN,NaN,17.299,0.058
58833.348,NaN,NaN,17.380,0.039
58833.351,NaN,NaN,17.400,0.034
58833.357,NaN,NaN,17.338,0.034
58833.367,NaN,NaN,17.416,0.043
58837.319,NaN,NaN,17.459,0.031
58837.322,NaN,NaN,17.480,0.033
58837.330,NaN,NaN,17.412,0.034
58837.346,NaN,NaN,17.457,0.034
58841.288,NaN,NaN,17.488,0.028
58841.291,NaN,NaN,17.456,0.028
58841.296,NaN,NaN,17.497,0.030
58841.307,NaN,NaN,17.501,0.031
58845.281,NaN,NaN,17.569,0.028
58845.284,NaN,NaN,17.601,0.035
58845.297,NaN,NaN,17.611,0.034
58845.305,NaN,NaN,17.604,0.032
58867.277,18.722,0.077,NaN,NaN
58867.281,18.906,0.098,NaN,NaN
58867.287,18.800,0.098,NaN,NaN
58867.297,18.518,0.063,NaN,NaN
58869.228,NaN,NaN,18.208,0.056
58869.233,NaN,NaN,18.074,0.062
58869.236,NaN,NaN,18.220,0.061
58869.246,NaN,NaN,18.252,0.076
58871.220,18.839,0.100,NaN,NaN
58871.225,18.994,0.109,NaN,NaN
58871.231,18.635,0.086,NaN,NaN
58871.243,18.694,0.095,NaN,NaN
58873.251,NaN,NaN,18.240,0.060
58873.255,NaN,NaN,18.245,0.060
58873.260,NaN,NaN,18.285,0.077
58873.271,NaN,NaN,18.143,0.065
58875.272,18.897,0.130,NaN,NaN
58875.275,18.863,0.116,NaN,NaN
58875.281,18.984,0.134,NaN,NaN
58875.292,19.042,0.156,NaN,NaN
58876.260,NaN,NaN,18.159,0.072
58876.263,NaN,NaN,18.612,0.096
58876.267,NaN,NaN,18.375,0.081
58876.270,NaN,NaN,18.337,0.074
58877.212,NaN,NaN,18.496,0.266
58877.222,NaN,NaN,18.340,0.091
58881.249,NaN,NaN,18.553,0.129
58881.252,NaN,NaN,18.719,0.147
58881.257,NaN,NaN,18.223,0.097
58881.267,NaN,NaN,18.699,0.118
58883.254,NaN,NaN,18.967,0.298
58883.261,NaN,NaN,18.358,0.157
58883.269,NaN,NaN,18.777,0.256
58883.271,NaN,NaN,18.831,0.253
58883.288,NaN,NaN,18.359,0.185
58884.302,NaN,NaN,18.848,0.214
58884.312,NaN,NaN,18.905,0.257
