MJD,c,c_err,o,o_err
58814.655,NaN,NaN,18.021,0.077
58814.658,NaN,NaN,18.180,0.144
58816.643,18.114,0.059,NaN,NaN
58816.647,17.963,0.059,NaN,NaN
58816.653,17.984,0.068,NaN,NaN
58818.655,NaN,NaN,18.076,0.110
58818.659,NaN,NaN,18.162,0.091
58818.662,NaN,NaN,18.068,0.125
58822.588,NaN,NaN,18.377,0.088
58824.630,NaN,NaN,18.366,0.058
58824.633,NaN,NaN,18.338,0.061
58824.640,NaN,NaN,18.451,0.063
58824.652,NaN,NaN,18.361,0.057
58826.607,NaN,NaN,18.474,0.087
58826.612,NaN,NaN,18.411,0.068
58826.618,NaN,NaN,18.481,0.071
58826.631,NaN,NaN,18.529,0.066
58828.495,NaN,NaN,18.663,0.186
58828.499,NaN,NaN,18.363,0.134
58828.505,NaN,NaN,18.565,0.164
58828.515,NaN,NaN,18.582,0.185
58832.608,NaN,NaN,18.512,0.247
58832.629,NaN,NaN,18.500,0.231
58836.609,NaN,NaN,18.646,0.108
58836.620,NaN,NaN,18.526,0.092
58836.633,NaN,NaN,18.772,0.109
58846.626,NaN,NaN,18.637,0.100
58846.634,NaN,NaN,18.757,0.078
58846.637,NaN,NaN,18.626,0.079
58846.651,NaN,NaN,18.767,0.096
58850.582,NaN,NaN,18.612,0.083
58850.602,NaN,NaN,18.819,0.103
58850.605,NaN,NaN,18.734,0.099
58850.618,NaN,NaN,18.666,0.082
58866.506,NaN,NaN,18.796,0.113
58866.509,NaN,NaN,18.963,0.122
58866.515,NaN,NaN,18.814,0.109
58866.528,NaN,NaN,18.961,0.135
58868.528,19.132,0.111,NaN,NaN
58868.532,19.284,0.123,NaN,NaN
58868.539,19.595,0.171,NaN,NaN
58868.545,19.213,0.113,NaN,NaN
58870.454,NaN,NaN,19.117,0.118
58870.457,NaN,NaN,18.856,0.095
58870.463,NaN,NaN,18.792,0.092
58870.473,NaN,NaN,18.913,0.112
58872.456,19.424,0.136,NaN,NaN
58872.460,19.340,0.115,NaN,NaN
58872.466,19.539,0.130,NaN,NaN
58872.478,19.500,0.137,NaN,NaN
58874.537,NaN,NaN,18.907,0.107
58874.541,NaN,NaN,18.932,0.108
58874.546,NaN,NaN,18.984,0.112
58874.562,NaN,NaN,18.917,0.124
58876.591,19.627,0.162,NaN,NaN
58876.595,19.505,0.159,NaN,NaN
58876.601,19.474,0.168,NaN,NaN
58876.612,19.886,0.251,NaN,NaN
58878.472,NaN,NaN,19.179,0.216
58878.475,NaN,NaN,18.990,0.123
58878.479,NaN,NaN,19.231,0.162
58878.484,NaN,NaN,18.958,0.106
58878.496,NaN,NaN,19.186,0.157
58882.513,NaN,NaN,19.367,0.131
58882.516,NaN,NaN,19.329,0.133
58882.521,NaN,NaN,19.446,0.145
58882.532,NaN,NaN,19.337,0.146
58884.559,NaN,NaN,19.666,0.245
58884.562,NaN,NaN,19.315,0.182
58884.564,NaN,NaN,19.565,0.264
58884.567,NaN,NaN,19.623,0.210
