MJD,c,c_err,o,o_err
58833.402,NaN,NaN,18.334,0.083
58833.410,NaN,NaN,18.470,0.100
58833.422,NaN,NaN,18.209,0.073
58833.431,NaN,NaN,18.463,0.102
58836.380,NaN,NaN,17.705,0.042
58836.384,NaN,NaN,17.802,0.040
58836.389,NaN,NaN,17.688,0.039
58836.400,NaN,NaN,17.756,0.041
58841.399,17.729,0.041,NaN,NaN
58841.402,17.806,0.039,NaN,NaN
58841.408,17.743,0.034,NaN,NaN
58841.419,17.702,0.047,NaN,NaN
58841.436,17.834,0.045,NaN,NaN
58844.340,NaN,NaN,17.881,0.043
58844.343,NaN,NaN,17.895,0.040
58844.349,NaN,NaN,17.982,0.043
58844.360,NaN,NaN,18.004,0.040
58846.342,18.136,0.062,NaN,NaN
58846.345,18.110,0.059,NaN,NaN
58846.351,17.955,0.051,NaN,NaN
58846.361,18.037,0.049,NaN,NaN
58850.331,NaN,NaN,18.070,0.052
58850.334,NaN,NaN,18.224,0.065
58850.343,NaN,NaN,18.049,0.057
58852.310,NaN,NaN,18.111,0.062
58852.317,NaN,NaN,18.257,0.080
58852.320,NaN,NaN,18.200,0.066
58852.332,NaN,NaN,18.217,0.074
58866.378,18.581,0.062,NaN,NaN
58866.382,18.574,0.081,NaN,NaN
58866.388,18.540,0.073,NaN,NaN
58866.398,18.499,0.064,NaN,NaN
58868.303,NaN,NaN,18.146,0.060
58868.306,NaN,NaN,18.293,0.057
58868.313,NaN,NaN,18.192,0.054
58868.323,NaN,NaN,18.280,0.063
58869.349,18.668,0.063,NaN,NaN
58869.353,18.547,0.058,NaN,NaN
58869.359,18.695,0.068,NaN,NaN
58869.373,18.632,0.063,NaN,NaN
58870.303,18.562,0.057,NaN,NaN
58870.307,18.586,0.068,NaN,NaN
58870.312,18.459,0.061,NaN,NaN
58870.322,18.530,0.064,NaN,NaN
58872.331,NaN,NaN,18.126,0.060
58872.334,NaN,NaN,18.103,0.054
58872.340,NaN,NaN,18.216,0.066
58872.350,NaN,NaN,18.065,0.051
58873.361,18.515,0.063,NaN,NaN
58873.364,18.523,0.072,NaN,NaN
58873.370,18.741,0.087,NaN,NaN
58873.381,18.611,0.071,NaN,NaN
58874.340,18.630,0.077,NaN,NaN
58874.342,18.395,0.055,NaN,NaN
58874.349,18.501,0.064,NaN,NaN
58874.359,18.531,0.067,NaN,NaN
58876.290,NaN,NaN,18.177,0.053
58876.293,NaN,NaN,18.203,0.056
58876.299,NaN,NaN,18.162,0.059
58876.310,NaN,NaN,18.226,0.056
58877.256,NaN,NaN,18.100,0.053
58877.263,NaN,NaN,18.021,0.069
58877.266,NaN,NaN,18.301,0.082
58877.277,NaN,NaN,18.038,0.058
58878.211,NaN,NaN,18.323,0.132
58878.229,NaN,NaN,18.087,0.055
58878.241,NaN,NaN,18.178,0.049
58879.320,NaN,NaN,18.454,0.255
58879.323,NaN,NaN,17.881,0.125
58879.329,NaN,NaN,18.040,0.136
58879.342,NaN,NaN,18.000,0.069
58880.292,NaN,NaN,18.103,0.076
58880.293,NaN,NaN,18.294,0.086
58880.294,NaN,NaN,18.118,0.082
58880.300,NaN,NaN,18.111,0.069
58880.303,NaN,NaN,18.117,0.065
58880.311,NaN,NaN,18.335,0.093
58882.310,NaN,NaN,18.222,0.089
58882.313,NaN,NaN,18.413,0.112
58882.318,NaN,NaN,18.137,0.084
58882.329,NaN,NaN,18.327,0.114
58884.290,NaN,NaN,18.379,0.112
58884.290,NaN,NaN,18.198,0.109
58884.293,NaN,NaN,18.212,0.105
58884.294,NaN,NaN,18.469,0.169
58884.299,NaN,NaN,18.232,0.110
58884.299,NaN,NaN,18.040,0.078
58884.309,NaN,NaN,18.393,0.118
58884.309,NaN,NaN,18.460,0.208
58888.293,NaN,NaN,18.769,0.260
58888.296,NaN,NaN,18.252,0.149
58888.303,NaN,NaN,18.541,0.200
58888.312,NaN,NaN,18.327,0.137
58900.230,NaN,NaN,19.407,0.146
58900.237,NaN,NaN,18.835,0.092
58900.241,NaN,NaN,19.057,0.125
58900.251,NaN,NaN,19.292,0.130
58902.260,19.853,0.222,NaN,NaN
58902.270,19.876,0.267,NaN,NaN
58904.275,NaN,NaN,19.380,0.143
58904.278,NaN,NaN,19.047,0.122
58904.283,NaN,NaN,19.253,0.107
58904.296,NaN,NaN,19.256,0.122
58906.253,NaN,NaN,19.268,0.252
58906.270,NaN,NaN,18.855,0.239
58918.229,NaN,NaN,18.968,0.299
58918.247,NaN,NaN,18.663,0.261
58919.234,NaN,NaN,19.798,0.223
58919.250,NaN,NaN,19.095,0.201
58920.253,NaN,NaN,19.350,0.174
58920.256,NaN,NaN,19.326,0.132
58920.262,NaN,NaN,19.616,0.188
58920.272,NaN,NaN,19.258,0.149
59084.588,NaN,NaN,19.773,0.196
59101.622,NaN,NaN,19.846,0.297
