MJD,c,c_err,o,o_err
58836.572,NaN,NaN,18.364,0.069
58836.575,NaN,NaN,18.356,0.090
58836.581,NaN,NaN,18.330,0.065
58836.591,NaN,NaN,18.334,0.067
58836.667,NaN,NaN,18.413,0.182
58846.552,NaN,NaN,18.392,0.055
58846.555,NaN,NaN,18.394,0.061
58846.563,NaN,NaN,18.533,0.056
58846.573,NaN,NaN,18.430,0.056
58850.569,NaN,NaN,18.446,0.068
58850.571,NaN,NaN,18.285,0.050
58850.580,NaN,NaN,18.425,0.060
58850.600,NaN,NaN,18.641,0.080
58866.540,NaN,NaN,18.547,0.089
58866.542,NaN,NaN,18.643,0.084
58866.550,NaN,NaN,18.408,0.064
58868.522,18.690,0.079,NaN,NaN
58868.525,18.539,0.069,NaN,NaN
58868.532,18.727,0.066,NaN,NaN
58868.543,18.655,0.064,NaN,NaN
58870.469,NaN,NaN,18.284,0.052
58870.472,NaN,NaN,18.166,0.046
58870.479,NaN,NaN,18.393,0.052
58870.490,NaN,NaN,18.461,0.057
58872.407,18.758,0.079,NaN,NaN
58872.410,18.719,0.072,NaN,NaN
58872.417,18.604,0.064,NaN,NaN
58872.427,18.646,0.082,NaN,NaN
58872.479,18.755,0.070,NaN,NaN
58872.483,18.545,0.064,NaN,NaN
58872.488,18.686,0.062,NaN,NaN
58872.499,18.916,0.073,NaN,NaN
58874.519,NaN,NaN,18.431,0.061
58874.523,NaN,NaN,18.550,0.051
58874.529,NaN,NaN,18.353,0.049
58874.539,NaN,NaN,18.620,0.059
58876.551,18.588,0.061,NaN,NaN
58876.554,18.972,0.094,NaN,NaN
58876.560,18.970,0.102,NaN,NaN
58876.570,18.726,0.078,NaN,NaN
58878.482,NaN,NaN,18.558,0.072
58878.485,NaN,NaN,18.377,0.060
58878.490,NaN,NaN,18.226,0.052
58878.500,NaN,NaN,18.527,0.069
58882.505,NaN,NaN,18.356,0.059
58882.508,NaN,NaN,18.548,0.084
58882.514,NaN,NaN,18.433,0.065
58882.524,NaN,NaN,18.460,0.059
58884.511,NaN,NaN,18.266,0.071
58884.515,NaN,NaN,18.336,0.076
58884.526,NaN,NaN,18.309,0.069
58884.531,NaN,NaN,18.339,0.073
58894.463,NaN,NaN,19.243,0.137
58894.471,NaN,NaN,18.994,0.121
58894.490,NaN,NaN,18.975,0.104
58900.466,18.706,0.087,NaN,NaN
58900.469,18.583,0.077,NaN,NaN
58900.473,18.827,0.096,NaN,NaN
58900.484,18.665,0.084,NaN,NaN
58902.440,NaN,NaN,19.527,0.174
58902.444,NaN,NaN,19.455,0.187
58902.449,NaN,NaN,19.550,0.184
58902.464,NaN,NaN,19.407,0.195
58906.602,NaN,NaN,19.079,0.129
58906.605,NaN,NaN,19.336,0.170
58906.622,NaN,NaN,19.348,0.210
58906.628,NaN,NaN,19.245,0.168
58910.412,NaN,NaN,19.935,0.255
58910.415,NaN,NaN,18.843,0.100
58910.421,NaN,NaN,19.603,0.205
58910.435,NaN,NaN,19.341,0.171
58914.375,NaN,NaN,18.789,0.145
58914.378,NaN,NaN,19.374,0.199
58914.384,NaN,NaN,19.134,0.236
58914.396,NaN,NaN,18.940,0.171
58918.491,NaN,NaN,18.949,0.216
58920.411,NaN,NaN,18.753,0.136
58920.465,NaN,NaN,18.861,0.222
58922.380,NaN,NaN,19.125,0.114
58922.383,NaN,NaN,18.639,0.118
58932.350,18.973,0.106,NaN,NaN
58932.353,19.202,0.128,NaN,NaN
58932.360,19.380,0.112,NaN,NaN
58932.372,19.235,0.119,NaN,NaN
58956.468,19.501,0.192,NaN,NaN
58956.471,19.824,0.264,NaN,NaN
58992.268,19.985,0.239,NaN,NaN
58992.284,19.643,0.178,NaN,NaN
