MJD,c,c_err,o,o_err
58841.376,NaN,NaN,20.257,0.286
58841.387,NaN,NaN,19.525,0.165
58841.391,NaN,NaN,19.920,0.274
58841.398,NaN,NaN,20.055,0.260
58844.348,NaN,NaN,19.737,0.211
58844.352,NaN,NaN,19.889,0.294
58844.358,NaN,NaN,19.670,0.200
58844.369,NaN,NaN,19.289,0.134
58845.331,NaN,NaN,19.114,0.114
58845.340,NaN,NaN,19.771,0.227
58845.344,NaN,NaN,19.499,0.168
58845.352,NaN,NaN,19.895,0.253
58846.354,19.076,0.111,NaN,NaN
58846.357,19.184,0.102,NaN,NaN
58846.362,19.585,0.156,NaN,NaN
58846.375,19.403,0.126,NaN,NaN
58852.307,NaN,NaN,19.249,0.160
58852.311,NaN,NaN,19.317,0.187
58852.317,NaN,NaN,19.248,0.147
58852.328,NaN,NaN,19.115,0.157
58866.397,19.245,0.119,NaN,NaN
58866.403,19.970,0.293,NaN,NaN
58866.407,19.724,0.209,NaN,NaN
58866.418,19.704,0.240,NaN,NaN
58867.420,19.236,0.127,NaN,NaN
58867.440,19.950,0.240,NaN,NaN
58868.309,NaN,NaN,19.093,0.136
58868.317,NaN,NaN,19.232,0.135
58868.328,NaN,NaN,19.614,0.248
58870.304,19.706,0.176,NaN,NaN
58870.307,19.812,0.202,NaN,NaN
58870.313,19.905,0.216,NaN,NaN
58870.327,20.147,0.251,NaN,NaN
58872.319,NaN,NaN,18.996,0.135
58872.323,NaN,NaN,18.813,0.099
58872.329,NaN,NaN,19.013,0.128
58872.337,NaN,NaN,19.011,0.125
58872.339,NaN,NaN,19.293,0.153
58872.340,NaN,NaN,18.924,0.133
58872.347,NaN,NaN,18.931,0.127
58872.357,NaN,NaN,18.967,0.121
58874.341,19.357,0.149,NaN,NaN
58874.341,19.246,0.131,NaN,NaN
58874.343,19.609,0.150,NaN,NaN
58874.344,19.782,0.300,NaN,NaN
58874.351,19.812,0.248,NaN,NaN
58874.363,19.290,0.175,NaN,NaN
58874.363,19.803,0.247,NaN,NaN
58875.311,19.464,0.192,NaN,NaN
58875.328,19.457,0.210,NaN,NaN
58875.336,19.728,0.229,NaN,NaN
58876.294,NaN,NaN,19.295,0.149
58876.300,NaN,NaN,19.192,0.142
58876.302,NaN,NaN,18.932,0.101
58876.310,NaN,NaN,19.466,0.183
58878.260,NaN,NaN,19.258,0.197
58878.265,NaN,NaN,18.985,0.145
58878.269,NaN,NaN,18.937,0.125
58878.271,NaN,NaN,19.621,0.259
58878.287,NaN,NaN,19.207,0.213
58878.287,NaN,NaN,19.153,0.146
58878.296,NaN,NaN,18.912,0.155
58880.298,NaN,NaN,19.198,0.179
58880.301,NaN,NaN,19.050,0.132
58880.306,NaN,NaN,19.418,0.266
58880.316,NaN,NaN,19.341,0.170
58884.289,NaN,NaN,18.910,0.201
58884.293,NaN,NaN,18.941,0.228
58884.298,NaN,NaN,19.110,0.231
58884.308,NaN,NaN,19.016,0.205
58885.319,NaN,NaN,19.189,0.242
58885.322,NaN,NaN,18.685,0.165
58885.327,NaN,NaN,19.262,0.289
58885.338,NaN,NaN,18.943,0.222
58888.306,NaN,NaN,18.727,0.183
58888.316,NaN,NaN,19.148,0.294
58888.326,NaN,NaN,18.975,0.274
58900.243,NaN,NaN,19.033,0.116
58900.246,NaN,NaN,19.121,0.127
58900.252,NaN,NaN,18.756,0.076
58900.267,NaN,NaN,19.012,0.110
58902.235,19.710,0.217,NaN,NaN
58902.239,19.456,0.206,NaN,NaN
58902.244,19.587,0.196,NaN,NaN
58902.255,19.392,0.168,NaN,NaN
58904.286,NaN,NaN,18.929,0.162
58904.289,NaN,NaN,18.916,0.124
58904.296,NaN,NaN,18.791,0.092
58904.307,NaN,NaN,18.744,0.091
58906.275,NaN,NaN,19.006,0.219
58906.278,NaN,NaN,19.230,0.238
58906.285,NaN,NaN,19.087,0.209
58906.293,NaN,NaN,18.609,0.113
58906.304,NaN,NaN,18.990,0.119
58911.229,NaN,NaN,18.730,0.129
58911.232,NaN,NaN,18.914,0.183
58911.250,NaN,NaN,18.664,0.145
58911.260,NaN,NaN,18.455,0.133
58914.269,NaN,NaN,18.924,0.291
58917.227,NaN,NaN,18.517,0.184
58918.228,NaN,NaN,18.591,0.298
58920.265,NaN,NaN,18.784,0.107
58920.268,NaN,NaN,18.718,0.095
58920.273,NaN,NaN,18.636,0.091
58920.283,NaN,NaN,19.188,0.167
58930.257,19.212,0.180,NaN,NaN
58930.267,19.624,0.225,NaN,NaN
58938.242,NaN,NaN,19.034,0.266
59082.599,19.967,0.236,NaN,NaN
