MJD,c,c_err,o,o_err
58866.498,NaN,NaN,19.409,0.147
58866.501,NaN,NaN,19.591,0.185
58866.506,NaN,NaN,19.473,0.152
58866.516,NaN,NaN,19.593,0.208
58868.372,NaN,NaN,19.355,0.158
58868.382,NaN,NaN,19.366,0.157
58868.392,NaN,NaN,19.327,0.144
58870.369,19.682,0.156,NaN,NaN
58870.372,19.620,0.137,NaN,NaN
58870.380,19.326,0.106,NaN,NaN
58870.392,19.874,0.190,NaN,NaN
58872.465,NaN,NaN,19.735,0.240
58872.468,NaN,NaN,19.229,0.128
58872.474,NaN,NaN,19.496,0.183
58872.485,NaN,NaN,19.064,0.114
58874.501,19.592,0.118,NaN,NaN
58874.505,19.486,0.141,NaN,NaN
58874.513,19.505,0.131,NaN,NaN
58874.530,19.693,0.167,NaN,NaN
58875.513,19.626,0.128,NaN,NaN
58875.516,19.619,0.145,NaN,NaN
58875.530,19.960,0.180,NaN,NaN
58875.535,20.048,0.217,NaN,NaN
58876.466,NaN,NaN,19.298,0.162
58876.474,NaN,NaN,19.101,0.122
58876.487,NaN,NaN,19.267,0.162
58876.493,NaN,NaN,19.253,0.150
58880.452,NaN,NaN,19.482,0.147
58880.455,NaN,NaN,19.349,0.136
58880.461,NaN,NaN,19.671,0.185
58880.474,NaN,NaN,19.915,0.283
58881.440,NaN,NaN,19.637,0.220
58881.444,NaN,NaN,19.737,0.237
58881.452,NaN,NaN,19.635,0.208
58881.466,NaN,NaN,19.719,0.217
58883.441,NaN,NaN,19.346,0.200
58883.444,NaN,NaN,19.297,0.217
58883.451,NaN,NaN,19.142,0.182
58883.467,NaN,NaN,19.467,0.260
58884.334,NaN,NaN,19.332,0.264
58884.342,NaN,NaN,19.377,0.267
58884.352,NaN,NaN,19.401,0.235
58900.381,NaN,NaN,19.492,0.178
58900.384,NaN,NaN,19.877,0.257
58900.403,NaN,NaN,19.452,0.157
58902.367,20.068,0.288,NaN,NaN
58904.406,NaN,NaN,19.543,0.193
58904.410,NaN,NaN,19.988,0.272
58904.416,NaN,NaN,19.495,0.176
58911.324,NaN,NaN,19.577,0.192
58911.334,NaN,NaN,19.711,0.291
58920.455,NaN,NaN,19.422,0.227
58920.475,NaN,NaN,19.424,0.294
58936.371,NaN,NaN,20.063,0.299
58936.381,NaN,NaN,19.772,0.273
58949.305,NaN,NaN,19.673,0.212
58956.275,NaN,NaN,20.293,0.282
58956.281,NaN,NaN,19.990,0.293
58956.293,NaN,NaN,20.144,0.247
58960.318,NaN,NaN,19.857,0.298
58964.260,NaN,NaN,19.772,0.271
58966.289,NaN,NaN,19.661,0.272
58968.285,NaN,NaN,19.715,0.272
58968.307,NaN,NaN,19.551,0.277
58972.245,NaN,NaN,19.205,0.228
59000.253,NaN,NaN,19.478,0.295
