MJD,c,c_err,o,o_err
58852.561,NaN,NaN,18.493,0.188
58866.597,NaN,NaN,16.674,0.020
58866.606,NaN,NaN,16.663,0.019
58866.618,NaN,NaN,16.700,0.019
58868.539,NaN,NaN,16.749,0.020
58872.559,NaN,NaN,16.934,0.020
58872.563,NaN,NaN,16.951,0.022
58872.570,NaN,NaN,16.918,0.023
58874.502,17.090,0.020,NaN,NaN
58874.507,17.142,0.023,NaN,NaN
58874.511,17.120,0.020,NaN,NaN
58874.523,17.128,0.021,NaN,NaN
58876.565,NaN,NaN,16.961,0.021
58876.569,NaN,NaN,16.915,0.019
58876.577,NaN,NaN,16.945,0.023
58876.590,NaN,NaN,16.933,0.022
58877.570,17.162,0.025,NaN,NaN
58877.573,17.174,0.024,NaN,NaN
58877.604,17.135,0.024,NaN,NaN
58878.466,17.191,0.031,NaN,NaN
58878.477,17.085,0.066,NaN,NaN
58880.568,NaN,NaN,17.145,0.050
58880.576,NaN,NaN,16.975,0.028
58880.579,NaN,NaN,16.953,0.028
58882.514,17.365,0.025,NaN,NaN
58882.520,17.268,0.025,NaN,NaN
58882.532,17.332,0.026,NaN,NaN
58884.489,NaN,NaN,17.031,0.030
58884.492,NaN,NaN,16.992,0.030
58884.507,NaN,NaN,17.072,0.030
58888.505,NaN,NaN,17.190,0.072
58888.508,NaN,NaN,17.092,0.066
58888.514,NaN,NaN,17.140,0.067
58888.524,NaN,NaN,17.176,0.063
58900.504,NaN,NaN,17.110,0.022
58900.510,NaN,NaN,17.121,0.032
58900.521,NaN,NaN,17.176,0.028
58902.456,17.649,0.033,NaN,NaN
58902.459,17.724,0.035,NaN,NaN
58902.464,17.650,0.032,NaN,NaN
58902.476,17.651,0.035,NaN,NaN
58904.496,NaN,NaN,17.219,0.030
58904.515,NaN,NaN,17.208,0.027
58912.496,NaN,NaN,17.195,0.030
58912.500,NaN,NaN,17.067,0.036
58912.506,NaN,NaN,17.059,0.023
58912.516,NaN,NaN,17.046,0.027
58924.497,NaN,NaN,16.950,0.036
58924.500,NaN,NaN,17.087,0.024
58924.506,NaN,NaN,17.010,0.029
